,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.0031131210855637544,,,,,,,,-0.018219039533483333,0.039653429688185415,
BMP1,0.01259039997740244,-0.05679636559666827,-0.03027723451986097,0.0756807033143227,0.16448375922079214,0.12557925310808726,0.04825260687036576,0.024052152102305754,-0.0589294265995529,0.04522817277359109,0.04061200690888482,0.027749922633621263,0.05380054790840714,-0.010197801345358654,-0.01426894895980184,0.046333256637976356
NDP,-0.013391638278621077,0.0737274049314039,0.04218287147654717,-0.015819591126727758,0.06926594652325174,-0.0013294458408815695,-0.03126995735258831,0.013149764594215485,-0.007728348729613156,0.006172082843916564,0.0855213676781945,-0.026231503060766548,0.11986907595953013,0.009186276811937233,0.07012915633171057,0.0756179588239068
TNFSF18,-0.02528979651093281,,,,0.031556589779698746,0.059999915786828145,-0.019770905887418595,,,,,0.10780465930027895,,-0.018788973885948506,-0.025259100025604574,-0.021705231839237206
IL36G,,,,,,,,,,,-0.026048424437844563,,,,,
RTN4,-0.003343999125182269,0.03682704729970597,0.011601588608845883,0.0004683481527438967,-0.20563927296120046,-0.16971818737836758,-0.01350342014967146,-0.012816916818092623,-0.020581154601834094,-0.03151851913780659,-0.043936717077626544,-0.06368186366293865,-0.019751843912428336,0.06559224446749456,-0.02763880143258962,-0.06512561784678424
HEBP1,-0.000809835696636276,0.04522300571898418,-0.021977701796230414,0.02721508764739209,0.044930072124719556,0.06801993310133381,0.014704227934473239,-0.011090370510497737,-0.03992934021688754,0.059366124949845216,0.05379172151130753,-0.05434996827078591,0.058582786127599616,-0.025156980228895908,0.028597791759885815,0.026575872230217932
WNT7B,-0.015709237640347627,0.0604883924882242,0.025097146902913824,-0.07270986236672197,-0.039418210515402674,-0.05850898089993694,-0.04539664543655451,0.09671856577324381,,0.0180510905972436,-0.01663511165205115,,0.0992837967910973,-0.03928926438395509,-0.031961549465401626,-0.04719391276124509
PTMA,-0.02869386867049659,-0.020517412274378026,0.011593663330603635,0.026143646485345253,0.3062170389750395,-0.047537306042094454,0.006784462870845119,-0.015959237184636592,0.003290314604233982,0.11802044833613647,-0.07378600434389386,0.043563485773344394,-0.1162296478795761,0.022773879996012873,-0.05774842091185251,0.011708050478304935
FASLG,,,,,,,,,,,,,,,-0.01298727369362212,
CEACAM1,-0.012055895041945642,,-0.03141125532900377,-0.0175285116811105,,-0.015160197526270028,-0.031094924858176446,,,,,0.04475255095373532,0.02351796590771337,-0.008077775399354082,-0.018069883861373683,
PDAP1,-0.0400188894143474,-0.010316046606921963,0.044619821073543536,-0.019119907659950818,0.17082771590780355,0.08067116343602253,-0.03394450000213159,0.009088953086730264,0.0467960095302893,0.047685712344912826,-0.0023823039003922843,0.11040699030799585,-0.02905424853589905,0.04119778984124067,0.007394991650538697,-0.052291275966184096
QDPR,0.07119600105147629,-0.012346994160208354,-0.031087093235437582,-0.01544884633341743,-0.15611373383488278,-0.20890422091102634,0.0004985025695228949,-0.007374015254243158,-0.04308988580259027,0.028330129323606547,-0.006701007361267215,0.07332156516527727,-0.04902539086601443,0.023294280776219853,0.03264019619275668,-0.06973540908394744
POMC,0.07431222736123157,,0.011765153347214589,0.007519317573578438,-0.0014919963131327044,0.002356115934994966,-0.011022990998103038,0.08110693361688204,-0.06207078486132009,-0.022929648879167968,-0.0030869203897851494,0.15554552859710977,-0.090292716895669,0.022064088091322438,-0.026516397126927393,-0.027718406702433442
CCL18,,,,,,,,,-0.05885292341756688,0.02677161538300096,,,-0.030853722984637913,,,
CCL17,,,0.05148403081190198,,,,0.023166960762144296,0.03559633057426708,,,-0.02379597523849006,,,-0.024020751201731146,-0.01177150487763635,
VEGFD,0.001161823792311578,,-0.014362192879031845,0.07196600202277176,,-0.035692274581025786,-0.02627119336630928,-0.024580915849029154,-0.019203541361345552,-0.01549219767834971,0.027540695851972618,-0.05933340978129929,,0.014988820116155604,,
TNFSF13,,,-0.005174919422075961,,-0.012750715551212833,,,,,,,,,0.054830950201854856,-0.019180684670518387,0.019691141158742174
WNT5A,-0.04355656569320096,-0.009241374179696142,0.0474232375051563,0.04316699954709135,0.15610515167508993,0.08666964532075364,0.02937621668111635,0.05464708363853634,-0.020107344122821856,0.03945854462198033,-0.05335956347604264,0.08015010727839586,0.0490517583842336,-0.024107840302544186,-0.008436788203290312,0.014013635786740926
CXCL8,-0.01616840479866631,0.04208050355736358,-0.046167437116143364,-0.024904078954734114,0.018076794116644552,0.05275655928912368,-0.03652768387820334,0.026770318203864628,-0.043758449669211316,0.017301077295778466,-0.015955344017893797,0.15886758376663498,-0.054322837024358736,0.027306005464843176,0.0015339962105421251,0.020928282630500936
GRN,0.0062433330703645,-0.00990945273172138,0.012395998109762791,0.05323490202329743,0.00013097965209074374,0.09124937888117846,-0.0193584027331426,-0.029503837800210795,-0.02828340540616504,-0.00411708316106667,0.06484788108295587,0.026891308536992495,0.09917798115233509,0.0034398709704925937,-0.06095363844461737,-0.060352321123491474
MIA,-0.015356641117986606,0.06600555491741603,0.009895868647826529,0.05202285809333335,0.06788240403548546,0.08817304385775779,0.018911362465196854,0.043922810520256456,,-0.02101020327038118,-0.015343065353408302,-0.022596638664823226,0.08269441637843386,0.057379457433302916,0.05738304534138928,-0.04325396892803417
COL4A4,-0.02582529643811473,0.16806166361328745,-0.061648553573105634,0.06169324270651807,0.14909468953201924,-0.026499228099459423,0.019035857911513968,-0.007358604932377032,,,0.006380567464946903,-0.046459228384660774,-0.03900874619926624,0.003075158735239343,0.017454279062318674,0.04805114043631768
TAC1,0.010151956833053864,0.08678519985392501,0.06546734634612798,0.011109606439387774,-0.0944699664522567,-0.11166269347445107,0.02610050400427655,-0.012254947012138008,0.007559597378750109,,-0.053641627385581765,,,,-0.015474840138649802,-0.05287653974906836
RARRES2,0.010804907455623701,-0.00572559528386984,0.0297925713379327,0.028273154786631952,-0.016317408491507653,0.08486525257422495,0.030829885011502883,-0.007289908608529313,0.02687104419206588,-0.050114273152296114,-0.006490841294583782,-0.14950617175375697,-0.005936482367770069,-0.0453801539937346,0.038637029393947475,-0.02526263256260344
FGF7,-0.01948973694483349,0.007436168305017539,0.1124012424979027,0.0605372124916665,0.09817451470265544,0.019556294049729996,-0.013034445452010672,0.0029574305747739667,-0.044582603118600204,-0.033754547937236014,-0.015753197187944133,-0.015292818474799255,0.0715843148516612,0.04217544400593904,0.06700931046037778,0.004698834874733198
HBEGF,-0.03780401199203368,0.06966336530107539,0.026786021083315948,-0.032534638373551444,0.10900285149508876,0.06762169942474716,-0.04082969480027166,0.0274879537261231,0.022189041715543995,-0.023198627922353846,-0.01042302960513352,0.05145203503005547,-0.0401261375318082,-0.008290866914190974,-0.06157630802827,0.030357704330314112
CSF3,,-0.029383942450114338,-0.03474361829670352,0.018760533880919084,,-0.02803567328242334,,,,-0.02327433507577657,,,,,-0.012393578667187077,0.0077794926058074336
PI3,,-0.0016805308872376184,-0.0029781967483163353,-0.0033744326222036347,,0.017218208818892522,,,,,,,,-0.02040954584188318,-0.026927129080927557,-0.06600888400061486
PCSK1N,-0.025335908812160687,0.016951056148041144,0.0033185386283684217,0.05250244933737957,-0.11760513074095767,-0.030656530792248067,-0.004830642478536662,-0.0374957666730921,-0.004112813467675329,0.0027558920582117312,0.007230333525271778,-0.052296651017257924,0.008410336016389961,0.043522655872339874,0.05895683032561023,-0.039506701637506816
