,UKF248,UKF259,UKF275,ZH1007nec,ZH8811Abulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02517575270994906,
BMP1,0.012447144016113536,-0.01791916836462569,0.012446814180572634,-0.13811058425294478,0.042655349703503785,0.028851681990501112,0.027082342344300923,0.017820673964729604,-0.023034239652657454
NDP,0.013129392339436906,-0.016373447179923093,0.021462311416502563,-0.06591938495918927,0.024755480519487366,0.04219855596692637,0.047651889205975545,0.05675764052138507,-0.009531309586477526
TNFSF18,-0.03925474935356999,,-0.010647509681371023,,,,-0.03687574833863638,0.03578972786099753,0.10186416437898257
RTN4,0.0004130395502499626,0.018973964324808718,-0.020446115336756592,0.022431799435192103,-0.0314281030560529,0.013878539961171055,-0.05802110209965765,-0.04459430254329841,-0.01648005343481501
HEBP1,0.046955000804494995,-0.023588394248197114,0.04427185373345694,0.11190447932023098,0.12053766409488455,0.03449674690582916,-0.0006153983627310244,0.007446043261031124,-0.008797774920226558
WNT7B,-0.01818988503955833,-0.03349737786742779,-0.020287795376173447,0.15014168642903586,0.015932651771211857,-0.016246922640206253,-0.036875710101255454,0.00300134446742735,-0.03289719563800257
PTMA,-0.0352930153514744,0.020091941024421526,-0.07428852494197133,-0.028474313849540384,-0.026693062848502726,0.02502835357092758,-0.10050048609455997,-0.016035197709571618,-0.009939527338165223
FASLG,,,,,,,,0.11205461465787103,
CEACAM1,0.02978436292940585,0.00014858439579720675,-0.0006584298618881806,-0.039648213216746206,0.022063268484973184,-0.01937923587351819,,0.026702530331561596,
PDAP1,0.0038026078569734292,0.022637898741988106,0.03540389066202931,-0.08945519691890187,0.0545212551054939,0.035232042888544556,-0.05874010777583848,0.017055180861461613,0.0005155299021685303
QDPR,-0.0627747944134971,0.008836196931278443,0.006493030745622703,-0.11175560609832882,-0.02070124413324777,-0.02779331552236953,-0.12808245748594824,0.015034025962862628,-0.059067495445812544
POMC,0.035700976259958606,0.09502287582547403,-0.012354528249030876,0.05848209561467963,-0.01047031419902597,0.03183500765556035,,0.0031819886448740077,-0.004581761414953457
CCL18,-0.031178385412409082,,,0.09702441307761166,0.043158449706782086,0.01261956027267727,,,
CCL17,,0.08224896176742953,-0.013279517579130084,,-0.014604112169469177,,,-0.019790904064054666,
VEGFD,-0.031178395313006757,0.009677998473552007,0.02393934891910634,-0.03830059833815988,,,,,
TNFSF13,-0.008920529701138687,-0.015464351961264375,,,0.049255962987759055,-0.021761583040441443,,0.04492971882990879,0.02686557041749318
WNT5A,0.025696968550401846,0.03575882583745376,0.010484792326912634,0.05425852218428906,-0.044710740825495844,-0.017938416796319037,-0.06852527662497324,0.062488696540720944,0.008695106073811002
CXCL8,0.09610513444835171,0.07995792557522553,0.03905736643330808,0.11079326994002955,-0.058614787665585276,0.04354793839898662,0.052279102148804144,0.008703932383873427,0.04733869294780395
GRN,0.07937874030655252,0.011453229657003206,0.02897931466292174,0.1498370271649124,0.031910668051494694,-0.07547958758486877,0.014013541595493293,0.052595579567511375,-0.018003767067101245
MIA,-0.03232635142284677,0.009922578007536587,-0.026101067462027047,0.06323716242491793,-0.0007653463874272183,-0.00639299201631705,,0.004638666646244223,0.11286450612742077
COL4A4,-0.019268204513672747,-0.0069222494709706255,-0.013864227203243833,,0.06678753914462862,-0.03905585836900074,,0.10168827899693551,-0.03688268915200819
TAC1,-0.05066089717518224,-0.011954384274796002,-0.04060929477287494,,,0.05564127368932642,-0.0009761958901478795,0.005519405512476424,0.010493744992258958
RARRES2,-0.04398830394519172,-0.022107418572002498,-0.03393195611828296,0.10119464436208722,-0.0673313113609059,0.01921202846375065,0.05924490526038412,0.0380298418081645,0.01809178223097279
FGF7,,0.048400092601533176,-0.021336854368514558,0.20478669393972607,-0.02151545514447365,0.006525261321510879,0.01778123796748031,0.06078329315116345,-0.03727546153411353
HBEGF,0.1183673862944136,0.05240789889034746,0.03764806981756143,-0.050286411757050606,0.02773648180031853,0.00015674838956359065,0.04740428945791646,-0.013742250581373242,0.005108993134099597
CSF3,,0.049379888302023105,,,-0.03760918722271642,-0.027782781802454554,0.02911152996799767,-0.020836768872143117,0.0003722609040376821
PI3,0.03436586120668099,-0.007702448871570883,,0.02662876592111172,-0.0735145286730982,0.028739910148577432,,-0.006896609761208729,0.017963049368317156
PCSK1N,-0.057269640147560676,-0.06968752284202381,0.042769014475246614,0.05312521457223345,0.027963107165585446,0.04502482940713617,-0.03932930986427942,0.01155237460267838,-0.00803240575276662
NTS,,,0.01976175468522297,,-0.021219782271493803,-0.02044536515793547,,0.11044539424900028,
SFRP1,0.06389428647882373,-0.0195617318692635,-0.029408340856306232,-0.11266806330541905,0.09657292992968429,0.030489500779273825,0.05095451465180179,-0.03013938849862566,0.04810511524387004
CXCL13,,,,,0.06482360388289567,-0.009864274587647496,,,-0.031469125334114584
MICA,0.07582631035937229,0.041966131405940715,0.033453693853429646,0.0025320653814841143,-0.0175883753264073,-0.0529795959961831,-0.055133741655489885,0.059491819582499925,-0.013968094916652853
TG,-0.03458317662425283,-0.02111020793512664,0.007301453353394431,-0.05371699640386645,0.06998057573798769,-0.022865656349782038,,-0.02035029218903693,-0.034679138968999206
ADA,0.11683177363465867,0.044703824308528234,-0.013692919554923771,-0.10568002221938831,0.06445614682052504,0.023210648821880786,0.030154633311375648,0.023297550813230074,0.004228185450597706
LAMC3,0.05864992972222772,-0.024047721130001108,0.00722360676025654,-0.11083231048625254,0.050360771309258735,-0.0022985027461758034,0.07337814913031171,0.019445362037624175,-0.028936140729524287
CCL7,-0.019832087002615115,0.11604675314069425,,,-0.021888197885097507,,,0.05804084137172787,-0.008094073347986046
NGF,-0.002439003784756172,0.042500170797287365,,,0.046969908293211265,-0.04769696501497621,,0.14021086694305496,-0.03254830139887983
TNFSF15,,-0.0001960525623686587,,,0.019410133880207937,-0.017252630527812104,,0.02743332141322011,0.02708833842027587
HMGB1,-0.07289981320126565,-0.030894892023050805,-0.07207532017208283,-0.08974741722883693,0.0532932475302631,-0.044951318734759556,-0.0022384944514746916,-0.04866845047594196,0.03321045354791703
ITGB3BP,0.0013012417551563399,0.035748632494664444,0.02358382114233526,-0.0018820888849568139,0.029404459163332914,0.05263280920019923,0.043320932420749414,0.031348812214041115,-0.05634251779224492
AANAT,0.10449249952739398,-0.015464353611745226,-0.012031463432730795,-0.02157410512897703,-0.01920212562699403,,,0.013253779819495957,0.04034382181784284
RELN,0.004255020016983816,-0.02684265470467618,-0.02648939870959768,,,0.04935366655697308,-0.005333070280648169,,0.010502619124197355
IL15,0.05354181534159511,-0.014567513117130657,-0.007485578028800338,0.03709402273834991,0.0427526270457581,-0.0135969909631098,-0.03505363348990145,0.07265305525636266,0.004923693199623945
UTS2,,,,0.04605997812314241,0.08998712877722384,,,,
