,UKF243,UKF313,ZH1007inf,ZH1019inf,ZH8812bulk,ZH916T1
IGFL3,,,,,-0.024714128172713783,-0.017325841302696772
BMP1,0.08673104873021885,0.11191275390923079,0.058093625671650356,0.08541794055582844,0.10576965401687974,0.08697685578499571
NDP,0.12461109630396075,0.06333989614044577,0.11799582030002055,-0.03409787786981397,0.1639075355307344,-0.0030665791282052705
TNFSF18,0.033224222999833866,,-0.024507774567330932,,-0.025487244154539852,0.026698118716028847
RTN4,-0.11164645015835346,-0.031108704335004005,-0.007741133664228294,-0.0225159429645063,-0.05563042635261779,-0.027904267612242968
HEBP1,0.02219071179425142,-0.0065906062550219946,-0.06631015879617957,-0.04554695837056356,0.06101585782852844,0.03936880741783914
WNT7B,-0.04605608894842446,0.05199887357602591,0.0011531521994739386,0.020264295800858916,-0.043081560213796215,-0.014540358205230083
PTMA,-0.18404981112788807,0.09345691739961363,0.07121399445312651,0.004732289404518314,-0.0974527827231971,0.08708906240401053
FASLG,,,,,,-0.015026696251032735
CEACAM1,,,,0.03286653035313163,0.18716761888603187,-0.02090744081335916
PDAP1,0.043632166679097285,0.12368288545998635,-0.003940321584124426,-0.016964665160483804,0.014871533736896756,-0.0075612581109267335
QDPR,0.03223248320245438,0.08114124695296085,0.010228996311308048,-0.08217407427642097,-0.12361915759014365,-0.020533830283789394
POMC,0.039462390515637255,0.045170499430117854,-0.01139628480504898,0.0729919827045763,0.05592453079911587,0.03307733302898417
CCL18,0.009199190743629848,0.05205148431322171,,-0.02878741739406121,,
CCL17,,,,,-0.03258415038363719,-0.013620012358764602
VEGFD,-0.012653241034636447,0.17739297354194442,,,0.02340479089739229,
TNFSF13,,,,,0.05129207803451572,0.051795922343590865
WNT5A,0.07564078079258249,0.053256621328059806,-0.007113474363361322,0.027682511471066915,-0.011866520027061817,0.0437027077432867
CXCL8,-0.08771567987273127,-0.04482431628395346,,-0.03667722799840988,0.052091154322031465,-0.02011624204584262
