,MGH258,UKF251,UKF259,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1
IGFL3,,,,0.12189270152806807,,,,,-0.018219038584259176,-0.019010183808593015
BMP1,0.0481171628438374,0.008131362067023062,0.044223358787971186,0.07863119942405956,-0.011996788805967662,0.024925020077673155,-0.008918927650849381,0.09427529777598863,0.040905810529979866,0.0066795520024548315
NDP,-0.01095039113058024,-0.05668034146211629,0.008113031603236266,0.07415024276912552,-0.01314676514558316,0.03620272359562848,0.043214097439782204,-0.008626051402823411,0.07948170211751396,0.06842576921269576
TNFSF18,-0.02581893693684019,-0.026762192899086077,,-0.002558784501296692,-0.010647509681371023,,0.2096465620435542,,-0.01878897290703039,0.09046951597854366
RTN4,0.03715663848250428,-0.08328690476781724,-0.010671841904130196,-0.09944224316119896,-0.039480384236539955,-0.02132156490622669,0.017681982416086636,-0.06167239687081026,-0.033889555288537036,-0.0363074410931373
HEBP1,0.007222187451780936,0.010362213522572817,-0.03553688683774841,0.032752113141640934,0.02629380240998387,-0.04719556570608599,-0.06623029067123644,-0.03136570398315651,0.0223770545904667,0.04572980547712148
WNT7B,-0.02274567476976386,-0.022175835637855967,-0.0391218171385801,0.008753014658591941,-0.010068941128708035,-0.016668022402737185,,-0.04724475721429212,-0.026530625825313143,-0.040575634891663125
PTMA,0.02592436652194975,0.0455415023970684,-0.02208029091699914,-0.06635050798427146,0.008599123396637166,0.03906608378712063,-0.03345728534303147,-0.08658076132320533,-0.022570526803282673,-0.03055485413188012
FASLG,-0.022745681199907847,,,,,,,,,0.03428856679145077
CEACAM1,0.10198967380099656,0.05753821436934083,0.0619437945715995,-0.02731472735917154,-0.016745996129576765,,0.040218541704040774,0.045443463363110365,0.045744438548386605,0.014473322459465534
PDAP1,0.05151135652763998,0.047984629692004774,0.041260803439618354,0.08036060705930108,0.0202146163671979,-0.01715498237917786,-0.006676077523214612,0.01674174894383006,-0.04864874992851862,-0.014872978345281146
QDPR,-0.046777717852607155,-0.0008604148141640206,-0.06783324516826741,-0.07248697177230295,-0.016428527320956454,-0.04518048253758271,0.01790249408756943,-0.1715236984497288,-0.06084448694253227,-0.006328271515547188
POMC,-0.03131568262346465,-0.01926597603051772,-0.01182142792941122,-0.035210197887475474,-0.012354528249030876,0.035873017311829875,-0.012186277049762793,-0.009618277211692013,0.08204926483875251,0.004270454148665925
CCL18,,,,,,,,-0.030040923826144504,,
CCL17,,,0.06714786686193189,,-0.013279517579130084,0.06319886820645977,,,-0.001990490663586471,-0.014944090384524237
VEGFD,,0.05559861810940965,0.06072458360488153,-0.02341674137398633,-0.014148202783512946,-0.01513260331073822,-0.022864868065309473,,-0.025334477209387512,
TNFSF13,,,-0.021165491102920774,,,,,,0.03360938571624644,0.1662240880647754
WNT5A,-2.0668963997206316e-05,-0.013201412651160104,0.02638802366003226,0.07054798292932253,-0.006510638553872828,-0.03320279809372948,0.03772569430185815,0.0428154726813391,0.03772519107764363,0.029081708705452784
CXCL8,,-0.02282401575113046,-0.06148234139652794,-0.020744893122737397,0.03646635802326311,-0.014092138190426356,0.03290355270384703,0.0004880852625658898,0.05486567263867832,-0.07327058280115767
GRN,-0.03448382917864305,0.013498784909098551,0.02697887500651252,0.08831687632005422,0.02241306652309854,-0.004863249955655503,0.07020944372543225,-0.021070749779076588,0.05930047020730445,0.021078312286201224
MIA,-0.029772134826695933,-0.02167809521878719,0.006895319307039593,0.08853080753143376,0.03053037426604584,-0.0005049894947301596,-0.029798231981830056,0.10347438882433507,0.056594089921917834,0.0630570570780256
COL4A4,0.1337517241873212,0.0012641245421605983,0.032666964821865166,-0.013774188461106548,-0.013864227203243833,-0.01829179248174798,0.0480909498428516,-0.03798111410117444,-0.02217373453634044,-0.013273416801593965
TAC1,0.01880623929636374,-0.01792875795873008,-0.03294763873145277,-0.07518999328610655,-0.027018511646404102,-0.03978350633241907,,,,0.0014898010862658432
RARRES2,0.043725261661898294,-0.03001125768127548,-0.01275321828180683,0.10167908720552339,0.05015071175526538,0.01348543252740851,-0.08720627917978606,0.005646764341636425,0.06377379653885677,0.038449449283431796
