,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.005038104794865102,,,,,,,,,,,-0.024882330558735535,,-0.027873566275761857,,
BMP1,0.1490241907693592,-0.03764488019764701,0.008827946701608599,0.015387200995200731,-0.031198617691281662,0.06633211930939312,0.09810754600730842,0.030810986249327887,-0.01241615277387282,0.04695440387297929,0.04018972000049091,0.02167731243076954,-0.021487696458656187,-0.0188195806666451,-0.05162352552469955,0.0072916060184716755,0.027940166192019188,-0.04594740853025533,0.0482501102109268,-0.06561837858133708,-0.018497898966992537,-0.01652436600221676,0.03767739288876361
NDP,0.11530760915346817,-0.018886109990793185,-0.006362865109125619,0.09795042897223274,-0.05257604803806354,-0.020544512661190163,0.016591865592879375,-0.0602811944778536,-0.00012827946625659656,0.05961778673228261,0.004409039199332623,0.02106416833348942,0.07907139400653722,0.030288269909073,0.042782687180388995,0.016553201455957064,-0.004939708808404137,0.08054726058301435,0.018506389470880596,0.03406364141713116,0.09344120799462077,-0.03943094073652229,0.03627118875418021
TNFSF18,-0.041415387094513534,-0.006585058749975002,0.032611215491606595,,,,-0.012582388503684502,0.02530090443377309,-0.02609702766007856,,,,,,0.04956880279680815,,,,0.012992428119082305,,-0.019267496693390274,-0.010164775823773717,
IL36G,,,,,,,,,,,,,-0.02932143556726987,,,,,,,,,,
RTN4,-0.08172032122198322,0.02652267190714304,-0.04522802740864665,0.00475320844256896,0.024530129245737012,0.08637469056290137,-0.09990089501196033,-0.028083831311504815,-0.0253875988983062,-0.042184798587559864,0.05876401216100806,-0.07457399471267238,-0.004359308904047917,0.0076049642944812194,0.038919564362930044,-0.02144326371555898,-0.0077318749465419235,-0.06151099866491519,-0.020496696928349958,0.04733834706361395,0.00015793937714148791,-0.02486908171566873,0.0245034881605251
HEBP1,-0.018890643379074683,0.006272359464465019,0.03866959969396955,-0.029806655951875313,0.02296373687781781,0.01967400657493374,0.06670846787610263,0.06825162530331118,0.0008571529666699224,0.08588914821571952,-0.02765886756291683,0.046255438451081904,0.0613423667413654,-0.01181906349039999,0.0017254608925984713,6.076936507484684e-05,0.03785280867554368,0.06977192817770987,-0.030648455355383974,-0.014463044373500634,0.07946110208605267,0.06498150932719082,0.009301169056412316
WNT7B,-0.0696994429266761,0.004279344704228855,-0.022011064549148182,0.018603820042899556,0.01881616677320666,0.01430470007154572,-0.020699030147246347,0.010101587460964474,0.0052576081002697886,-0.02116425297400609,,0.049984636728266446,-0.020903020654655772,-0.010870706064567614,,0.06401383013325716,-0.035042516786135944,0.02458837858586966,0.09613427871808955,-0.015148965681740617,0.0024596014361727117,0.009164085118131927,0.15543884908938713
PTMA,-0.10917798920695569,-0.08555866822927186,-0.01811701295360185,0.040905421769043944,0.04007191834507463,0.04444523327052125,0.0556513561969249,-0.0267867936819774,-0.005555366160206885,0.02720863615758386,-0.07972584568968408,0.03846266363134684,0.025009120441043524,-0.1404861420427903,0.019718580385216598,-0.07866115232796143,-0.009853827156156217,0.03168197379771027,-0.024816538680830887,0.0034975642522136574,-0.05891127463744405,0.04908277067525744,-0.12030448800684154
FASLG,,,,,,,,,,,,,,,,,,,,,-0.006687849573187284,,
CEACAM1,,0.0020238118690703937,-0.016892168165084098,,0.035759613047789865,0.08158604297708034,,0.02126393063365909,0.017408101166333047,,,,,-0.04037133614186428,-0.029689501290524747,0.025209956441914365,0.00965692556676771,-0.025816664788010486,-0.03687175882194217,-0.007637421950924859,-0.033635592464824636,,
PDAP1,0.05011790887864249,-0.014315231291501489,0.011111866642815637,0.035838845727469495,0.035357665066839024,0.03434507751698833,0.02616637411968176,0.06425554736406136,-0.035688454138653285,-0.010261678165109162,0.027354358705435733,0.058808914301917946,-0.033027963778618705,-0.10270857324277953,0.01660245082593758,0.017894995900246635,0.029522210378146233,-0.041679010764956254,-0.06047575346066424,0.012969338796969843,0.0637189541339173,0.044185993023593315,0.01233137069199257
QDPR,-0.04106406154287093,0.051982517300877495,-0.023252045091052727,0.07633036767466364,-0.010112927590892995,-0.023066761675617456,-0.01162270383881758,-0.061107643447263084,-0.040159711480167455,-0.04950932404975194,-0.08742768190269157,0.04362546600764421,0.021867466560859,-0.020283455460696743,-0.0491588653168784,0.03955315502016231,0.06689703408489553,-0.008691397239606245,0.04605890073316054,0.037461232454582244,0.04112809909950933,-0.03734376916985862,-0.12329235266369148
POMC,-0.01338869071702504,-0.0029838685838116216,-0.007846856028030758,,0.02028203014112838,0.05893668189081061,-0.010120483785822419,-0.01579012040887203,0.05534711010883273,-0.02477601352902843,0.015434727808255968,0.0028773765677199805,0.0056028168286050666,-0.014286181086341773,0.011714054879114397,-0.007793730578176467,0.06488016993099074,0.09561865599097666,0.007108310944582103,0.002445317276410201,-0.000524344285237516,0.02581227512387555,-0.014881265556705043
