,UKF248,UKF269,UKF296,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,-0.014860835730845238,,,,-0.017771223504660014,,
BMP1,0.0023383183183110614,-0.025074339866986806,-0.005958479433392886,0.02097703139292557,-0.01951983442947492,-0.02340146927540538,0.0032877336887542317,-0.00546751036369795
NDP,0.03481818353303881,-0.01234086128670634,0.03756951041499962,0.0026986749947746427,0.01891943104946981,0.020196141231470968,-0.003756414433204717,0.004392380860505093
TNFSF18,-0.02723213112352285,0.047985743563879905,,,,0.09505073121850509,,0.0067819153819349
RTN4,0.06459359245365573,0.009731810051190044,0.00295547580930887,0.037128262072776475,-0.017787741985164716,-0.026943936403254487,-0.034948332516146756,0.059946457041960624
HEBP1,-0.005272027957822871,-0.03242246179496883,-0.03066733133546953,-0.03746868483981101,0.05650754710098101,-0.04033057507097299,0.01740612716054836,0.033441481798256054
WNT7B,0.031038843387043474,-0.009910854150838463,0.005264326880340621,-0.002075124577235956,-0.03132425339838525,-0.038323551437371,-0.02123313210513355,0.03208825001219927
PTMA,-0.06609707402209787,-0.0037919144132212788,-0.0722755011412566,-0.0482982387621599,-0.0003360599046309167,-0.07394362266743756,0.019462186020889078,-0.08071065648038869
CEACAM1,0.06382729094876578,0.027555427895739847,,-0.024664717854599064,-0.015175142431838467,0.07450308386663801,-0.01409273858649003,
PDAP1,0.021175317585841475,-0.06732949301610511,-0.009251077161375309,0.00703210103377169,-0.07129834951531519,-0.03029804515579235,0.051381723374144365,-0.02782281359069006
QDPR,0.02384536157195551,-0.03199552250418598,-0.003256481920861849,-0.05313770874691399,0.015469947107708791,-0.018926937227067883,0.01937926981284013,0.042926983802751985
POMC,0.0033354607288942025,0.02928847150670059,-0.03837500842802692,0.04531758470746844,-0.03554994068800247,0.030789955232389577,-0.023053869025993302,0.005101397383898234
CCL18,-0.021629328775557188,,,-0.017487690485772908,0.05668304072186285,,0.04086675113812525,
CCL17,,,-0.0011706115988261022,,-0.02190627078720994,-0.023430331635829055,,
VEGFD,0.07336097519104627,-0.024895886175688168,-0.012953580842446612,,0.12017610488872939,-0.024711768119900925,,
TNFSF13,-0.01632219075818291,,,,-0.02381136739412697,-0.005167241524892299,-0.0158252009015596,-0.03073431145102379
WNT5A,0.03341781205485216,-0.004839285014351111,0.002237435990576293,-0.0029944263598193094,-0.012669878172966114,-0.003886042441583085,0.06012113915799809,-0.016951589169500385
CXCL8,0.0972333359360552,-0.03344824370929668,-0.012062937720906398,-0.007095321186399017,-0.07863315168725159,2.254891510153946e-06,-0.02774615005001979,-0.0703369850009336
GRN,-0.011452892136379521,-0.0508203393942357,0.0015864344369134822,0.06709450199222405,-0.07003567028957222,0.1026934906234057,0.0218009698277703,-0.043455752313871165
MIA,0.059862721304658535,-0.012671628086970076,0.004153139968925068,0.06764247437639384,0.04735847730413829,0.07635043412547307,-0.01142080885711237,0.00013846024920454776
COL4A4,0.014771123640790427,0.011992909525960157,0.10259441444861653,-0.022109904860119885,-0.007800926360279647,-0.02092382383497398,0.024615851258190855,-0.03435024676979695
TAC1,0.05092640059173931,-0.02162927212016174,0.03326670967076694,,,,-0.0243139888361882,-0.01983324559107208
RARRES2,0.026912480832513536,-0.02702098870896999,0.03651921092205133,0.05541328776604665,0.01948850397826045,-0.06792749578757287,-0.006174048780184582,-0.053267153847394375
FGF7,,-0.021079375960811015,-0.03390840746334053,0.04106702587747646,0.009950067260626213,0.030525569212049086,-0.03160037963355742,0.0779637813607745
EFNA2,,,,,-0.01442295731423432,,,
HBEGF,-0.01736970616237443,-0.03905202883059855,-0.03326603762650748,-0.08184056464781109,-0.06447593482648781,0.0075262517777192625,-0.0016486185151310727,0.060171135049666
CSF3,,-0.015493335230664679,,,-0.06815806592646477,,-0.020203865813023067,0.05981890917723097
PI3,0.023250839654795064,-0.01744569995961937,,,-0.08797068579212075,-0.019907888125393652,0.019942543421187845,-0.034653166044811314
PCSK1N,-0.007649896719846048,0.016309918097042426,0.015722733711491382,-0.007495341822031903,-0.004565529502191313,-0.06411096567853633,-0.008167233121591884,0.043205821295553865
NTS,,0.022417534612531546,-0.04253546210483128,,0.07615518724538028,,-0.004059573111246744,
SFRP1,0.024354223530646653,0.03714087771453128,0.03270573030638227,0.0440586154912034,0.0013762976546839284,-0.02549734924351341,-0.02543432403648216,0.023958710452571187
CXCL13,,,,,-0.03705668889346753,,-0.021725455755520196,0.05537499051386028
MICA,0.06541356050147455,-0.030846600342127096,-0.03700612571669287,0.06412036929697251,-0.010147175456384149,0.020156369345669417,-0.02960736886565483,0.0043086009574512685
TG,-0.03406094554449231,0.002465655793865606,-0.01278022583023211,-0.028474048695384502,-0.021641391264601656,,-0.01662809202845485,-0.03229799693942176
ADA,-0.039755550808249114,0.05137901766315253,-0.020756114534742295,-0.00922569858710667,0.0063201273068495285,0.08347412908524154,-0.05439515228749781,0.009260479959168297
LAMC3,-0.07182654673710488,-0.02661989699147876,-0.022609734575017068,-0.017480323329567553,-0.0259819468388505,0.11073219657533448,0.0010355202556357763,-0.025106731679051156
CCL7,0.010761144889636202,,,,,,,-0.005540860769082715
NGF,-0.008562204503692944,,,0.029995860668812897,-0.014229088502957014,,-0.03468562247304901,-0.04094924574051263
TNFSF15,,,,-0.026245493041224397,,,-0.012546253812308514,-0.027519214696177942
HMGB1,-0.07445016155279352,0.022345279999998253,0.011146836619501988,-0.06496681824792604,-0.0029164411302134313,0.015454666326851602,0.08073864618317357,0.038999613773886006
ITGB3BP,0.01665375278638757,-0.018331425031004246,-0.0005214559336424727,0.05936614247776202,0.05764647070686665,-0.04111611351159014,0.011448132276067384,0.056906843830200796
AANAT,-0.019960881367508374,-0.013975407657466842,-0.014731971028988537,-0.01821416269239634,0.021968129443793307,0.07814008390532326,,0.06776279289070082
RELN,-0.026946712671117486,0.03038194333567984,0.010386540592381066,,,0.048148940026803366,-0.015154514938535809,-0.04644817196287241
IL15,0.0273458078259296,0.0050592782775287296,-0.031663833696868204,-0.030789912890694642,0.010291216944955453,-0.006223372579831318,-0.030604174420109535,-0.017118680265381322
UTS2,,-0.04609989859921749,,,,,,
BSG,-0.04518550944099614,0.026767942511884118,0.06063207815063006,0.028365504504606277,0.0023052946816502946,0.014206018009810084,-0.0007357118622007938,0.0419597666325444
ADAMTS3,0.019667728262146647,-0.033953935047580514,0.0045252968021853015,-0.021809605545519216,0.07567985479283885,-0.04490658257696829,0.014267785263637162,0.0992084598907591
CD34,-0.06936239474001,0.014676109040713745,0.01584705906252908,-0.005405254396850237,-0.0009364431987753462,0.02051149536055043,0.04613398424157543,0.027917766427603727
CCL23,,-0.015901795464248122,,,,,,
PLAT,0.027043505777716567,-0.0021324211594681394,-0.03825937858774275,0.02924570745810346,0.015522944999928633,0.035350538120471904,0.03063915938496486,-0.021426911398678302
NTF3,,,-0.023780915619104576,,-0.00375660745137179,,-0.003090355213719127,
CKLF,-0.03870322271081628,0.005201024073219373,-0.06566268655935827,0.06839116929466646,0.043274381205967244,-0.02502880949525262,-0.015386011934109912,0.006401766894471828
CD24,0.03599981205498138,-0.024779337870426677,-0.02892518821021544,-0.0011443664043587736,0.09430166140077181,-0.02580556428678727,-0.04238082661566497,0.06565979658041303
HSP90AA1,0.05986824147201262,0.03836532777061089,0.020786172066127265,0.011228417553119659,-0.0653298645822214,-0.037069247190166216,-0.040994483262665735,0.018678122260918084
BMP4,0.04101433376621086,0.00778069312394998,-0.023805820359537617,-0.018818421944331053,0.03063069887182328,-0.005920360793281574,0.10803494159067835,0.03599467992397144
SCGB3A1,-0.013758078922822981,,0.1505960422984431,,-0.027609246688767006,,-0.026054610272725494,0.00503184791271705
IGFBP4,0.011203406437865115,-0.004888162212968864,-0.033226743959974075,-0.022659033542288088,-0.024598264080280242,0.023567274803060992,-0.008721239315761076,0.0315327912426075
RSPO4,,,-0.01242655983411994,,,,0.025520715856998367,0.11974065036578757
LEFTY2,0.06034517195232496,-0.007453875864572833,-0.013625874838278543,-0.023276156273637418,0.1545835753874907,0.0842480450353506,-0.00770217632485652,-0.03833102738560953
PF4,-0.014271798387719678,,,,-0.013219638926348446,,,-0.021792910286976705
ANGPTL2,0.020073897800296114,-0.035255468189629054,0.010424313283013084,0.004448630420845257,0.026498602326657163,-0.017824169813552983,0.058851840664623595,0.03475316697297656
LRIG2,-0.020282837245395167,0.016537216643323745,0.009478899060920976,-0.012531916900348663,0.015030301055464572,-0.024335942734566803,0.008745150901949845,-0.01020055249030535
ICOSLG,-3.180923215382398e-05,-0.01697006775693289,0.061999957354845155,0.011403397147775149,0.06450456581879539,-0.05183717711237057,0.0026352986567597107,0.031350270649265814
WIF1,-0.025679784695850447,0.007989893094643645,-0.011231337732636367,,,,-0.01631133048015789,0.009992852240653226
NPPC,-0.00705348553556778,-0.02662889714622557,-0.017269877126314184,0.10993086210885285,-0.02501244309331854,-0.027496005109072536,0.05044732615815963,-0.042715611952927945
LYZ,0.07078093459980558,-0.02992868461290718,-0.021203444235216997,0.07550783454823133,0.10517673526214055,0.033075368226320165,0.008702472382537628,0.02889276845987006
EREG,,,,,-0.042005969875308496,,-0.021854674812005592,-0.025090095514926754
SPTAN1,-0.00876077319451206,-0.016296881936415264,0.05183239719320551,-0.006156555200424197,-0.04366599859842945,0.0014686425451212596,0.01891309671249283,0.010832511016222214
PTH2,,,,,,,-0.02790505273282429,
LIPC,-0.017472432494445415,-0.025428537672778476,,-0.044811555346568735,,0.025939975272759836,,0.023555972021973796
COL8A1,0.10024837470205186,-0.032797875205407036,-0.016082819360851052,-0.05595254962326959,0.05687127421741831,0.011004483226322607,-0.003132480126220824,-0.032163627606409284
GSTM2,0.0016857594295431211,0.019821762465110145,-0.02805337409126537,-0.03994962631516289,0.0020095268297411813,0.006431293715556618,-0.037252279543057445,0.003706895443612931
SPX,-0.015566050313750694,-0.013997279256931268,0.004672856368854219,-0.022764850862902645,0.15703523224735638,-0.06290066625766974,0.01647522121398085,-0.02027930967488421
MFGE8,0.015315273442131785,-0.03922104900899724,0.01798455200153205,-0.028988304035885613,-0.027808112572730942,0.09579868201965551,0.00987006581652292,-3.7566015314271027e-06
TGFA,0.03346022852273719,0.04435737846225034,-0.012076223000107843,-0.002425912528116466,-0.03427596468229343,-0.019796219536598873,-0.014455312000552263,-0.022732245401757244
SLIT2,0.060161337248330414,-0.0370384310332452,0.03602769073597052,-0.02466468771863311,0.0039620602903285805,0.01359194852232332,0.052453853113127814,0.01271887590881292
PLTP,0.0014582717066928654,-0.012801181676169037,-0.011690119230709393,-0.0036056360251957866,-0.02637977296285714,0.028500262021639612,0.028361322771741,0.03763651537615185
