,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,0.04584063849538519,,-0.017974683013902808,,
BMP1,0.0411752229451792,-0.028839342920287475,-0.007386951768113666,-0.061217683095944705,0.011351166522891108,0.04848926957046505,0.06932831867712658,0.010828413196544531
NDP,0.0382866667256057,-0.005063970853001119,-0.033625643198254625,-0.03337481493608706,0.053176114407660936,-0.03734422763349004,-0.04028626556236341,0.0966120603387305
TNFSF18,-0.02373640864930689,,,0.07020288562611628,,0.024551861953867368,-0.009634239090191968,
RTN4,0.0431400873753225,-0.021747472795588137,-0.04578720690692455,0.05042204243486617,0.02633128360190763,0.0014199635124681382,0.014109385388322413,0.049410848972417556
HEBP1,0.09665533290074106,-0.01973328415512397,-0.0024828696420609187,-0.04435312965679696,-0.004399727081824228,-0.02201202828955064,-0.014066533378417019,0.1090112716951326
WNT7B,-0.02613146912099198,-0.015875886356692796,0.02546740825378904,-0.004068643354452024,0.02370956650948795,0.015384906724354809,-0.004854785436984425,-0.038609801411885
PTMA,0.053705991928650255,0.10458447308768194,-0.041656452333767885,0.061812624857234204,-0.0643389202099368,0.07013709513148193,0.08327779125942163,-0.010650967812881676
FASLG,,,,,,-0.015589436445806184,,
CEACAM1,,-0.02532359973754519,0.1499269807701406,-0.03268879825705926,-0.024293740572849977,-0.0027685120020643486,,
PDAP1,0.04276880850630433,0.026754263199686188,0.02145265230493491,0.04580028193567154,-0.008209913142872104,-0.022943371823878917,0.05004006195583391,0.009796057670971752
QDPR,-0.11354605891139602,-0.054533711006363284,-0.006257892647811406,-0.0027250999245486377,0.014629715195404566,-0.0182122776138997,-0.07093643130697212,0.007302984323323799
POMC,-0.06396884859797511,-0.06080369654444205,-0.025387054472682125,0.03746227450433374,0.0388504717822546,-0.03761301827419814,0.005294899621801327,0.06802289929178458
CCL18,,0.010329385692980796,0.006519967160365567,,0.0038982402185398796,,,
CCL17,,-0.017965868317107548,-0.027978520213219078,0.007065741006532262,,-0.014130073138562505,,
VEGFD,,,-0.019381574955951088,-0.03067486407646637,,,,
TNFSF13,,-0.009122196840484036,0.03660551930865189,0.0020677488610561486,0.0009685406046157925,0.04912223129445587,-0.04016049341718133,
WNT5A,-0.054949291588484016,-0.0645666958084727,-0.05227968900094972,-0.10213292646548185,-0.01626254443872105,-0.0002728959970560141,0.06587571594280021,0.11192535855789473
CXCL8,,-0.11158696964024341,0.014216713324510799,0.062333069633648985,0.042987845183629685,0.030385343765616572,0.05007656113037181,-0.03312508895102821
GRN,0.0641346200219255,0.02353951813898285,0.0013781692890769087,-0.04164871152265798,0.005997866492204625,0.09552717479895208,0.03897901620748459,0.0018324535032980176
MIA,-0.06414076672238672,-0.006614444042646865,0.024816317685549125,-0.005971184240182723,-0.05833548453225337,-0.06798599864644464,-0.021274547935790655,
COL4A4,,-0.047470905571545895,0.009093019787096231,-0.044801873529962406,0.02930237749626757,-0.0014747243280793902,-0.022132537566144982,
TAC1,,,,,0.002913387034315172,-0.01857541794695244,-0.03242387387769074,-0.060174284017508045
RARRES2,-0.013669375588818767,-0.05670116693415109,-0.02124279196591335,-0.037681503227881136,-0.08288120764407474,0.04578936930151714,0.0578220509808784,-0.04844300314672129
FGF7,0.05706031114441045,0.023092192252004783,0.02179497003997792,-0.02704864228840859,-0.03502481055648171,-0.027871816086882766,-0.022642044576073442,0.09211903437217685
EFNA2,,,-0.018420889920994908,,,,,
HBEGF,0.030706019592841503,-0.039938121057724825,0.02633277947347699,0.01584974650306221,-0.002618858641850611,0.011183747933068207,0.10757645207248262,0.026514117837920476
CSF3,,-0.05799956479204503,-0.02924187319595402,,0.05787621259901949,-0.014876787193843046,0.007232921593886925,
PI3,,-0.09496983915977981,-0.04599469023148534,-0.02471177939728893,0.0037676062790276505,-0.018640078474569183,0.10424791055002051,
PCSK1N,-0.011683529534326565,0.05357926607792699,-0.00026246779120970307,0.07192352260883503,0.008928465966881299,-0.05357522936109751,-0.015696885825383682,-0.0712919480459186
NTS,,-0.041912500605843964,0.12544493519494748,,-0.044235777688170906,-0.02203049321726752,,
SFRP1,-0.04272084473743506,-0.014718219622217891,-0.013209749755856268,0.04587729849675205,0.0370587563665631,-0.021518560367872332,0.05879862234470318,-0.08435967054502023
CXCL13,,-0.04035502375933702,-0.047328517451093816,,-0.04371892182215659,,0.03297520234520818,
MICA,0.018819609560682012,-0.07178768705778713,-0.029796134068703725,0.025267292266698032,-0.014124561684552716,-0.04021732018699721,0.06523957335515004,0.03435758353301443
TG,0.0986676704033672,-0.023872147268927738,0.0019636989864378206,,-0.01474084058817766,-0.029012572661782556,-0.042203759649562037,
ADA,0.02837091800820066,0.002548353042994443,-0.010775823150135306,0.059015344629230214,0.030427075799364572,-0.020783102533762792,0.009510062851338277,0.08722487862724675
LAMC3,0.035159729989748284,-0.014652231286453246,-0.016962689178019262,-0.04552723359000054,0.006284444578143534,0.02808341402866661,0.04879392962920356,-0.05286585202837887
CCL7,,-0.011228445992354518,,,,0.06542399634712012,0.046396294282756045,
NGF,,-0.003327571073374687,-0.018173282169418967,,0.04807676558336609,0.011321180865788361,0.03576493086449711,
TNFSF15,-0.0011426700773491082,0.09147485419340214,,,-0.021627835740140988,0.00041513938801981265,0.027033753572344277,
HMGB1,-0.06151510899246739,0.051530841804329715,-0.0077182979544592936,0.06344122065473382,-0.061040018930237167,-0.011816906025640337,0.020815452492959394,0.04539107982403835
ITGB3BP,-0.020579864934735372,-0.017439379552962757,0.0724506296491627,-0.045708148899633254,0.06375007459999374,0.06157447771635788,0.01951580196183773,-0.009285478177889814
AANAT,,0.014216593230908408,-0.024789528616044835,0.03988319449982797,,-0.016494268007952673,0.005744572385688142,
RELN,,,,0.004235190192818952,-0.026124081715182313,,0.06981386675136915,0.03208769784540308
