,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.0163376097442514,,,,,,,,,,-0.018219038267851154,,,0.06702744104857394,
BMP1,-0.031611197016475065,-0.02641578492556574,-0.05278721653739131,0.04172927859164179,-0.022127080646886732,-0.07519189473607757,0.03470577029728628,0.10727063693725142,0.11360081316228136,-0.025037802535538715,0.12355062752350106,0.08262014758550323,-0.012325073043998061,0.011502400212390658,-0.023520214854719397,0.27412016197469535,0.2140487812997236,0.022940096551004333,0.1254287284068326,0.0050945179201470035,0.09819721420087536,0.02525128808025514
NDP,-0.050971753953303604,-0.10674029892295925,-0.12680722106442674,-0.0035029912546446222,-0.015436466394152621,-0.10896683468339274,-0.05517734259493465,-0.03793185580928776,-0.0660889118801027,0.04197431744774687,0.024494738808829596,0.15835150522196148,0.04573215723182913,-0.02609763960114142,-0.02497143237488959,0.0708804565183787,0.03817218764540178,0.07670732384220977,-0.017363634369712267,0.04979661752153763,0.010793883278556538,-0.1387476045260672
TNFSF18,-0.01899824034437902,0.04148401218308259,0.005982380739114028,-0.004076460296739374,,,,0.023893026723066906,0.0657178934855506,,,,,-0.0252577245950281,,,,-0.018788972580724383,,0.1315139415365441,-0.007311945492672931,0.028723539192756345
IL36G,,,,,,,,,,,,,-0.013349800014265598,,,,,,,,,
RTN4,-0.006130246511279865,0.06559789257165737,0.004559706129532075,0.018032450815343607,0.040841813002298645,-0.0889414234088978,-0.04295719501946754,-0.07629672037212129,-0.14437693165369292,-0.06294306369224413,-0.04035105736282842,-0.09444545566030957,0.016666541330629763,0.07538306376719027,-0.10198132159481223,-0.0628763915794691,-0.032361011109571604,-0.01760938545987983,-0.145019311321973,0.033553771871471814,0.010499169941522626,-0.18992171498605134
HEBP1,0.01044947076618326,0.1071017447420062,0.007426943709675766,0.03443385495084362,0.04456096715191489,0.050958406870909696,-0.00018348526194908763,0.02491019479328919,-0.022977752670882326,-0.0009123257768694844,0.027829846632964686,-0.034503254136776684,0.03505319007303991,-0.03577823733920188,0.10929043006206217,0.04631210251100493,0.07246363486592908,0.03234666541760977,0.010976220173663457,0.001972502016100871,0.04860772806093069,0.052726772454990474
WNT7B,-0.016736854701963462,-0.07885010504211126,-0.0028860779797477447,-0.03182694475378048,0.0558690065571966,0.12890193857626128,-0.06375410936148433,-0.03137597212779756,0.0017872212747769782,-0.012031756191589638,,-0.024589874144794185,-0.014672968665314383,-0.027806289488564614,0.013146004949161433,0.031263444495200084,-0.03502898251027866,-0.039289261654625846,0.03034165579537049,0.06094549157767373,0.025740150551689548,0.12205255507584574
PTMA,-0.03703469406050788,0.1477498898846461,-0.10714972064995507,-0.015242884270904356,-0.08780547900763062,0.08216082912983054,0.044205141470669,-0.0629315325808993,-0.058559382051958125,0.05975333250711738,0.10358319875918798,0.2988165903139605,0.05992045503386361,0.050431352241509506,-0.06974230426636943,-0.22217926386523174,-0.043703965827930936,-0.011479754789865284,0.03822788609131913,0.007498551428709144,-0.009795212938576327,0.26286623121127667
FASLG,-0.01673685943342941,,,,,,,,,,,,,,,,,,,,-0.01020514464230155,
CEACAM1,-0.023239275799075337,,0.018102281160866186,-0.024425265836699708,,0.055702481891718024,-0.0068675462353417396,0.019839646237742484,-0.048297034604358156,,,,,,0.0459226604875413,-0.08833687243792036,0.008569898913374637,-0.008812234563923054,-0.04987437404166871,,0.021053314854338808,
PDAP1,-0.06673601732865637,-0.06643873879498635,-0.09415597401782162,-0.02354555238715091,0.06753047221894792,0.011671267545634986,0.025593295333965132,0.025437237111384098,0.0010317517426073916,0.01969099976438944,0.01666400941715368,0.25373549416137,0.01165291973566009,0.03309511691532699,-0.026282044555553673,-0.015153310395040545,0.11133620384741598,-0.026518812860453385,-0.019749759278745845,-0.057468983450488335,0.005163490705047818,0.0500610703131297
