,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH916T1
IGFL3,,,,,0.10149189035414807,,,,,,,0.06324029962423222
BMP1,0.04574795299914067,0.013142640360443618,-0.028307684019272777,-0.008627534306985596,0.13800618824910427,0.007361625599098594,0.06604090916295911,0.11356640424077136,0.1154431161800578,0.03189971424322531,0.04306228080932133,0.049239585621948356
NDP,-0.002248072483123749,0.019995746879903433,-0.004105464718615282,-0.005086617484651616,0.08896821201406342,-0.008996844852871186,0.05295267263127271,0.07943718284521137,-0.042412627659695966,-0.01009375234298401,-0.013439435975475287,0.008605758083187955
TNFSF18,0.03226230313214529,-0.03570016473124707,,,0.05540238633443638,-0.014339159142729778,,,,-0.027464741858668023,,0.04336513231736993
IL36G,,,,,,,,-0.023978510020082736,,,,
RTN4,0.04121278876090897,-0.045060167003374084,0.015915679423196608,0.027346571598217184,-0.1667453851716323,-0.031168355650713995,0.003422518875635777,-0.09367044369967521,-0.06927813544566566,0.03167006687680153,-0.05295942763180059,-0.008660804509565644
HEBP1,-0.0010413822114279467,0.030549333180337913,0.0027321020332133333,0.05410290869258334,0.08279847877040875,-0.014560120733750584,-0.013330884905851347,0.07341337444777418,0.07470213492907259,-0.009079076722505366,0.07355002073658912,0.08656795575554398
WNT7B,0.021765852311316166,0.09829669217167045,0.0205967335398935,0.038288660485315366,-0.08304913974430088,-0.011498884016136312,0.06637878817595708,-0.02635514582912321,-0.05820469186866479,,0.01919319226432619,0.022548402052416715
PTMA,0.05112440482492398,-0.029291953587039687,-0.025098787776585627,-0.012414461495511698,-0.07378977357135418,-0.021012553614990905,-0.0020733731343752187,0.033367572208453565,0.052611432549644906,0.0346652452999954,-0.07845074870630107,0.01670749496640833
FASLG,,,,,,,,,,,,-0.021145571371779172
CEACAM1,-0.02130226010418618,-0.017018620090281187,-0.0072629398648488925,0.013069748201921166,0.019928572805109707,0.03924733261227065,,,-0.04382959256702294,0.171015238251298,0.049913335327693986,0.01283168073757427
