,MGH258,UKF243,UKF248,UKF255,UKF259,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,-0.018219043330381456,,-0.027000004914195224,
BMP1,-0.0012166643827719106,0.10921687482074685,-0.05058155529765076,0.06921044439459989,-0.08784346475484232,-0.025714228667680656,0.07313352500841169,0.07880001833191552,0.08103482360893038,0.004210873465304813,-0.03344194300708967,0.024081881249658117,-0.021983437022377372,0.0779527409647158,-0.009347678533735566,-0.04056989549942775,0.032253005782879735
NDP,0.033212498411375385,0.050809839175007504,0.020850264329432388,-0.002246087544234188,-0.004534360368617185,0.025208335384482746,0.015270845222396516,-0.006127659398969692,0.05269326054990981,-0.048117169965272946,-0.02033703439676521,0.030417270139575427,0.0775690587968082,0.05270532625806794,-0.005320477860168325,0.06132186527255798,0.0007878873929409549
TNFSF18,-0.02115380653898456,-0.022076422658527092,-0.024469141910478033,,,-0.01640117805647398,,,,,-0.00771256946704243,,,-0.018788977801622524,,-0.006315563945829171,-0.026018897730282434
IL36G,,,,,,,,,0.055827208628127976,,,,,,,,
RTN4,-0.03684019435690876,-0.05049733766818584,0.035459243874250444,0.04939049080047258,-0.04134805663494796,0.010483773596496332,-0.03697969317618196,-0.023668490608908237,-0.03320886388989535,0.03021332497260701,0.05300371429160503,0.041270349436843067,-0.08595541585344342,0.01640485619751666,0.04335860529235261,-0.005021607321882458,-0.031163108027330865
HEBP1,0.01880870320724475,-0.011764186026913013,0.032376412174251974,0.020111223180882022,-0.0036173712142346954,-0.026193346540286287,0.0331247146809617,0.026249555964056898,0.0251389261856757,0.10150715168317355,0.014855949316837614,0.05810356574161948,0.06573124160320921,-0.007354955444036224,0.04332815992391261,0.05283842725596519,-0.007838711114519111
WNT7B,-0.018635841005200295,0.0858782289331689,0.05416939478405628,-0.03255377200932156,0.04720110831072163,0.012588835411747091,-0.01632889746376984,0.02168109397799427,-0.019703600475633715,-0.0784010841886484,,0.023286303850741007,0.030087572514821716,-0.03928927257194622,-0.021233132031301786,-0.0098966093348,0.14049245684166634
PTMA,-0.02566255328633963,-0.026375714851872695,-0.020882600590829324,-0.08875096397761133,0.0682941338050902,-0.0013813073317996514,0.028942446070558715,0.11934966539480295,0.0908814510392056,0.04905637823968049,0.06208891746078478,-0.08247240594781567,-0.03170011198448385,0.00243539950326632,-0.02305279066853853,-0.13018870859375672,-0.12705294961753708
FASLG,-0.018635846273504803,,,,,,,,,,,,,,,0.013123483815850972,
CEACAM1,0.04772152137042081,,0.006151051234538333,,0.051389043494200426,-0.025795145763966743,,,,-0.03892200119294444,-0.03526146242209702,-0.014955692265883296,0.09877065473642961,-0.008812237012581641,0.03872144643258913,-0.03258144841809664,
PDAP1,0.00016743542331050458,0.013610639100005116,0.07775044437258923,0.011446045209558763,-0.007778218165728028,0.0012662508401551707,-0.007814071814185393,0.06388634344106316,0.008136657885254183,0.021952803434830862,0.013401749864678883,0.0068330936786371475,-0.009688741033858285,-0.0338731658514225,0.021925860460839556,0.008666438535975212,0.011278625342083737
QDPR,0.016294943312860896,0.04960737557572582,0.082723200435703,0.056887759919499147,-0.038650470806981946,-0.023960065117903474,-0.02672543675569569,0.0638689172963667,-0.002836413951205112,0.06337398862070263,0.041576329722411626,0.009874677126685624,0.042116070598821574,-0.0130862905940279,-0.021419580341666203,0.02862506636649002,0.05120320071850904
