,UKF304,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
BMP1,-0.013723285785271945,-0.06549662923983005,-0.013906515497270563,0.02853604203534704,0.024069955760608087,0.04060628315222836,0.10368980632835156
NDP,0.0071983617269970376,0.023389247241412312,-0.018286965690749835,0.004149723871957605,0.030749879569285984,0.006211565939391069,-0.06087203006164741
TNFSF18,,0.10122806453960934,,,,-0.026674484316749,
RTN4,0.06101960204352083,-0.13358357727678655,0.03329521222127094,-0.0315092281112135,0.0566335643200269,0.08589164710648772,0.08850738929353334
HEBP1,-0.06874068014443836,-0.11166073879870707,0.04215308282439185,0.004959043236113935,0.008853007799481978,0.0177189888300316,-0.02130350899492117
WNT7B,,,-0.021651744032643472,-0.023011229407845762,-0.020366673885378588,0.03325962101682662,0.1018066138226847
PTMA,-0.10401574544561573,-0.0031196457476799838,-0.018375401376339345,0.06205782881281635,0.011931956209618214,0.04694562489298743,-0.08507789893093815
CEACAM1,,0.017052247468618345,0.13659966171197696,-0.016893068179143073,-0.01351765766452986,,
PDAP1,0.029458011112020975,0.15426555563156877,-0.09144856796786159,0.036320557442270064,0.049539465618671286,0.06835847459066596,-0.065173737781373
QDPR,-0.1040215087781105,-0.017697223179928567,0.06749080133238791,0.0037123409756882834,-0.0363606947968127,0.014531706646118242,0.028893257710348477
POMC,0.02261565236517627,0.0010816637792727883,0.013329090021664288,-0.03957442735739528,0.04519650986710868,-0.026972279558747647,0.04751639911622942
CCL18,0.032727173355814924,,-0.01331440034664271,0.033980640946479346,-0.046551375588747355,,
CCL17,,,0.09546478128857581,0.043988390780221154,,,
VEGFD,-0.023483949071923426,-0.04901296286199514,,-0.016893068179143073,,,
TNFSF13,,,-0.024424059895740292,-0.02650697050353016,-0.015179423569579693,-0.029018034096550602,
WNT5A,0.015861746186865602,0.04574723869600053,0.0045849209203162175,0.0010353895682798388,-0.007171124598614274,0.0031429038170264125,0.006441364920708484
CXCL8,-0.013117743730668485,-0.08461484577079265,0.0160836412191091,-0.03184278701514525,0.00018713965796347874,0.03578357169897614,-0.008291387909424672
GRN,-0.06467109485093321,0.10769099056681312,-0.03927193693424135,0.00046594820294550637,-0.020662737710592505,0.0508239235074591,-0.07585719628085574
MIA,,-0.04253879379864654,-0.014518091004653065,0.030345720723587086,-0.10738954085090426,-0.009807330959076413,
COL4A4,,-0.03837811519357559,-0.008214023075216959,-0.02704844353658028,0.01365495172348411,0.033535177799829397,
TAC1,0.1025445813227655,,,,-0.00708204660146649,0.03091106858225731,0.0607138779711225
RARRES2,0.03176170955097066,-0.16913063099653403,0.02533664193599606,0.03969736820140811,-0.026716183985688615,0.041244093613821795,-0.01835625819110693
FGF7,-0.05451992220759966,-0.026168054274411236,-0.011698033044001667,0.03899224356588987,0.029223418732480088,0.0015693391225598677,0.04618830678678654
EFNA2,,,,-0.016055730768169973,,,
HBEGF,-0.04282277449881094,-0.05044688987684836,-0.008271036131520396,0.06736014494655809,0.017273989629179174,0.02612167668352318,0.05074220888422041
CSF3,,,0.02623928086950123,0.024802595011831328,-0.019379408756106446,0.12217759169831427,
PI3,,,0.00665584951559653,-0.03223006020684783,-0.08952356065830748,0.08679916087290246,
PCSK1N,0.09036842686697921,-0.023858046860917314,0.043768519053498975,-0.013372976025321823,0.056331112542823074,0.024652897306864773,0.1555221030299528
NTS,-0.021143097845518714,,0.061455786174682156,-0.019560861150572487,0.1738473652657911,,
SFRP1,-0.05871584757217003,-0.07321747013840116,0.07987940363061903,0.03460235539907145,-0.0055196724817243754,-0.01655914318782591,-0.08902661754335268
CXCL13,,,0.09315202583483496,-0.04125174935144255,-0.03161184845612294,-0.027671739068193278,
MICA,0.029927115883210537,0.020878665845309903,0.04430898252946637,0.022848946150159026,0.04225567038755226,-0.0407270713543555,0.040706031590016394
TG,,0.0669872711144949,-0.00858867253081524,0.011816519281374057,0.10028415965156161,0.1969097425891729,
ADA,-0.02229241123606388,-0.10812385499810308,-0.009270051427873563,-0.0014324337942780434,0.08804154648459385,-0.007405933256666255,0.10152673411905186
LAMC3,-0.00503547750738789,-0.017028309050784902,0.0033397863911368095,0.043440427493624915,0.01278097506712386,0.04459477923357479,-0.04691873462634976
CCL7,,,0.04374882790662007,,,0.06409094156294566,
NGF,0.07788973893771889,0.01103030010850089,-0.020146867646102667,0.00987695602116756,-0.009632075876044473,0.03405128529270319,
TNFSF15,,0.01751124888742217,0.050849052133170855,,-0.012034280134144542,0.019342700303199598,
HMGB1,-0.007169275303458946,-0.05344564350210378,-0.08674587661562294,-0.01692560073641992,-0.009809090984608058,0.04682714959606261,-0.011094476201801954
