,UKF243,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH916T1
IGFL3,,,,,,-0.01433720781363252,,,,,-0.021666607619764765
BMP1,-0.009054190048710999,0.02042001141862576,0.0004491566308835667,-0.04119474328731378,0.05293998697214348,0.08213256472557284,0.0019310567284912517,-0.037658845449883155,0.021871683886297573,0.04845788240460795,-0.02000023716189242
NDP,0.0319893599457345,-0.0031768430563789574,-0.05144901042296904,0.017810715268133156,0.054411637272282674,0.032698956047789246,-0.023628666550235027,0.015804670382240878,-0.0006168760797575442,-0.004997514726930951,0.06353469114744772
TNFSF18,0.0036422893201166276,-0.02773421578145515,,,,0.033537021432955005,-0.017004425174644306,,,0.05455372814718283,-0.03654769346271601
RTN4,-0.07323166505298322,-0.05123468239909224,-0.057405425858921,0.007454865555958892,-0.03196600031999572,-0.060975521180101105,-0.08363149609057695,-0.03304214169936831,0.03131974645589116,-0.008217835586248749,-0.08118914839311643
HEBP1,0.009264636967270933,0.03420534173628731,0.054014726858136144,0.020162449782473817,0.032164254916095134,0.08700425658692419,0.08077524384678039,0.02442009914759468,0.01178951454342292,0.00683754703610293,0.062478781476867556
WNT7B,0.01022393168497406,0.05675665704171157,-0.02958759031637889,-0.02697617862123243,-0.03141406563903178,-0.0527116855568706,-0.017252939158792096,-0.015983162532168364,-0.005875751068273457,,-0.006578268910564372
PTMA,-0.07093491421184318,-0.05902654969048006,0.003150185018204254,0.0396959128881277,0.049235052779766246,-0.09053121162973704,-0.049275348408295644,0.04676192250821079,0.027832331307758796,0.037387964771262126,-0.09366124898084609
FASLG,,,,,,,,,,,-0.018791441396951984
CEACAM1,,-0.013221173780000608,,-0.02163786584370929,0.04003485337622027,0.029680107998472885,-0.02674390976685214,,,0.10381436484086867,0.0219625526306248
PDAP1,0.04817007218940517,0.038204921012474954,0.041511740413544836,0.05564215933018364,0.01372844783421131,0.06097833225492578,0.006138186676441518,-0.012845439257014589,0.0267688031615059,-0.09238946241152314,0.03750970094840236
QDPR,0.004775397110829732,-0.04764480768972699,-0.028744437229357166,-0.029104021325218176,-0.028162649114501993,-0.08489680062355873,0.009160868605724279,-0.03159745255929833,0.01032257528591544,0.02164574265370418,0.0296406624600682
POMC,-0.05404364230230837,0.019295260424903364,,-0.029007913249032635,-0.014279118189569598,-0.025750132777531975,-0.019730590294389262,0.0031399310440120105,-0.023259252513170316,0.11909716005312158,-0.04715484826045356
CCL18,-0.016241969444212447,,,,,,,,0.059628650818566865,,
CCL17,,,,-0.018054781738749,,,0.005705844455177038,-0.01978267468750928,,,-0.017032330978800272
