,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916inf
IGFL3,,,,-0.032489690987215936,,,
BMP1,0.054125679061353044,-0.006129478986655392,-0.0124841026789318,0.016244011234335748,-0.016880604440925952,-0.0013149767419837822,0.08962590472811253
NDP,0.0820833835785557,0.06002253573170498,0.07192933752932121,0.022186462289688444,0.03778116025623502,0.07906255005464412,-0.051674164549449786
TNFSF18,,,,-0.033506044838392424,,0.026326052767238647,
RTN4,-0.0314027154946817,0.04831580545370615,-0.030725965056678423,0.13775901500945617,0.008255503134375083,-0.04740228732190793,0.029155318195866448
HEBP1,-0.02503332421194822,-0.03212964199189979,0.053670254695836854,-0.0641769527910518,0.061669202926710694,-0.07296854372221077,0.042314823874550316
WNT7B,,-0.0180815878363202,0.03504964393954955,-0.03871301981053955,-5.578810238361396e-05,-0.044307817125789566,-0.06514297586967346
PTMA,0.020278298974744414,-0.027677534983590806,-0.002661211781280226,0.10560797990509584,-0.01053179066132831,-0.025264893159583295,0.08420301352241848
CEACAM1,,-0.017930268244172303,0.09262374486279214,-0.04814468835434246,0.0029231001434325723,,
PDAP1,0.004194202071058862,0.02788843235371529,-0.009830587320670851,0.04425419451602154,0.014941002405653351,0.12097589175837502,-0.002407218655532967
QDPR,0.03981492207788269,-0.02190979660985248,0.021283690482620746,0.15130344646130198,-0.08076613581769551,-0.05287916742205051,-0.06514770117859116
POMC,0.0010830528511716884,-0.008113581749848232,0.04191921854798097,0.005462654743623649,-0.004410066809559439,,-0.0588781629058275
CCL18,-0.028514283467798683,-0.03281217094351173,0.018396737462473396,,9.074721152320212e-05,,
CCL17,,0.020573624499532005,-0.0036804860922157122,-0.04283578079902378,,,
VEGFD,-0.019515869613744977,,0.09143495005936139,-0.009528941996233031,,,
TNFSF13,,-0.024409031012600998,0.09306838323391646,0.0048135177010490545,-0.020302337556009204,,
WNT5A,-0.022626178212860566,-0.003536311070285418,0.031251002149332914,0.037323487838563096,0.03850169266275061,-0.02911408199037562,-0.04271652189350915
CXCL8,-0.004225836630835697,-0.010723500126949172,-0.05099233357027295,0.011985591379611424,0.006418336445250589,-0.036834013407130155,-0.08860338375469354
