,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,,,,0.044795686701164995,,,,,,,-0.021494335300823456
BMP1,-0.01360130223985794,0.018941790530376743,-0.008618316833341409,0.03642350243469342,0.0026190101998106495,0.027957989290929262,0.028452639317221126,0.00014479476883404158,0.013494132460280656,0.05670296236461291,0.010199298286551764,0.016064321631593607,-0.047375622607401885,-0.058816464420355874
NDP,-0.041034396832521323,0.04777843119278297,0.022605010976903005,0.054989292704636296,-0.06671561332039835,0.008807368859979547,0.07255134430774013,0.0010896663431332568,-0.004400752892176246,0.06991553298377756,0.021943379962181486,0.05337874018458318,-0.007316126940254053,-0.03171597661512725
TNFSF18,-0.021911212034690937,-0.019872599663920746,-0.014117643333626844,-0.04275599908428772,,,-0.019362435297762777,-0.011245538334954812,,0.08775605157196255,,0.04565700003391296,,-0.02216672859844105
IL36G,,,,,,,,,0.0073400465284009595,,,,,
RTN4,-0.03740867203788912,-0.03867419756502146,0.05523384202375307,0.033247914563270684,0.06323860981639158,-0.033909946277985395,-0.03426422358302463,-0.010554036797200154,0.01193627400737869,-0.028335848285269735,0.020119656671921646,-0.08592228772136941,-0.02409891184290628,0.05777522723273626
HEBP1,0.0028627813282741865,-0.0839126630615345,-0.009412208612630592,-0.009902532311316124,0.07989116946389652,0.012790108194608804,-0.023858462890529404,0.023154279322139776,-0.022378361991893247,0.0023827588561297595,-0.00966141648813442,0.05692047887318736,-0.00047240466957411376,0.045080891541817526
WNT7B,-0.019303091524317813,-0.04638286852274462,0.02300593035453604,0.01216649719258005,-0.004235274773309222,0.028732847811091953,0.03561423010340637,-0.03223428881625524,-0.016577858746195134,-0.00460611782525975,0.030373360016567857,,-0.03771679375306866,-0.021965260860855214
PTMA,-0.00913681594515208,0.06778598168138149,-0.047134339558341495,-0.028318988351052034,-0.007080696333533063,0.03172507207597859,0.04201333240396645,-0.018613984539393,-0.02014349047277211,-0.02605464587023828,0.04562213079802301,0.0064314527415807315,0.020628832131886196,-0.006009513864079939
FASLG,-0.01930309698125234,,,,,,,,,,,,,
CEACAM1,0.06041537476636116,,0.002195070313062266,-0.02358741210572015,0.03356903695605725,-0.01389737099126239,-0.02547986205000073,-0.01768655273088342,,,0.06410407724902327,-0.011167327308627214,-0.018272030620994688,0.07818854590333273
PDAP1,-0.015475958893721758,0.009547415979459612,0.0896906047402494,0.011260117616886327,0.01388902413220607,-0.04308817482634748,-0.04543993585528002,-0.020478016764277157,0.016887679623228284,-0.00195735452398687,-0.04555217335016806,-0.011750934702630788,-0.024767656457538596,-0.03989746848074132
QDPR,-0.009896914244069174,-0.05530845475206373,0.10449791569093769,-0.041819487198964424,0.005320120829693595,0.02814942837507176,-0.024072040488164546,0.01751483684542268,-0.01262052907554794,0.03162325566752745,-0.016434843521983974,0.041610217323730075,0.023244786792131978,0.0336346619266949
POMC,-0.009795004825793492,0.028783984854200105,-0.023735769877956937,-0.00046071326016586706,0.019069563100854413,-0.027964796775404893,-0.03284495477949053,-0.013048433407657545,-0.011106149224160729,0.018097936996444103,0.01944856563720179,-0.03372384337839289,-0.003679247264357546,-0.033920465619741845
CCL18,,-0.02665079015845497,-0.021629325569122185,,,,,,,,-0.03700515501897548,,-0.03574906211422071,
CCL17,,,,,-0.024890448309234706,,,-0.01402537574275157,0.035062497162667385,,,,0.00591199810829765,0.045361028336801446
VEGFD,,0.009545366836460806,0.011722187263624003,0.006135350564683871,-0.027730708061736668,-0.01329621772088578,-0.021843723059142145,-0.01494285157130021,-0.014767025856768812,,-0.041690443615655055,0.051931210885322855,-0.018272030620994688,-0.029888939819257082
TNFSF13,,,-0.016322188338503397,,0.016700054626652926,,,,,,,,-0.028670705142141612,0.0019198929895719546
WNT5A,-0.011597286512219699,-0.022905966125242642,-0.09225948394495362,-0.0013100213214797566,0.10723356187099657,0.055157730759295046,0.01856643384531543,0.009313295758208521,-0.00422260084386987,0.02894448476943408,0.09581203413630629,0.06663244710265562,-0.04099419555003202,-0.03506196973814482
CXCL8,,0.019141328449084276,-0.027284802628809987,-0.031633555679719816,-0.010890638577780437,-0.05073579876891052,0.022443647368203083,-0.015185287410209898,-0.011668716907532586,,0.054372534629282925,-0.031039126053394053,-0.07619634573795432,-0.012928789416496899
GRN,-0.04214882835316546,-0.011751382587653346,-0.02989803794539222,-0.02480241158765636,-0.041460733327061405,0.016266476569837453,0.030310067747403233,-0.017269457934997665,-0.021875179532711925,0.0645685971837301,-0.05541733652931543,0.06221832702186203,-0.0035460617119284065,0.051085538715279745
MIA,-0.025266089014777893,-0.046477018230947006,-0.018369660604907606,0.03530581737077304,0.06308865088172363,0.021743525183910362,0.041741482899283484,-0.006503207109108689,0.014070702419870844,0.11181527753497592,0.04447857240929848,-0.06355806523141962,0.10640676017510402,0.03798288358183725
COL4A4,0.020235017401754363,0.06388523745761727,0.06701984819126451,-0.0505273069912104,0.0009827488240349701,0.05147945911762759,0.0173741534621348,-0.014642926201925375,-0.019618145384751626,,,0.11015782691026217,-0.029256378019052738,-0.043653999521854454
TAC1,-0.019303086479231516,-0.03785830241094893,0.03858393980961401,-0.015886179316702446,0.06694398155291527,-0.031682084967604336,-0.03157274843895821,-0.06644888840243549,0.024701527770096023,,,,,
RARRES2,-0.002289069758871828,0.006177815575263614,0.07059852909328539,0.03386308859828215,0.057137049831620726,-0.009687490391918378,-0.010439444672420922,-0.03610816709896283,-0.010516862083837581,-0.042590085933778395,0.088377983958963,-0.029618091865856767,-0.0005951947636688984,0.03247074668078577
FGF7,-0.06371077595703344,-0.03441470278296567,,0.03545000327884069,0.014683524735088093,-0.025458390023446457,-0.03661743175543754,0.008734349919373888,-0.008941034203308591,0.08285591482793164,0.003032119545981337,0.12806580573227339,-0.04485820435380126,0.025429967041819507
EFNA2,,,,,,,,,,,,,-0.017366342284740013,
HBEGF,0.007858573183636712,-0.07176906622991618,-0.017559192950149943,0.06021715876377097,-0.00943218355297571,-0.03687371916481768,0.006776110234248878,0.08796199152920792,-0.005320605991008613,0.041575389744816026,0.09240430396699861,0.0018435550402003092,-0.04951735698356934,0.05786679332912844
CSF3,,0.04629115520840269,,,-0.0296672441108186,-0.04429949371978616,-0.013593897467750391,,,,,,-0.04113417119394506,
PI3,,-0.035809629476562535,-0.007880911907497977,,-0.02892692139711942,-0.0030134739277689914,-0.015306907968712988,,,,-0.03984353341249811,,-0.0899704982563135,-0.024078636025611073
PCSK1N,0.04606594883980542,-0.04905234859849177,0.08313538837110276,-0.023691065768164703,0.04691702157555033,0.015675073187633982,0.03168750115349236,0.0838198190370766,0.002228295240943713,-0.024508138730181084,0.0054955162300621575,0.05603893067713003,-0.03865787757344423,-0.018973768253239938
NTS,,,,,,-0.006173388862115707,0.03033362340651119,0.11410050499956179,,,,,-0.021157592577384386,
SFRP1,0.005235052268197373,0.01743644987774582,0.01043209675954326,0.004753467507160581,-0.02171787825500331,-0.015168681822722373,0.059267600981769655,0.004328882809545202,-0.0008900806728601364,-0.0027206054986691082,-0.05059594320039086,-0.07401018515088964,-0.007743951215660524,-0.03012892558259914
CXCL13,,,,-0.04563181332590736,,0.009663873654346476,,,,,,,-0.033801102905598755,
MICA,-0.05824848072954127,-0.02160843613036896,-0.018893412512610137,0.04324913670675769,-0.005861050303094959,0.04085704221264849,0.006903157139752745,0.02503321988012007,-0.008902258129049285,0.11742046395930311,0.1430982157382072,-0.04748382442829286,0.017942973344375744,-0.05700800434485301
TG,0.019205508642263315,-0.024096578325144488,-0.03406094049513506,-0.021603158808397943,-0.023437031492761513,-0.01917798506439205,0.0064528332593951155,-0.014130035291608707,-0.020697504373275444,-0.013143200857072214,0.021795979389488157,0.01088252844450167,-0.026057888131454054,
ADA,0.06309512017741904,-0.03563490277876981,0.10965085366694059,0.024166134437253805,0.0008896838182231193,-0.017637757116565043,0.11237087113409676,0.06352594934823348,0.01371963897950914,0.02890040767575094,0.11656128449796756,0.02311255680522931,0.0529802712709383,-0.03731328982533399
LAMC3,-0.028948939025388688,-0.017934587062913298,-0.010034410381059428,-0.03831351872521799,-0.09421068898718941,-0.051344704276634914,0.021556976604516276,0.05525153094399548,-0.054149599527224285,0.06818972463379194,0.031712940461056834,0.02843093738391402,-0.02188468453831071,0.07875038834351322
CCL7,,,-0.013758078259049093,,-0.00011580173048820534,-0.01993013053072385,,,,,,,,
NGF,,-0.017415237236406752,0.06331100856976957,,0.001138396443827353,-0.021273339987123066,,,,,,-0.0002982760956871021,-0.017132909427550965,
TNFSF15,,-0.021544821942364088,,,0.012613188914221567,0.010400445763387818,,,,-0.03154017495635588,,-0.01938092086446619,,
HMGB1,0.0499114586222367,0.00036889689792685794,0.011478612983674906,-0.01557315068019413,0.024929838249871356,0.013022973155692213,0.048562196647578916,-0.08149062582366307,0.058207202229261915,-0.0614240347777501,-0.027958248262517915,-0.011075528774741971,-0.07034555485009922,0.014388850682557078
ITGB3BP,0.0013856122281840084,0.0186396940782801,-0.024761002012458296,0.003355870673228842,-0.008648360144038556,0.011821838754144625,0.03984912097582954,0.02378029890103418,-0.08697045149827146,0.04987304011747898,-0.0016032593528782176,0.04399466536690936,-0.04333241788315609,0.07098710163155843
