,UKF259,ZH1007nec,ZH8812bulk
IGFL3,,,0.018026098935330543
BMP1,-0.017326232714729602,-0.026177419163052353,-0.011042186155048393
NDP,-0.1021341967081012,0.08423491810347536,0.025403520805592064
TNFSF18,,,0.11023512942798573
RTN4,0.02956332638458347,-0.033941405836678824,0.024941948704357786
HEBP1,0.033589499067320096,-0.04214065363807129,0.01839319701157226
WNT7B,0.10427907949117877,-0.006392926305362955,-0.01731227034492519
PTMA,0.023891341578892694,0.0005123640949839766,-0.052244778297045324
CEACAM1,0.011207578349267921,0.0541306386116063,0.1400819289421129
PDAP1,0.0365176954675536,0.027924227665973224,-0.06794339553552627
QDPR,0.009843790118060082,0.008298697959545603,0.010352913412669813
POMC,0.017651020815244604,-0.05369849489642379,-0.024172113046534487
CCL18,,-0.05239449832217354,
CCL17,-0.016496629099439372,,-0.020241516109345166
VEGFD,-0.018379066534915636,-0.03835397262451852,-0.02134855196520046
TNFSF13,-0.011379005547331978,,0.023775265956658815
WNT5A,0.003384311660795593,-0.0701336530700544,0.03245248350359404
CXCL8,0.07209863894488196,0.030938986731570597,-0.02873854053612464
GRN,0.005503808916960987,-0.041332476585138514,0.04861211067004751
MIA,0.027305434785521606,0.006301318831298477,0.07370525386167832
COL4A4,0.010589470596325814,,0.0038647484888648586
TAC1,-0.007168253678157975,,
RARRES2,0.015844365225217708,0.053751019567700495,-0.013304070599560212
FGF7,-0.029241805683095805,0.019304538956785935,0.01340392834460564
HBEGF,-0.003238581437730464,-0.06969122019385222,-0.039393220861609436
CSF3,-0.01966254349533446,,
PI3,0.055906708039153874,0.04490025972835197,-0.01719846925158294
PCSK1N,-0.02826499605849032,0.0355789881348553,-0.04766472553823705
SFRP1,-0.014393946543206507,-0.009269721392431592,-0.026971998271029442
MICA,-0.007291309612851869,0.10266459807158144,0.06784167129595366
TG,0.057492079061241506,0.005158846466970692,
ADA,0.037066360055999684,0.028922572294615097,-0.0008823141372641989
LAMC3,0.016150382634250168,-0.03692101192311312,-0.0013721705125715495
CCL7,-0.011230586374545392,,
NGF,-0.025732141810520325,,
TNFSF15,0.03345464367296792,,
HMGB1,-0.033885364034999636,-0.04558223733195201,-0.0018561960050300407
ITGB3BP,-0.005813038777593188,-0.06772442504782857,0.03415403807100343
AANAT,-0.01137900676179158,-0.004622473270763516,-0.02503810603736061
RELN,0.010325253047146812,,-0.0313116954666255
IL15,0.01286412026523384,-0.024601384959629814,0.00023296281808396176
UTS2,,0.07140293574983334,
BSG,0.010767423124478209,-0.0009296311582680945,0.0632547220376856
ADAMTS3,-0.0035008549913170483,0.005603549135170655,0.041603044054812806
CD34,-0.04075523703369207,-0.002761247037607646,0.0033706944924144265
PLAT,-0.0736893692014658,-0.07283921271249105,0.006753519588257625
LTA,-0.014393945869835063,,
CKLF,0.0430909480274444,0.017368312963783952,0.024066616534295187
CD24,0.027452496219343873,-0.015359507641194162,-0.005441417378006144
HSP90AA1,0.026026367806320377,-0.028669143734029158,0.02044860623954384
BMP4,-0.0335828036361333,0.09520288053148898,-0.032821282064843485
SCGB3A1,,-0.001356941049137825,
IGFBP4,-0.018088165753288064,-0.07416017408981096,0.017226891802442003
RSPO4,0.06808410428441863,,
LEFTY2,-0.032162020210736504,-0.012935393102509454,0.015951111595220616
PF4,-0.009798465356046298,,
ANGPTL2,-0.017155809663614956,0.08839245765121735,0.047132976788973095
LRIG2,0.033686940182466714,0.012073167561124856,0.054633454134483
ICOSLG,0.004426117683728153,-0.04863637606911352,-0.023221759435239294
NPPC,-0.015199836131744545,-0.07374281927852866,0.040100051158953175
LYZ,-0.01566195587367898,-0.05446598464547221,0.044624250183945106
SPTAN1,-0.06260498495666765,-0.0029136762982624707,0.040395935306216935
LIPC,0.01605910507836167,-0.0531659566018513,-0.02915666559233381
COL8A1,-0.06187903366331785,0.02618738530090039,0.018155045073905387
GSTM2,-0.005580209374099215,0.016889869810941857,0.014286058110829175
IL4,,-0.050821580453299174,
SPX,0.03304756554974355,,0.00273211882171822
MFGE8,0.0031380899880026343,-0.0956092813565063,0.012396449334917875
TGFA,0.022011938144508986,-0.08459977617831531,0.014658324403779302
SLIT2,0.019398629690316395,-0.018156202600167898,-0.03531615770217813
PLTP,-0.049478478536397655,-0.0016154480096898021,0.044372409821680725
APOD,-0.04426454797434303,-0.047827173640425116,-0.003527293025762196
B2M,0.006133699063472025,-0.025096725052625026,0.051787745144124285
OMG,-0.05230420380992537,-0.02510284409305075,-0.042053750434885094
CXCL3,0.07823445142310748,0.02168962048119397,-0.017631846329266586
CXCL10,0.009914579186552915,-0.05516717178484259,-0.0028891780994302584
RSPO3,-0.011379005921011813,,
CORT,-0.01369607079103749,,
NCAN,-0.06608193591126506,-0.013002457992564316,0.015595870838579771
PRG4,-0.011230588124665567,,
ZG16B,-0.013034471016694143,,
TGM2,0.03368529394586909,-0.058868745721630575,-0.04178358766334261
