,UKF248,UKF296,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.024203503054373857,,0.004497700041207973,
BMP1,-0.007065845450765697,-0.04833505692990581,-0.10368588627060435,0.06248609020355971,-0.03305481237551897,-0.024958318461307024,-0.0033577485935984276,0.06623585206242937,-0.017551738382477436,0.07984469057040074
NDP,0.013643773955865125,0.011544913147975575,-0.04690114593068085,0.039137489610112895,0.041420649140011985,0.038536754630184744,-0.004731731142162623,0.017743013182748433,0.09007354797222134,-0.011444703189114997
TNFSF18,-0.02483050295827567,,,0.026584175662061182,,,-0.005349351303196264,,-0.033109456047338774,0.006010059310537709
RTN4,-0.00628064870762369,-0.013722300253016314,0.0615519551055915,0.06143130263488448,0.0010332244164001827,-0.03160402042363537,-0.06738170880318613,0.026117680659228412,0.029863232550965207,-0.010133811636940156
HEBP1,-0.03901976152881846,0.020192144125334575,0.04316158659847912,0.014022014061103306,0.03174467576406211,-0.024021767618666676,-0.01131313233909985,0.029282325738979625,0.028062010584280796,-0.05643149945493044
WNT7B,0.03665646091610366,-0.011083479196391868,0.030247004591067023,,0.05322521272865776,-0.033397855255461385,-0.01119902479342641,0.0058368947551509535,0.033062346332176376,0.02882346181776438
PTMA,-0.04944522449193928,0.004400583915006398,0.03694853110668635,0.030816854705150783,0.05663145124752619,0.039929501182543105,-0.07326730634376069,0.08805891315290236,-0.02387193704721214,-0.05263496127671759
FASLG,,,,,,,,,-0.03395780742588114,
CEACAM1,-0.015803934635700758,,0.17597239792644473,0.06558335873989782,-0.024457598507399116,-0.008456202709182029,-0.006593498963353493,0.015010409870692657,0.032244475336919314,
PDAP1,-0.07660502496125889,0.02586770845287085,-0.005716668721079894,-0.08722248318943261,-0.010797948465850712,-0.011360032389882792,0.0005742312628388527,-0.0015392079504192222,-0.027305809164131938,0.07630324296615389
QDPR,0.021197670438224257,0.018233329713594558,-0.041874770030529695,-0.006332075954098717,-0.0117502881413554,-0.04050505879968298,-0.07625792800521919,-0.08454991231008151,-0.009146176889991935,-0.04745750417138042
POMC,0.022416421659305116,0.043410025164553404,0.033207855375431694,0.016358123492548865,-0.022981911004491252,0.05380835254911428,-0.025441398480861025,-0.02769192602648596,0.06637343158300638,-0.013540639338899981
CCL18,0.014656301858807027,,-0.044492998860861166,,0.02708437927148643,-0.028805915960024575,,0.03238585465544161,,
CCL17,,-0.013718240236042385,,,-0.03205768304916437,-0.002057206683769379,0.01679933878174107,,-0.03077893830357176,
VEGFD,-0.01972182346856574,-0.010062495113653964,0.060765697093319596,-0.029973090535346556,,0.025780320840434225,-0.017342676069455363,,,
TNFSF13,-0.014882720858982516,,,,-0.00012079963347432816,0.015030494645836008,0.05319012940972171,-0.030478229315801582,-0.03283770435557702,-0.0014362612027382334
WNT5A,0.0030522997607417557,0.019978836434051385,0.029413852991720245,0.025770243538876,-0.0386094358506443,0.005333529615761714,0.12087081422626737,0.03796870824780941,0.03035841810345719,0.00722341005218388
CXCL8,0.1078990458522177,-0.00937063298166798,0.08085471882516229,0.0008804502931764687,-0.08196371580384133,-0.053771653411089165,-0.04530655124932099,-0.010560457094940127,-0.015108467565497384,0.04282907591117932
GRN,-0.020895088848711812,0.015097730454581147,0.0669429335814097,0.026899803462040097,0.007736974716752026,-0.0025029319913150642,0.10615446581464492,0.003657255130337141,-0.05435967154639784,-0.028176531420789824
MIA,-0.02102500084497204,0.0861858507329675,0.010683091822349895,0.004987838179330516,0.02890494503393151,0.0789259306962227,0.004098913288268143,-0.0350475339385953,0.016609331462658337,-0.024376823431005272
COL4A4,-0.023685742229214046,0.04060259954627913,,0.17825131584716075,-0.022040176167318935,-0.038221722210982904,-0.049156193758751,0.004304065648864469,-0.052573749386780236,-0.047674508199249205
TAC1,-0.0466062461124037,-0.012786624228661893,,,,,,0.04034418443601035,0.04489633283679076,0.030473077942098623
RARRES2,0.018930597968527432,0.04113138021339369,0.08669907574902336,0.023682921854333936,-0.0943690214716252,-0.04861350148768064,0.005998399604414723,-0.02976026687771918,0.026090141475337156,0.07028553262175455
FGF7,,-0.03238945678705735,-0.04403616775279745,0.01227091290007234,0.05001197360082954,0.017010446340292012,-0.04311097938362081,0.057969524431667065,0.05432028911659025,0.04055913295680622
EFNA2,,,,,,0.06399795689113474,,,,
HBEGF,-0.007282144854415879,-0.02584145227013047,-0.0682897986310336,-0.0001907524224081538,0.03172236603882368,-0.05595705591666081,0.034794096768975304,0.01502278393842305,0.014891757864787913,0.04545512793367551
CSF3,,,,,-0.08183886597709751,-0.041180682363082755,,-0.028715841054532305,-0.03240547382200205,0.0140340664626304
PI3,-0.02074818320708471,,0.025929639918476008,,-0.037216967332757665,-0.059872315551217914,0.02948898605420984,-0.0032989996493445507,-0.002719326856162471,0.03189647244722024
PCSK1N,-0.03507067066688443,-0.030093436008200122,0.08690410176321509,0.04538553097808278,-0.023819846605486035,0.023292266444712856,0.01956423937135679,-0.017949326591387135,0.04106479805234416,-0.01886483435822192
NTS,,-0.030118523629742707,,,-0.007662310694023437,-0.039222452717003246,,-0.03467378611787827,0.07411469052640013,
SFRP1,-0.001545817671995378,-0.013718240374196332,-0.0310842064734714,0.006370756951980783,-0.012539560168940396,0.009426825548650427,-0.0017480248245657435,0.024609793802824888,0.08784601728907213,0.007981036326324268
CXCL13,,,,,-0.03226531106696224,0.02302581732615022,,-0.03428090330331371,,0.07401396670836886
MICA,0.02092343807013584,0.024238091696813503,-0.02964915147874134,-0.03422996605442403,-0.029787635413481454,0.025233686176997224,0.0807950396137025,-0.004992259565095585,0.06667300379913417,0.028705601022175127
TG,0.06077732753100589,0.10355551891232594,0.02826312647472671,0.02587334007336133,-0.02285417928390298,-0.039281471018207954,,0.014849986943208571,-0.021706117680736773,-0.02860150936119955
