,UKF248,UKF259,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,,,,-0.024031213750300862,
BMP1,0.046897259068961375,0.05948323355986365,0.11067124288649476,0.06127929666261636,-0.03212833105526408,-0.043985231931487075,-0.016869276661370378,0.04109216288149767,0.04072950830827217
NDP,0.04258341916076706,-0.013654949243683797,0.019709548618017058,0.04493733418579851,0.06381298881214609,0.017679272316143586,0.1359381743184593,0.010613227002280418,-0.01662970538071995
TNFSF18,0.012312419919407451,,,-0.0073561759045635035,,,,0.015457999595290418,0.01652585373970657
RTN4,-0.0019094012404057743,0.005624376949901122,-0.014960434733855,0.008901646982002858,-0.1087854185018721,-0.014161351304829718,-0.10597545359928615,-0.02586527756535644,0.03279182472695214
HEBP1,-0.014678263136445118,-0.003814440403460307,0.13666635103133018,0.055063774649207815,-0.06159742180101747,0.0343913302765823,0.07603300995294386,0.002579153090590616,-0.0020912959523549358
WNT7B,0.0021205932896191924,0.052816486508639654,-0.08708473781140713,,-0.03362344468433963,0.05229869521236479,0.07805448946281657,-0.030303253612450173,-0.012608431150495649
PTMA,0.05386665900731412,0.044718785257068246,-0.1013313010177824,-0.05068682924663169,-0.06590445548743874,0.013808828206966509,-0.07530989829631562,0.005586646688012613,-0.03570291842842371
CEACAM1,-0.02542936645936689,-0.02627433897835939,-0.06557699138228514,-0.010522872910498084,0.016546926998036934,-0.038518900124610254,0.08402564861457926,0.1200339804610739,
PDAP1,-0.011852182140391666,0.013229848068426486,-0.06174142141123414,0.030726657066125013,-0.05570390577446248,-0.07320996424791501,-0.04902405421269437,0.04037363291067295,-0.030966292799382334
QDPR,-0.002127857265525254,-0.036078972124939115,-0.05529266670128363,0.003006197675843156,0.005410483805003536,0.050945374931456525,0.1408919106871943,-0.04255880397979118,-0.020699929485282136
POMC,0.0020738302197499995,-0.024467730499159894,0.01473736580391721,-0.04980926759132094,-0.06185837643038394,0.042331221812571845,0.06120091003110078,-0.031770796694533386,0.059040051381675104
CCL18,-0.03173344667233846,,-0.056228841753640096,,-0.021379712799736193,0.002951249787073516,-0.02268124535837072,,
CCL17,,-0.015228931843954545,,,,-0.027327295271238904,-0.020157637586797096,0.048464534465595246,
