,UKF248,UKF259,UKF269,UKF275,UKF313,ZH1007nec,ZH916bulk
IGFL3,,,-0.011604200421346807,,,,
BMP1,-0.059479282538267134,-0.06862903816914287,-0.061938857104628035,-0.03891303194652254,-0.019191428392316884,-0.004385956391072868,0.006938273060557149
NDP,-0.06066054711093603,-0.05895841749894597,-0.0013202961557844696,-0.01862380140872672,0.04927870558653714,-0.036926805039601995,-0.08464613483526058
TNFSF18,-0.029752259364130094,,-0.017231889258057027,-0.011390333515494821,,,0.02408553567587197
RTN4,0.03249985581698452,-0.03019550437897244,0.017013966996709526,-0.03493328253358106,0.014116168388051147,-0.057481193579506394,-0.06529463849112503
HEBP1,0.057227547444310224,-0.000667880879397097,0.04112411000741282,-0.014470277645422216,0.006015019085713223,-0.07939600904266175,0.07165322275094752
WNT7B,-0.035358344705782925,0.17353257505308972,0.10231322733461734,0.03714767449967822,-0.053436295777005566,-0.06415465443491288,0.1488596258060097
PTMA,-0.14710781835607395,0.06300041163630207,-0.012128257662339017,0.03483027364609396,0.07259920214423173,-0.0418405092200149,0.16265620238817663
CEACAM1,-0.018936497703862083,0.006110065270290398,-0.022676184808576954,-0.017914281054732403,,0.14148189466930303,
PDAP1,-0.09543927186655825,0.029951189361233765,-0.0046934001520629095,-0.04960522570069844,0.035861746232602326,0.05101706329967075,0.015379213201573629
QDPR,-0.041065023549752305,-0.03803839121090762,-0.0032264220961926073,-0.13917197328636075,-0.042227806780995025,0.0024444673779674122,-0.1598753219969028
POMC,-0.03668601396810128,-0.011070162459822997,-0.029230859380145625,-0.013216442285023012,0.08573950508728703,-0.06799726260829662,-0.05521767679890131
CCL18,0.08222983082704918,,,,-0.01739288351582357,-0.04142335388081813,
CCL17,,-0.022571493717254584,,-0.014205963523640707,,,
VEGFD,-0.009423723921649868,0.031794935509988985,-0.019440148460162763,-0.015135252577512926,-0.017197397808069087,-0.02165594505628092,
TNFSF13,-0.017832686344874032,-0.015569311201216091,,,,,-0.03936150677967126
WNT5A,-0.0037443533744794815,-0.05464954789758837,-0.047866742424191366,-0.0658282664700038,0.014785046653660887,0.10807487431399036,0.12979772146931398
CXCL8,0.13840586779717293,0.20870199382896254,-0.03865450667833679,0.06015987805947364,0.012795242569027497,0.04100329986363391,0.2496798621109051
GRN,-0.08887958145075277,-0.09289558558762175,-0.03476738573995593,-0.03770019588843591,0.029500712059907265,-0.0032176125348266486,-0.14298379728606667
MIA,0.025581106859727056,-0.00933006926874081,-0.03314846949407474,0.1017345309633608,0.009813079087666095,-0.004507435415523379,0.025982520134583565
COL4A4,-0.028380590889345508,0.04574144244510139,-0.011435078191521578,-0.01483146543231966,,,0.10194602103569717
TAC1,0.013109828206713796,-0.007666540558203695,0.09036159255782134,-0.03978697505166285,,,-0.015285177842584924
RARRES2,-0.01584797418956963,-0.04046787076124289,-0.06059925827501541,-0.04198162682420531,0.018157478268147134,0.06920109198466032,0.2083735547938473
FGF7,,-0.03270310986709149,-0.006751820676436997,-0.005197795735069343,0.01910547229369461,0.06583964789268026,-0.054199605251740834
HBEGF,-0.005081763883125369,0.03933282310149593,0.05669262073597839,0.05406457039647569,0.030260587673405104,0.051055815153747346,0.09556267756000111
CSF3,,0.10553383869427033,-0.012098092628705787,,-0.025836101973820323,,0.3068825201111242
PI3,0.05971035955402709,0.14137274413518128,-0.013622611977461828,,,0.1774983671662773,0.21457859849741548
PCSK1N,-0.07001432577019669,-0.1247852632767769,0.038090925731108706,-0.0031366462433660034,0.053092697380389756,0.05415556367353866,-0.19805635008408698
NTS,,,-0.01487001113675315,0.01513439377680389,,,
SFRP1,0.03603804483927844,-0.019694500737579487,0.0812199249513287,0.007416962378456861,0.024239749077721695,-0.08445775295075239,0.03139232892748165
CXCL13,,,,,0.03453259814735186,,-0.03753532514690435
MICA,0.02960051960980991,0.027093241866626098,0.04840335006184103,-0.02893201850071538,-0.061015590783489955,0.06667224847788994,0.05790208194361897
TG,-0.016460924624980625,0.07229886294422572,0.012221474902804263,-0.01431197064678203,0.07853499933261762,-0.04529998535291514,0.10358745750168012
ADA,-0.03972427279506192,-0.0425456399201813,-0.04319259886477806,-0.010693967495590396,0.046668195353650486,0.0475262315395918,-0.031650224933405254
LAMC3,-0.03361380807284089,-0.0694330998217717,-0.042515522235608644,-0.04231305631561036,-0.028817510939911636,-0.07900784108452943,0.037722341145658166
CCL7,-0.015031286811162295,-0.015366236839425026,,,,,0.26443226499000905
NGF,0.0020095887585193694,0.09238289924867675,,,0.034131227511568656,,-0.02117881016014366
TNFSF15,,-0.017111056273716316,,,-0.016452937562189133,,0.021712439274869082
HMGB1,-0.12734841660696974,-0.13235685716877674,-0.06472520907606659,-0.06126497897912418,0.017491317789160535,-0.0572189114192608,-0.11766757071224235
ITGB3BP,-0.027486182945860613,0.11493527705827104,-0.016463936050452144,-0.004650226324774648,0.04935970356277446,0.021136178265851714,0.05609516858827453
AANAT,-0.021808110312371103,0.2264864769909427,-0.010912806948714328,0.029361752276037642,,-0.05641291451240563,-0.028255468695363318
RELN,-0.011302013411960733,-0.004367131795094922,0.07205553567396922,-0.028337432409677267,,,-0.010869408204122088
IL15,-0.0475285069557691,-0.024654567104768155,0.0008656765605807192,-0.036507290501862556,0.051489190037341225,0.060433285007585734,0.02981198639511503
UTS2,,,-0.03599746827419228,,,0.11285269964816952,
BSG,-0.06801988154263425,0.06360304841545733,0.011068480738504638,0.08252697469257042,-0.014729109575118488,0.03466165708785914,0.03945244443806244
