,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.007318897303413011,,,,,,,,,-0.022245088419384655,,0.004718218510496415,
BMP1,0.04507565677849215,0.0088982538083984,-0.0009385277189616993,-0.021711961924157242,-0.056053568599970585,0.018501891931234957,-0.029969904596861992,0.004232662558918836,0.0030495500484881274,-0.030223963735281727,0.03181686850530538,0.11011527296338502,0.043925089589504,-0.028158369976190877,0.008164525154214201,-0.052018286268909496,0.048708753255638684,0.03818988425054933,-0.010108090307960995,-0.004459852217608132
NDP,0.008947888034412465,0.025152495328258466,-0.0047492864743539295,-0.00042737932829052327,-0.05037804247874528,-0.02226330714276683,0.00868562771047398,-0.027732316574307195,-0.007846557364910854,-0.037422486440536855,0.02238093289073371,0.10630351538130771,-0.043055511926157294,-0.006572358025262957,0.028961511013244602,0.007687095034402417,-0.007722599938267552,0.01784838177727636,0.055354392503163034,0.06525846295181692
TNFSF18,-0.0023762292848972717,-0.013515082831322156,0.08291155245451888,,,,-0.015232541596306763,-0.0242608614319426,0.0031649560376681035,,,0.09096176850794319,,,,,0.043412826463854706,,0.00023858242940637733,-0.034158082426054594
IL36G,,,,,,,,,,,-0.0003347485449626389,,,,,,,,,
RTN4,-0.04654712177695834,0.008767833764802155,0.010305306746704363,0.023680205107255343,-0.022928081864033587,-0.03608212175914084,-0.031872377216458164,0.013099349532517011,-0.008232713107907717,0.05714841164360938,-0.07342319479885598,-0.04243305428715539,-0.011677669701259436,-0.11875110107536445,-0.03525518565925136,-0.04182027383085532,-0.09445494335711925,0.0769361458130678,0.00284450332588205,-0.02231869209333231
HEBP1,0.016699272478202406,-0.014956408322175912,0.015298940564216655,0.0858314269419135,0.010425796178310512,-0.05241192205258399,-0.05527706478489581,-0.04297547797338962,0.05499273852399079,-0.00022284734024887728,0.004340304258297123,0.04579939705403712,0.06344995520781288,0.004672365374570978,0.03651941754455702,0.010429213753159966,0.02929903503145309,0.031006034297414085,0.027992993632066303,0.02777326484256847
WNT7B,-0.008011427310493088,-0.032923116401835845,-0.0195713794430369,-0.0019023663308723184,0.04613789273198386,-0.045329523430867186,-0.02061322290801744,-0.035805997234698655,0.021202516813351977,,0.005318581341312696,0.07595321883910557,-0.04629089432257072,-0.036130918759104375,0.0009807386223380666,-0.01661742919227505,-0.03666684126673692,0.03960778171051114,-0.014350941605953271,0.045343245859842146
PTMA,-0.0606997651077216,-0.033351754937275345,-0.04779132987257689,-0.038612650881845414,0.038412171292715756,0.0016481130026569594,0.018439325138428806,-0.005131631173559906,-0.03682688311564917,-0.018131946430676324,0.06949533342179778,0.07231928082997026,-0.03753574192844258,-0.0735490216570912,-0.05697910772534908,-0.027200483074510354,-0.03926932745710756,0.04297459163719378,-0.05865853424297864,0.021972192114195172
FASLG,,,,,,,,,,,,,,,,,,,-0.023417087001464332,
CEACAM1,,0.059556986924607244,-0.015019856583322019,,0.004804124649433233,0.003532531357549237,,0.018105937255155226,-0.011250410293892179,,,,0.0430270957300752,-0.03240278666467245,0.07129927791313409,-0.01437593200789107,-0.032963774564291115,0.0015042610063544573,-0.006231330863231473,
PDAP1,0.018588757167820484,0.004579871461101457,0.029711704945606238,-0.02438116869411204,0.03134290264316065,-0.0344427982602688,0.00040594387094684603,0.004911326336985999,0.012266627449256683,0.040190829711186024,0.006455060555270539,0.10455815702609986,0.01943807388859175,0.005412845156525686,0.023166502641370247,-0.0883768869555172,0.0435349241320655,-0.0447043484600606,0.03462374170474632,0.017363563668296892
QDPR,-0.04833602812611049,-0.022924737756916756,0.02006733224492189,-0.031607445754311056,0.0032832536478508046,0.0124887675099555,0.07935040470071734,0.04582194447025443,-0.010497950220382166,-0.0007858475885695411,-0.0028766057325643308,-0.101682027071849,-0.005505649921759528,-0.18301792941273587,-0.009985690437685263,0.053346403976721586,-0.006084931127514349,-0.05155288101633906,0.034381230178112246,-0.002546317729903983
