,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,,-0.0233311003567479,,-0.04013498374744599,
BMP1,0.10395482154480719,0.10009289780444938,0.02607352665349146,0.08025800008240823,0.058371925942722024,0.0753189821647149,0.13135094573443126,-0.01199526964634906,-0.029344831165212328,0.0388155007351162,-0.1539073826854713,0.06475351925019436,0.024565165359353745,0.00491296672415642,-0.03397941654470011,0.05873804012460872,0.09698577705714401,0.08959148033132001,0.015269920983502853
NDP,0.04257158102342219,0.014219481521314331,-0.011129285609111885,0.035481870007146574,0.020789507044955583,0.042265259304587834,0.025945886730372108,0.034705703868467254,-0.049998432799596974,-0.00568590948685011,-0.03998142610608007,0.0035583196003687824,0.046956971549330456,0.003532026520461394,0.03361048465365607,-0.004498735963544414,-0.01462913893376955,0.04463644960235155,0.04209061654772918
TNFSF18,0.0015676481935530191,0.044477833599062586,-0.034627984113313144,,,,-0.027144597516591786,-0.015670680720792717,,,,0.022581278891361307,0.1609645004788869,,,0.12170426336016436,,0.006313247811700893,-0.0487381931450927
IL36G,,,,,,,,,,,-0.0172970153191112,,,,,,,,
RTN4,-0.04941535332321914,0.003340593027066512,-0.018245217688268343,-0.0134313697061108,0.01685544981879063,0.03360887228686651,-0.15436602127728152,0.011531693596489184,0.012048239124686186,-0.0725172954688372,0.19187801463042323,-0.019634021011889394,0.12759389160660153,-0.043466667090736946,-0.07904183148733977,-0.043130157724401215,-0.03242159758339825,-0.08074137555730217,-0.04706509607044914
HEBP1,-0.06797487367771776,0.0546114167159918,-0.06807184302865255,-0.10546364069294119,-0.00998713989726783,0.07883766605503563,0.030520596760225213,0.016165783159326225,-0.026379243059537726,-0.0034830173408935163,-0.05346991203370065,-0.009145854710144783,0.04595225246273945,-0.02685972576333133,0.07846830895914166,-0.04778991139145209,0.027424249276754093,0.06497028366605853,-0.042554980251395556
WNT7B,0.04290406345428909,-0.01290395820546121,-0.021509830306742708,0.06714595084955306,-0.006698531458334192,-0.030381966374620314,-0.009189584547320832,-0.024973192702286096,0.03526420115237383,0.02806074752219743,0.10519466827205996,0.02395196562214234,,-0.03199836770404022,0.056980320707701246,0.06786080142752819,-0.025623807722675397,0.08805736663220692,0.05862882681465313
PTMA,-0.1340597300162125,0.07373482885029133,0.04199275096873467,0.13909813918435043,-0.008640707171910171,-0.049030550144937235,0.18724357803387437,0.01756813174342351,-0.02427893587965427,0.14692187875886387,-0.18869890955723959,0.033720440785933184,0.04702932412005666,-0.007458602970196872,-0.0197914719664966,0.0187255544978486,-0.015289558819542767,0.0025936483061982972,-0.059805812219832125
FASLG,,,,,,,,,,,,,,,,,,0.0134078440073405,
CEACAM1,,-0.04104005144876695,-0.016507501031247564,,0.01901228333522036,0.0656730940798371,,-0.02464624748426971,,,,,-0.03014968683756801,-0.017930263643805577,0.03515428216563259,-0.034573075997598755,-0.017006893850523494,0.022897477096867153,
PDAP1,0.05079131319847032,0.01685678262146806,-0.018263102944161298,-0.031153355985111753,0.012029046954205834,-0.025504010095604553,0.06865362081840944,-0.022890538058166144,0.02464997187232,0.047198248225359625,-0.08470197040555262,0.060130466968303736,-0.03810884283113502,0.02923650759581057,0.001824958394061485,0.011340554805897001,-0.03805494292467572,-0.030754844800795086,0.0024796458101829125
QDPR,0.025421257930743194,-0.0066737052179620115,-0.040012746669115765,0.0996411188860678,0.03362237830217369,0.023593094220598687,-0.041633643576531834,0.09018318195716944,0.013022500256930728,0.017164464384390496,0.04309478807196928,-0.042292562065492555,0.03857643269888505,0.033983068288943714,0.0836586308707823,0.03295618236137137,-0.06690806079723145,0.02490410828918924,0.02161565749795599
