,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.0038329815063476275,,,,,,,,,,,0.09415403826017953,
BMP1,0.012121982978796103,0.06419356418352327,0.011900028520770722,-0.060670583495746694,-0.018789952305754275,0.1181388846495295,0.3325438792173971,-0.048869212800751925,0.04036261268370662,0.010562550267735699,0.06782045042610002,-0.09906861874024091,-0.035570705492318916,0.113662332343437,0.05085601764291906,0.05144670673640993,-0.029013574452908544,-0.0791379582207822,0.007285686697649101
NDP,-0.0072153214706126055,-0.04903426396770142,-0.002278809988870152,-0.025817405177622994,0.04634891386621971,0.003515570012969744,0.12643773368951,0.0778798590287537,0.04583776295024703,-0.024568761816426917,-0.012025573225495873,-0.10460737522808723,0.1737586645715031,0.09812308007986577,0.021641100476367595,-0.010258421570297886,-0.02280644239359496,0.2370836084335965,0.17619996200228089
TNFSF18,0.07935850360555806,-0.03667382955914918,-0.0294648174410287,,,,0.10360455070754132,-0.015665656197793087,,,-0.026346371099027596,,-0.0677767198402651,,,,,0.05161446293870028,0.07140041319667188
RTN4,-0.010109771550412384,-0.056995281547360846,-0.043414393306603245,-0.005442933134445061,-0.04459884426835763,0.017490546447843282,-0.42267503851554766,0.03316952447684914,-0.21798718224635336,-0.00512874958003806,-0.07163132594792912,0.10359361013013818,0.019251416602042663,-0.10636363775327308,0.014184280061250807,-0.01600791373061635,-0.02176685128051851,-0.09522483363180267,-0.13342120463227036
HEBP1,0.0035636854725570074,0.008695116166609057,-0.06269530700045456,0.007517104016671341,0.011944113514956584,0.02168282095942203,0.15399940893573125,0.04921944404529427,0.07178331014293249,-0.015996587973049495,-0.0034048147003864246,-0.0241413961172604,0.01883204123870371,0.008733649929415669,-0.013448481308108568,0.09790409973149461,0.04280135376344717,0.1994070013648413,0.022328994351827558
WNT7B,0.09558953588355316,0.04148465985405929,0.01966870457364932,0.036552016009947924,-0.013774277886622974,-0.09442244199769355,-0.15090617254061897,-0.09078876446748206,-0.09243824011604299,,-0.029004783031679846,0.06819741275209508,,-0.02377184885762798,0.0027192446630516396,-0.025231592889651835,0.03990438022075747,0.044881091476006725,0.10196515944484957
PTMA,0.027896308169173614,0.04093106660059448,-0.020488757907809917,-0.09372783705357829,0.01827183232661926,0.01742583119883544,-0.14788510022247026,0.06349589669648258,0.025896648811719533,0.018932115216833727,-0.05856287414328437,-0.038833298700825566,-0.16025022390044605,-0.18184244500502053,-0.07961634167568865,0.0019532509678063734,-0.09652158664123375,-0.19047986693601895,-0.058747740600510905
FASLG,-0.0197363754375294,,,,,,,,,,,,,,,,,-0.05681919782296153,
CEACAM1,-0.027404130021594014,,0.07281820944222157,,0.028031632883414447,0.0008770094962661424,0.05741881403943657,0.03193794986098706,,,,0.0200641430733436,0.03492498221946506,-0.04904950522754577,0.018266214007664497,0.05820364179410919,-0.015355404206247151,0.05511549538625363,
PDAP1,0.042278379243943676,-0.05774395557403191,-0.0041540632057161285,0.04289224238633499,0.09682155796364561,-0.03406566364448471,0.2926171029499979,0.04017318872336755,-0.0029072077704687446,0.06529575213927453,-0.028071127416961605,-0.08631889708643414,0.011212594324262115,0.0922341918997275,0.03135175363493813,-0.004469643368690307,-0.02231929804992933,0.08542027748140497,-0.016382771962558402
QDPR,-0.008173827214645029,0.06649860590981095,0.028082254779622014,-0.07179879458639679,-0.06974299071550798,-0.038825127339510476,-0.3331970352717055,0.10562462719925782,-0.11419359166458862,-0.04795253481136365,-0.027808126149932028,-0.16895561364612782,-0.06896652751211242,-0.2031826236005538,0.014085103980573086,0.015448688388657003,0.005664672990138459,0.12824490735041064,-0.03382203823691402
POMC,0.0060227041137155095,0.04027998034523438,-0.015678539279923593,,-0.021571653475508663,0.046099005499613294,0.002899605720577396,-0.028303397698623122,0.0004060850326582327,-0.020916631877956487,-0.004604925244524479,0.05599258259344389,0.033664603381343194,0.017582139651489366,-0.03899193551343219,0.015779905444954025,0.035057171927654444,0.04054598996410974,0.035236348365546906
CCL18,,0.11846354394212634,0.04888368047641056,,,,,,,-0.01965460526346336,,0.02153137676972086,,-0.062307017304600004,0.04113647013866131,0.02237468469177256,0.04354972845413535,,
CCL17,,,,,0.07183479651880895,,,-0.00045174354727074457,0.03941538210601413,,,,,,0.06781984835451578,0.1069405849215391,,-0.009285258846812174,
VEGFD,,0.00853604103700569,0.013541782228198341,,0.016219750907080624,0.03261810182759678,0.1114772708185462,0.014998310020075368,0.021485417023267478,0.02260560211555448,,0.11618649508399807,0.07919364499267237,,,0.0743756525724413,,,
TNFSF13,,,0.006988442009907864,,0.029798898052993517,,,,,,,,,,-0.046878777235006636,-0.03849401872891573,-0.017243089765495836,0.030684665950227976,0.04380178259034142
WNT5A,-0.006793464544240701,0.05808479050386562,0.032772147524459255,-0.09718429928865267,-0.01589017633990976,0.048514835089225244,0.2644325534766639,0.07893717081043361,0.12142676711460612,-0.03300748407438503,0.055894362117523765,-0.0007068758401413723,-0.0017525399866343617,0.057874221941669454,-0.015319898767991018,-0.0005637825775549199,-0.01030782574169516,-0.03203766058853021,-0.05644025035740683
CXCL8,,-0.01651510636453676,0.02961067885613968,0.11756947073592054,0.04031849498162638,-0.05439569458083002,0.18137145485303313,-0.017033850895565587,0.03564029528731724,0.0055804205047441475,,0.2725872301978847,-0.13081327525082218,0.018112284912633073,0.10680392343227821,0.0778942681592775,0.12525917816686546,-0.015966814172943957,0.009237196957193985
GRN,-0.035830097421032325,-0.08515178758544335,0.03137837659087667,-0.12032382525669819,-0.011694088442743757,0.07897421779146357,0.33105570900825027,0.04423665435570019,0.06724107698925139,0.01812277648150101,0.05835168048909156,-0.0777014493486575,-0.11452234566122445,0.09290734610012356,-0.001977077444502605,0.024009484588705905,-0.03633257324431273,-0.23026171711358034,-0.08080640204966495
MIA,0.044655739332158745,0.06747712126921115,-0.0010364601784505036,0.09089816432551674,0.0508283305082438,0.030233898405456424,0.09786465941749992,-0.00802785508057606,-0.004990576538949689,,0.040161887110774466,0.06151026944622817,0.06886621825531213,0.13710181417183026,0.018339567672018865,0.033398157730621415,-0.04342554812926003,0.21026151739056695,0.13623703750665642
COL4A4,0.060227198276937004,-0.00977606983762611,0.18642180669613612,-0.03203889407366333,0.05972061933069498,0.0670593406036157,0.017107927303674997,0.004101424880117624,-0.023407696713046565,,,,0.03937411556347752,0.08710095136489562,0.03195009401930519,0.061144391057116804,-0.0190991261933429,-0.01912418902086229,0.06294532050772189
TAC1,-0.019736364699779598,0.03155391436070041,-0.05048313050678513,-0.013213506493824311,-0.09021621161722551,-0.06270773817409031,-0.2712895354594839,0.0549744911317033,-0.09900572136633737,-0.005124096348422556,,,,,,,0.01715033292942089,-0.04875063951304283,-0.0811326146672905
RARRES2,0.03837454441788727,-0.018084711752625524,-0.035136046350829765,0.002970073961335309,-0.030929482298754713,0.11850588186730028,0.3896971697708372,0.1994134379036557,-0.019719794798409435,-0.011095069056385843,0.006235677897884749,-0.06056988467287075,0.12074829503577623,0.07773776462632581,0.13337950402699023,0.05372920213299186,-0.03222144151295561,0.11039535817023985,0.038249400449990895
FGF7,0.03262507864511354,-0.001183086440287088,,-0.03809986840876579,0.03804948862158713,-0.0034205555097836936,0.19176446206667844,0.06996139641108073,0.033557794251252146,-0.021931774697185404,-0.028682051380959417,0.018869486538221805,0.03802316764021928,0.09637761754257655,0.040398676812808294,0.03827643927984569,0.008527228224584276,0.17540367203113438,0.02889218044693124
EFNA2,,,,,,,,,,,,,,,,-0.023316493328200315,,,
HBEGF,0.03644016515706462,-0.013280160514735,0.04739811370739169,0.017719083539118528,0.03990576491444976,0.058108526652838915,0.17616697656898872,-0.03380393332406498,0.004835812960699223,0.011746667524935544,0.08994639799482337,0.08099319816004524,0.025214420602302213,0.12998011624057296,0.05628039791636988,0.10409622239070009,-0.03894756541179862,-0.16283555189668483,-0.04697211086507331
CSF3,,0.15018773515840073,,0.022651257523822334,0.0535477668776416,-0.05185669691945292,-0.03063525493043253,,,,,,,,0.055430019335777216,0.04176001183477567,-0.02201406945738402,-0.00727983661907766,0.042669134366647946
PI3,,-0.04764379566986058,0.011329228182061274,0.07683487232516868,0.06724440369583917,-0.04852486573339431,0.05363251050143089,,,,,0.049113532753895406,,,0.10658844482311072,0.06378336790150074,0.011509711890999865,-0.017551947837570497,-0.029905991506284278
