,UKF255,UKF259,UKF269,UKF275,UKF296,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,-0.013977902161630853,,,,,,
BMP1,0.032080669683918255,-0.02369641020469239,0.024361835170892576,0.0230601990545381,-0.010560957548651606,0.051655656427906656,0.018199392862228474,-0.018642262920624382,0.04186663435713778
NDP,0.015577183451212184,0.0424107051892025,0.0016362510260157833,-0.043588844544012434,0.013297530341979485,0.04360187256428442,-0.004862083947525224,0.05533563858174866,-0.06317083248061334
TNFSF18,,,-0.02075676508189984,-0.010647509681371023,,,,,
RTN4,-0.10105425032434094,-0.007667974994001671,-0.043423232805665714,-0.019244878455882575,0.01788907571077348,-0.06289977893285933,-0.01983726082390493,0.017175721491282873,0.05325393417657321
HEBP1,-0.043310825429125926,0.046237297291510146,0.03124317191373641,0.016684388923360192,0.02222033754280605,0.13311748934624615,-0.005785609006049755,0.008392480290215422,-0.059184621796030464
WNT7B,0.029583887846818407,0.010147204937867879,0.039769375989931695,-0.0205991062711974,-0.01108347965141775,-0.05455760290683839,0.004862162215516327,0.03767728616999683,-0.030236281019865655
PTMA,0.021018367921179937,0.011261189783519072,-0.03604563985046751,-0.01907998022166162,0.017303156753538218,-0.08406606126191053,-0.11739137834244145,-0.007418068942592857,-0.006957197780846697
CEACAM1,,-0.03452293048917976,0.00175354482377349,0.05045383334152225,,-0.04108324312129047,-0.022267309031926617,-0.016687421494854422,0.05578167951763498
PDAP1,0.06809788629508923,-0.037467041430183486,0.07620908699561008,-0.0021797487524563737,0.06426086331330247,-0.07211250395592184,0.013237019729321139,-0.013487844936795775,0.04861567332775723
QDPR,-0.048111111821048366,0.009585829762829233,-0.019880712268508592,-0.030661181868823585,-0.024731691967222445,0.004177851144377667,-0.03089930737284734,0.05517421333740317,-0.06609169323675812
POMC,,-0.032149153588457845,0.046741784668841754,-0.012354528249030876,0.05934041873075908,0.059882229251200465,0.005548635887076151,0.09596877043082024,-0.03282903619747086
CCL18,,,,,,-0.03522673314984379,0.025628238825260333,-0.04074957825560238,-0.06326146729037667
CCL17,,0.009099340742171341,,-0.013279517579130084,-0.013718240799236869,,0.011718685405507254,-0.00693238814736952,
VEGFD,,-0.02229325779092666,0.04400890122594145,-0.014148202783512946,-0.01006249552676393,0.09886136338864572,,-0.016687421494854422,
TNFSF13,,-0.013802393260241864,,,,,-0.0153669260115656,0.10404993773538523,0.04565632362514766
WNT5A,0.010235750874263348,0.0730060923800138,0.046083998614180124,-0.012523126292950075,0.10689613033611896,-0.0511294188334856,0.0039235109651238305,0.01192225469093109,0.0398911537608759
CXCL8,-0.014018838712991966,0.06722730306577586,0.10667854358581919,0.01653981466041559,-0.009370633366373941,-0.0170444571473636,-0.022223730391040395,-0.1095707945881612,-0.05432880416716033
GRN,0.0062059529922085955,0.010796975212658476,0.011174555153029645,0.02868193990526567,-0.00885783389114772,0.1320405413627265,0.04033730569363547,0.02624732615731261,-0.04175587040679339
MIA,0.03209129109271082,-0.010832257372375833,-0.006852055732862599,-0.026101067462027047,0.08727638567358084,-0.009791592092635304,0.03173527653236844,0.024633902100289953,-0.0172168243210153
COL4A4,0.07366527043966746,-0.017842571371004673,0.04150938005092613,-0.013864227203243833,-0.019224958684673173,,0.08119419198238381,-0.026719171040342195,0.03761595504726679
TAC1,0.010120977373678444,0.028010415627108314,-0.03417951355739506,-0.006840654236022604,0.03114450520917485,,,,-0.012585707621790718
RARRES2,0.01341017242194893,0.041131710346457157,0.044204611366256454,-0.028448515381762168,0.007557852577398738,0.009551793566732157,-0.02378739108746642,-0.018489408218922563,-0.019453615320597566
FGF7,-0.0403836152598645,0.005872483658069328,0.0616851905841582,0.026997340785684783,-0.007655004571393559,-0.0483886258134149,-0.024330057669045942,-0.0003365706933491987,-0.027460936623926555
EFNA2,,,,,,,,-0.015860277357262535,
HBEGF,-0.010083111771487232,0.013063105426173715,0.0326195745334531,-0.021442554599228694,-0.025841453331036473,-0.10054060364615601,-0.007446643021124645,-0.015315707059738563,-0.05209523027238519
CSF3,-0.023770246867957333,0.02718016906035956,-0.014572822681975892,,,,0.015682151273312097,-0.05714215428549324,-0.028770591233807027
PI3,-0.03432727909559713,0.02173400061177689,-0.01640919068034521,,,-0.056388790679452884,-0.03386837286225242,-0.0934148401543574,-0.03307934768809868
PCSK1N,0.05087379751017751,-0.04543758254573241,-0.0351711757872035,-0.008060565422478959,-0.041028370537509316,-0.025546807598253427,-0.007962117786289982,0.002089550327848245,0.019889561385290813
NTS,,,-0.017911752060877716,0.03591621603145767,-0.03803251302962502,,-0.03685410498363882,0.06442930931385629,0.02298065132236961
SFRP1,,-0.0008639054400703408,0.029045631576398875,-0.020197774586465704,-0.01371824093739082,0.07337934934896409,-0.03964083549688662,0.06258294339808657,0.031683630759798055
CXCL13,-0.017260011788118725,,,,,,-0.023370686572292635,0.012754082513694648,-0.046930821343534865
MICA,-0.055639763584478474,0.043272524213461325,-0.01928382708349473,-0.0100025856386964,0.040803352309413586,-0.07687867577916876,0.0038589673203600996,0.05842783924026953,0.001996707482853892
TG,,-0.0033150092238829845,-0.017588093176204116,-0.013378611417638507,0.018105398447887205,0.11943514976236333,-0.020991031527984733,-0.023798064459004644,-0.023678638691038586
