,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.026464676166245926,,,,,,,,,,,,0.03042744864591883,
BMP1,0.07674084404288659,0.05403493451688524,0.31143241470443556,0.07998252470911195,0.02671604406637444,0.01826505378053269,0.05278351345881447,0.10184083403232475,0.1504272410906859,-0.017290849433911917,0.029124841424716358,-0.03646401702027523,0.3709878215735154,0.10740024367125715,0.062315730025780704,0.07996889081460254,0.13314505429574178,0.088733859656915,0.09397313871657742,0.0728043231114491,0.1952696993967993,0.10736402686185924
NDP,-0.03041912929081444,-0.0402896399316375,0.02300329853345415,-0.005296041698623644,-0.03544696264863826,0.04472622872721664,-0.0065106156850918105,0.009034503343453642,-0.025636891681049014,0.04337511307284179,-0.03294477716959797,-0.016607683363719514,0.20157916090604908,0.07655832295592277,0.024635885192750045,0.0005041173356430718,0.11936464234076691,0.04549601307106712,0.013930742902766748,0.010839898026677158,0.008495937673784109,-0.017365578574845022
TNFSF18,-0.04211704727224272,-0.03492906046404328,0.04649324965446141,-0.029522785284800204,,,,0.14741171708108874,0.002082270453391983,-0.011674764661574738,,,,0.016638959442117934,,-0.0026548050462301947,,,,,0.047998660008627375,0.08331754985489963
RTN4,-0.09726865590515367,0.045764193127164725,0.0379452199511638,-0.030616511854471975,0.07496959066282659,-0.05439120649052477,-0.009631276492423914,-0.019766276065522725,-0.21598062966292136,-0.014189552085120937,-0.07452788923151978,0.10517152418632922,-0.159469442961537,0.02601909053963994,0.12699391173740363,0.08219892252890737,-0.07294968172821041,-0.01831543132706881,-0.06141759018610805,-0.051100038762984294,-0.007521036299207348,-0.09295708519241266
HEBP1,0.03890068590658159,-0.026066034215395585,0.04942719553380058,0.08020330099414665,-0.021801610246073796,0.04217819480217408,0.013267289811879242,-0.008941132556861667,0.05908368465593367,-0.04104934225240023,-0.048211381436598796,0.011238883330413308,0.06474882244329136,0.1011345069621397,0.03570321728307338,0.053948539738175566,-0.03619588485679209,0.04652818262181741,0.11072249869337933,-0.06694827668728794,0.08846356339044913,-0.013657427889843733
WNT7B,-0.004344141850635189,-0.014746602356467473,0.03600101435426158,-0.024357418480081754,-0.03995649648591967,0.008819198834682086,0.013606085821470408,0.01549090543175366,-0.05615868042233836,-0.024270981507456837,-0.019958662861665602,,0.10462446622943682,0.06966968714103469,0.007808231138023941,,-0.04393302185261674,0.021669087354729104,-0.02714384444218565,0.004627694988987258,0.15366477562167602,0.09124803041572546
PTMA,-0.07865805837121523,-0.08395317704610722,0.1021110946438944,0.0009177048388964139,-0.07905388343682522,0.004901067794489706,0.04355509728263918,0.01175904505953924,-0.08259105176474182,-0.06515346074076082,0.020970054840327677,-0.07332587801116118,0.5428283722609177,0.0954195938942758,0.00966335012752087,-0.04677976130155977,-0.20217527461439633,-0.1194110198999116,-0.06768403996071218,0.04470707923524543,0.020881611675091654,0.06474632918782053
FASLG,0.014010613541909118,,,,,,,,,,,,,,,,,,,,0.05142629023711045,
CEACAM1,0.00299154405852093,,0.031018737422243522,0.02148232721327229,,-0.03029033402356756,-0.03388552553705307,,0.06523137412166426,0.012974037982463148,,,,,0.08104032397499018,-0.023222515160366868,0.05052047163841035,0.07370631537480203,0.004969327212116474,-0.017163928396483053,0.0696280721345543,
