,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.016179712014702727,,,,,,,,-0.02368341301476918,,,0.03458037889714303,,
BMP1,0.012325096753379932,0.025189734810687463,-0.015426908111614861,0.09561087030703105,0.015239936790343717,0.018273443983686397,0.06349814870807874,0.06433653084733451,0.08020860924198653,0.0687213178422236,0.14503776010145422,-0.05247932249795342,0.06958400156905915,-0.010711995694523836,0.028464393053803886,-0.018791391947494313,0.056854907585033004,0.023236115516183233,0.040383466355726455,0.0130968341128522,0.10557802139880046
NDP,0.017536884173456516,-0.021539559164192208,0.007727147862940343,0.0733937513058799,0.011527411841682364,-0.021431407435739753,-0.03465362068207652,0.03122361089235657,0.016889181890294248,0.07415320932467587,-0.009810332733610146,-0.021481423001529918,-0.03540557815198616,0.04562867951255574,0.06167718481522312,-0.07657435804298361,0.0007157779770027866,0.08818180629921826,0.02239754786927097,0.041730802229919435,-0.018693333281129588
TNFSF18,0.06278774395877446,0.000858553190199791,0.04485238282377688,,,,-0.015232543451823823,0.08951485237577086,,,,-0.003702577841048857,,,,-0.024424285805342512,,-0.03214810715451967,-0.03674025849075829,0.01278967074133507,
IL36G,,,,,,,,,,-0.013752911436744552,,,,,,,,,,,
RTN4,-0.0659676400456323,0.034219523963072894,0.02029176146081821,-0.00041028422873157824,0.032384892994683716,-0.009345163703796634,-0.10276009957432027,-0.09431632460744702,-0.007056748812171511,-0.1033875933474078,0.03247194465863316,0.04485256776849723,-0.06621710067571783,-0.02188337276677717,-0.04102783947778608,0.07299076502060602,0.05532749995740157,-0.019607365276983285,0.05317554418935547,-0.04471914847103712,-0.07187739452890247
HEBP1,-0.07018542890583432,-0.035244831066617036,0.005371990298222248,0.009242593149463863,-0.022425833935017542,-0.014656909300598573,0.06724297877647736,-0.002363018350649398,0.018856512933842644,-0.03485325463287202,-0.06714834012498376,0.08748816799695355,0.09517630142096906,0.07943880664643194,0.05562872556359301,0.026664536167503534,0.05636195618618028,-0.0711850077854864,0.015212303362315039,0.004768254695304144,0.057002971058104895
WNT7B,-0.005812168486554651,0.06645748134322219,-0.025986099914719975,0.07080036718450346,0.01912979884687996,0.002190719153674061,-0.02358767652719066,-0.022427696198668846,-0.012031756191589638,-0.015116034573743229,0.05874854875437329,,0.12602440839249207,0.06059891750551503,-0.03397203171231854,-0.02882101611221828,-0.02898652299739107,-0.032148073819347506,0.027476292894281155,-0.05831630299407626,-0.0406275994428966
PTMA,-0.036297723498129875,0.003167193553110151,0.005888087830211629,0.06952022249540729,-0.008295464803518109,-0.06607868552376997,0.1494805677635461,-0.06435009751895125,-0.002394313902482593,-0.04226228268061566,0.01215091900243338,-0.05055421341312377,-0.024407679681490154,-0.06094483367446471,-0.015297611566292942,-0.017148624298234605,0.027314494401739255,-0.06672791267343785,-0.062096264688155295,0.01838654599994944,-0.1097901047818174
FASLG,,,,,,,,,,,,,,,,,,,0.011899276445339772,,
CEACAM1,,-0.020778482886297318,-0.01994276872588223,,0.05832740581707316,-0.025531238029692916,,0.10664228431205808,,,0.100389282754621,-0.04562826246559192,0.02091359824380174,0.0068439077136385265,-0.027448647768182885,-0.03509514877232594,-0.01923877688467593,,0.018411521140120787,,
PDAP1,0.04578372984729229,0.0650839665738638,-0.07226293064533715,0.10117733312147777,-0.0047380130416832915,-0.045774631057007006,0.0397278433667956,0.06008251417299665,0.034535855771565954,0.02641999249990449,-0.03114106135367319,-0.008724237387560665,0.010807339979197484,0.008125532815139634,-0.031324160366447154,-0.0010205328375838519,0.039911718786824965,0.04283865173441236,0.0033805888277321427,0.005240202360254501,0.08456978979181438
QDPR,0.03860343649849809,0.0714090283656918,0.01754771740650608,0.03074250890871708,-0.01414708049730961,-0.029263614128846014,-0.005817711986964015,-0.03853733622175178,0.01704116230347738,-0.0752153246035832,0.06975488789791136,0.049270186571512276,-0.029923860354479262,-0.025012142481740857,0.015829216578802097,0.019626063726605993,-0.009464158918046072,-0.01006561650720479,0.11534134049929519,-0.01278068008945929,0.0049144620315843025
POMC,0.0019472460804968869,-0.019810452354538138,-0.03543511830476736,,-0.009995870419382567,0.04594114331453562,0.04785843754333866,-0.0012485873005455563,0.010596579477777868,0.016912454323186145,-0.07303621102024462,-0.07617757434687623,-0.043686772219634705,0.0557138161738661,0.05311123879033793,0.013887289029405938,-0.031472111669254524,,-0.02631462378888716,0.058242512331611346,-0.039645013727186214
CCL18,-0.03452982704312664,0.028720201638813277,,,,,,,,,0.06238980649835878,,0.12264485089533389,0.13873938010631734,-0.003458844136339423,,-0.03632404834321449,,,,
CCL17,,,,,0.05557719254198989,,,,0.023675406559410018,-0.012563675042489455,,,,-0.018684963626576637,0.07016293124979246,-0.014391918759401386,,,-0.001919484041484783,,
VEGFD,0.054170066251230393,0.027967360959867925,-0.028564015094778218,,0.04388202559948425,0.020700412078260472,,-0.027105357731488963,-0.010923419058336818,-0.013464879681973988,-0.028223383849307775,0.11874715865404006,,,0.09390231623754021,0.06367721182433053,,,,,
TNFSF13,,-0.019567301928175577,,,-0.015464352361434347,,0.009858889529380348,,,,,,,-0.011081731251278246,0.036480853967387546,0.02974251566025537,-0.0041135893877570434,,0.012758977207333566,-0.032307937709581486,
WNT5A,0.006936569054986615,-0.03563462506749417,-0.021993293877935013,-0.001394681614582006,-0.013087465230264541,-0.027231773525948973,0.15046831040804262,0.055994506259034356,0.002895932802520009,-0.020532351073542985,0.03462321321780598,-0.0217013415913781,0.07603619389776803,0.021598189718539322,0.002625225695003972,0.036814250399662365,0.0371931330176938,-0.07033729662049454,0.008921997124855098,-0.022302832521326015,-0.0054328197920583245
CXCL8,-0.07294508610329554,0.034502509438673244,-0.026745650691581434,-0.014987315253141342,0.03830975982634564,-0.03270007230070695,-0.021012765882785965,0.10093485326598868,-0.010172362793174277,0.048023763424768995,0.03966168834211198,-0.004515947451681972,0.06594057906298369,-0.0840054247645454,-0.04970430573581537,0.12106534947801947,-0.01149250454179963,0.0238690537503878,0.02906710098318529,0.02178541547996194,0.017251513963657483
GRN,0.008540691182466163,-0.09805870377208957,-0.007465061105715748,0.031160059452178524,-0.011337355762808905,-0.001893457587882006,0.0644854853878662,-0.009425326324547643,-0.04171403610626973,0.05521975484470909,-0.03660681209435294,-0.033924382550290344,-0.021329537740094225,0.011064880785907784,-0.013022184317812624,0.05154280289594898,-0.03077046831792958,0.10748796273146774,-0.06877814009128967,0.01795931408018427,-0.10390935380254812
MIA,-0.012244885023608428,0.010249310001831545,-0.012497674241980391,-0.013946348418202106,0.08845771811624058,-0.02391800699134411,0.00040538435255297516,0.04288144478419347,-0.012423088728224566,-0.01844076978704828,0.031585667858168645,0.04903355952454541,-0.06333209404399187,0.09736585118994379,0.10202068799503725,0.021992395614026296,-0.05886386199676773,,0.0885074231774332,-0.009633636121628491,
COL4A4,-0.02431352800023726,-0.02036558833497404,-0.004840302592621261,-0.03423157768460258,0.006352326199486815,0.009855008247183153,0.01190862448845174,0.008813995840677758,-0.02086980108794473,-0.017888230829369873,,-0.00827845612198912,0.08484751917433675,0.06108689616303183,0.07195979133610206,0.01367964777883612,-0.0008002458229547574,,-0.03552261199753295,-0.028146324526303754,
TAC1,0.16283931164356016,0.12636965289791638,-0.004654217353671217,0.08058148377342103,0.07792725246553882,0.017951042869601527,-0.08224102808390371,-0.050529523982592583,-0.024704713283661535,-0.03170168871892075,,,,,,,-0.022138225374538235,0.09298331751973986,-0.028356802807273818,-0.007827744503797219,-0.06331906972911457
RARRES2,0.0364753078797935,0.013016492015069376,0.005486825241521083,-0.07163073529321086,0.013809409125254826,-0.051538989764831136,0.04997603224863751,0.06339418935464018,0.02939452966017665,-0.0038794713166031354,0.1017719133259103,0.06101989826090222,0.06163297904339586,-0.083613141802772,-0.01054287344027371,-0.03775194563042227,-0.025106488164076273,0.0674389007936864,0.04064188823683205,0.02070057140193915,-0.06371739867169811
FGF7,0.010896834019048892,,0.008299718446119937,-0.04698885130932975,0.02199400359000573,0.0028419285312671605,0.03348798306236344,0.017613456001717927,-0.010379219258292226,-0.04812431906211432,-0.09905777735832788,-0.03906520651289996,0.08480470840453128,-0.03133932356094012,-0.084825245825342,0.006750180715708736,-0.003404788268168252,0.04074591541308869,-0.014349085008225172,-0.042061137406962594,-0.017867832592130553
EFNA2,,,,,,,,,,,,,,,-0.026088102755684822,,,,,,
HBEGF,-0.021898284378986492,0.016736558352961912,-0.019594382200056652,0.0005865703805885633,0.04828368601320339,-0.01259751045323493,0.018850932685379476,0.02649130547201336,0.024547335028611318,0.005214696776525619,0.07435734814613958,-0.03133211350375957,0.09651495615434125,-0.02074105217286257,-0.004590502473474627,0.054604642205737665,0.0063698866235156705,-0.14795955486347884,-0.005497919017857582,0.012968697543842646,0.07672896642239305
CSF3,-0.03916466391730825,,,-0.023018662099473564,0.03866668056806204,-0.04678295547052649,,-0.016868344871015177,,,,,,-0.07567515184241141,-0.02598335434397388,,-0.027581414655438685,0.04209535828007004,-0.003384815444595624,-0.04139078680066515,
PI3,-0.046396384683246396,0.011211602838728416,,-0.011375079336405901,0.050043927595460815,-0.011646573103992919,,0.06251895116458693,,,0.027314456960605204,,,-0.09040792402177686,-0.09249425011093981,-0.007755985978414741,0.0022655725137357805,,-0.03154183695526699,0.04242671742713487,
PCSK1N,0.04924046729410421,0.04029346869609228,0.02247436736497047,0.08410506658102555,-0.03212791883410748,-0.03189703147770602,0.01538457044625826,-0.07052682412372975,-0.018289004236821366,-0.03938765604937497,0.07023758409953258,-0.005723144378398099,0.03872453352095851,0.025433955782149572,-0.012759420552595992,-0.04800538842297331,0.026204736850367453,-0.1056035846309447,0.06469881178242469,-0.026325329077913344,-0.011184432511160877
NTS,,,,,,0.06484618383224623,-0.01715829842628977,0.05436353524516694,0.038473320204553796,,,,,-0.022479462646143367,-0.03178340264010186,,0.11778774789668224,,0.08123592478713157,,
SFRP1,0.026514513051309047,0.06458673567852645,0.05237747227367472,,0.08231632995670442,-0.001921480456453809,0.037803196467841804,0.02944182094188438,-0.014891941477517613,0.001255901896721628,0.07486990190859258,-0.03980739040111999,-0.04495980963295782,-0.040846516409519994,0.034250485417291164,-0.020726740218061104,0.10345013861966867,0.059282965354746635,-0.019745191738530534,-0.04763796898460715,0.02660582277138023
CXCL13,,,-0.040711510940233564,-0.027282776558201275,,0.07799216757693538,,,,,,,,0.045735085873705346,-0.018170859837552414,,0.00887450801743683,,,-0.04169588478619668,
MICA,-0.06208196194185738,-0.03087532019104665,-0.01760856733414315,0.05836524025218467,-0.00531836200795684,0.011791823218084155,0.06971945536744836,0.02547281409644274,0.03955993002614029,-0.002881861909206526,-0.004170850607749492,0.00014923172304898345,0.03924290948222235,0.05856815036264895,0.0806164713091121,0.01865664207078217,-0.001139956263094094,0.08134213324338442,0.08578897282138105,0.04595171060039156,-0.039162147962429505
TG,-0.031220488283887713,-0.032308357990293565,0.02284437858315738,,0.08852211449933536,0.053355960371665706,-0.01980519953917784,0.07360140945615937,0.015082443130795356,-0.018872412685289667,0.048522608974340985,-0.00597200035799341,-0.032507469731479374,-0.006869730725598771,-0.028536739252113114,,0.041883021492195485,,-0.007593577782261693,-0.04594908080805032,
ADA,0.06284174322286856,-0.051891740864978074,-0.0012306232532974636,-0.03495216771990244,0.08455238474020445,-0.022344602377816717,-0.009167284133690234,0.02902265730834173,-0.017503093534019475,0.1079463171212269,0.0436655722839223,0.07870720266644249,0.0400604474736852,0.008474047104571548,0.014463579689749586,-0.04953613949205422,-0.027043180591673578,-0.05188205801425712,-0.04191111406166625,0.0219748845920898,-0.01123075133622924
LAMC3,0.014052579568224073,-0.03397978799421187,-0.04822332591482243,0.0925747994764514,0.006728792385023591,0.002089478692737935,0.035841541613006886,0.026725356608405568,0.01214879537847669,0.013639151093986512,0.02593295578738097,-0.028026764807638573,0.04381956525605751,0.08024391535434634,0.033640496561464055,0.024951184246815392,-0.024734875329703213,0.07882596786274795,-0.054965837802400365,-0.05176319196321645,0.0626829978410467
CCL7,,0.004451187397344452,,,-0.015262647003649142,0.00391944874414185,,,,,,,,-0.028004453580503,,,,,0.15037094028006392,4.1929817477454074e-05,
NGF,0.07836888661553032,0.020572940715723142,,,0.029887341094161735,-0.039081831177947626,-0.018899472452050856,,,,,0.11760267929269604,-0.005318507310480801,0.10708220742823572,0.00613071117366083,,-0.047351261628084514,,-0.06506859040333417,0.024625611947004918,
TNFSF15,-0.02791433090432319,,,,-0.016995703925065903,-0.012764479281666389,-0.02294810294592222,,,,,-0.06979982506263907,-0.029963233530736013,-0.027301197612068725,,,-0.017127584986562618,,0.04499081142288587,-0.011846740486390108,
HMGB1,0.02286096846768664,-0.03512777436377103,0.02602702105799175,0.13742161904741024,-0.008759219185112193,-0.02093226382414916,0.08064212255072441,0.042114356792545195,0.0056066633371414905,0.004956746415944307,-0.009643411256136413,0.029808988175967187,-0.04614372823888725,-0.019158541665789838,-0.021517197994105793,0.009533119255981232,0.018393846005656134,-0.09099944433003684,0.01664701516233692,0.03306001242309935,-0.15536736931968637
ITGB3BP,0.03824469521563281,-0.02496005624807726,-0.0390378539557681,0.003963902769682139,0.0005651017925819993,-0.03908008108761302,0.11048362169021708,0.04193760566365334,-0.009859167726854632,0.011543179090772723,-0.05352455923820027,-0.1728664211718015,0.06016949129785994,-0.018266493439661746,0.03131866671655331,-0.024305269298301988,0.027074677916258696,0.09580194525047245,0.06349740648803189,-0.016835141916986266,-0.03863933861808179
AANAT,0.016628151154988408,0.005276157861657745,,,0.06007590140095982,0.006558434622077187,,-0.015215703563464654,-0.01242308941922848,-0.01685296834100163,-0.02322124597585968,,-0.0207942449189985,-0.024567807664707883,-0.03510752046041422,-0.038624585458439206,,,0.10547665234837,-0.014062023881901847,
RELN,0.02222267425878667,0.012937182415120119,-0.005207621719576719,0.10537072575667872,0.01917962798050771,-0.05605404801284746,-0.03645776160950303,-0.02530588464193867,-0.0031730472424877534,-0.018657690592845277,,-0.00018688255531505927,,,,-0.037247058856185705,0.050017549273935556,-0.010419486768619408,,0.013557268172866002,0.18410363549585518
IL15,-0.03967973953966351,0.0397786276309432,0.012363656054286961,,0.02082532762877908,0.04789312789600448,-0.016328939494979794,-0.03968875522892356,0.02528044344933746,-0.015630349204753258,0.013846525967494845,0.023885467734837254,-0.03515138194911439,0.0038101363309466256,-0.03476550259011408,0.08927517131815749,-0.024075710230593742,-0.030559595841690324,-0.06384181963106511,0.03151388927871717,
UTS2,,,,,,,,0.06989426381288756,,,-0.022866700219353258,,,0.0609893929018839,,,,,,,
BSG,0.07601258759537333,0.01325054919914384,0.04202728059881196,0.07778064688583862,-0.026253257025665718,0.005744279718571394,0.0771544537715383,0.01059094597701475,-0.001451027898279772,-0.002991948500262624,0.10652390565704169,0.1489441319133992,0.06354752091402995,0.01872479258215377,0.055955778803730094,-0.04677422483429529,-0.027701811525408297,0.09050557157466543,0.09670133372167192,0.11094368238238027,0.051011283274004865
ADAMTS3,-0.017768003702288176,0.008217884177043748,0.005034173661394898,,-0.0013353471513568318,0.09427608713199401,-0.011955285052328995,0.1005822869505741,-0.018200363602102095,-0.025972595802781096,-0.029321603056773844,,-0.024898991348616752,0.056310407567469134,0.05739589624576732,-0.008021768579915673,0.057054401454989356,0.0836693269173638,0.09429956173718787,0.005338977678958763,
CD34,0.021189108417591123,-0.053619847129448166,0.021924133486521787,0.13051379071767044,-0.011965596658565518,-0.0031734333224200223,0.0015153658792880027,0.07000791421929259,0.05395954153889703,0.0683212640628359,0.027790065269996358,0.04009993333495016,0.026182404353501554,0.041983054510595585,0.022941194100276154,0.05280475003189446,-0.01855042010607608,0.11399064119106606,-0.031784884616822884,-0.052414778763724024,-0.02408113707873708
CCL23,,,,,,,,0.11669508019029859,,,,,,,,,,,,,
PLAT,0.12997260981190273,-0.01053923680836437,0.07575921293408318,0.026042975735456702,0.010962751914128738,-0.017403983208208008,0.08798309051129843,0.03902833813588783,0.021535380722181707,0.07038556410153575,0.08945563170020968,-0.1058762761231925,-0.06120644599739489,0.08014595576114267,0.07619314223374257,-0.02561668135557071,-0.029364507039036987,0.017251729417524952,0.03566518440171251,0.027204121267622672,-0.004818403330328855
NTF3,,,,,,,,,-0.020053829906801483,,,,,0.032810013773180595,0.038000853684555726,,0.06783760553982654,,,,
LTA,,,0.046650779914814366,,0.054082048294651054,,,,,0.0721300908988852,,,,,,,,,0.029091279942897022,,
CKLF,0.10830430646722791,-0.00884523154851855,0.055165886958493365,0.04764285113525125,0.032510304848037755,0.0005857746125995231,0.07254341572946137,0.08708082580169191,0.003957341586319382,0.03886310490502476,0.046703589168844706,-0.041468803459154255,-0.10289565698107517,0.027398495670242762,0.018027424009500293,-0.03675478656617258,-0.009097606665491191,0.01164838085138442,0.06903878668157272,0.013858091516309073,0.04961857557374366
CD24,-0.009580391392475103,0.0010968766252397128,0.05112948677594077,-0.031017781522263716,-0.023994893586933165,0.033783556942448535,0.061046959616404335,0.026136887739916806,0.003298874626858284,0.03601027916807538,-0.02354608520291411,0.028686965888844007,0.14350708799457898,0.0609816138825093,-0.04541515600342521,-0.0007438713604581223,0.11611145018178373,0.04244014945972772,0.02904113508965637,-0.04703768491109802,-0.05783512476831797
HSP90AA1,0.04032005992023146,-0.00258406855371034,0.03554500233985442,-0.060105585120346895,0.01642916996666305,0.014032280902377512,-0.08831588403069171,-0.08506905499285092,-0.02813866771678749,-0.04287966626429245,0.017442348149899225,-0.014402103214271841,-0.030339784572114326,-0.17827876896265102,-0.07241552756827867,-0.014416618283878477,-0.019138179497713712,-0.13065186391650366,-0.02395635197054948,-0.07804477038019886,-0.047119659837919145
BMP4,0.05899518583542325,-0.05099810318496311,-0.021140506064045776,0.0911926079104691,-0.045639867785791884,0.050467727719870174,0.11936180723522163,0.06146626879839427,0.029713517814037242,-0.01331867353815036,0.050315923580073266,-0.06365001349830304,0.060341658382600916,0.07629100141762019,0.04309079246824333,0.02914528340790014,-0.015111386882841643,,0.020716885792922034,0.015058511955047387,
SCGB3A1,,-0.016493403871020305,,0.0672835716837728,,-0.015891560159140835,-0.020844180064086403,,-0.010478997431499042,0.01954150424654862,-0.0501263325042871,0.01260156796858714,,0.04021681077605278,0.0011965221491890376,,0.009378961437955932,,-0.03264512683396249,-0.04568985744217888,
IGFBP4,-0.023629985122878967,-0.014563792254007002,0.00921544564021948,0.11520704030049785,-0.05202427956536058,0.004242042935365179,0.08660810031504812,0.07001437796074128,-0.019942150662783504,0.018643534537144336,0.03183285471187575,0.04147889698346916,0.07641354064457083,0.036983242168422845,-0.07147748343517887,-0.0028418278794300022,-0.0770723475230403,0.050308773944446834,-0.07814026680978106,-0.010489025908071622,-0.06290870562439584
RSPO4,-0.027564088108426393,,-0.010359834116202645,,-0.000999874844686785,0.05491841481162723,,,-0.010478995898708616,0.07532839916379501,,0.0057263863890213585,,,,,-0.008610001155659847,,0.06407633499710919,-0.03957828500732019,
