,UKF251,UKF260,UKF266,UKF269,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.008111663049784508,,,,,,-0.019010186932047583,
BMP1,-0.019859941218437635,0.015787326268193375,0.01757045428060957,0.10724412644535596,0.011558496921633887,0.029059046695413013,-0.017798982903179664,-0.043687556829773454,-0.04288738802568755,-0.01897128681446113,0.04905249891951589
NDP,0.04866456770019586,0.04355555409629554,0.020917437297755092,0.032269047159731674,0.018471679689534472,0.05278757266929245,0.010046552695795056,-0.05157105609963075,0.07987043212050593,0.05687563839238653,0.02906156841985839
TNFSF18,-0.02528979802809401,,-0.01777582960518004,0.0051694580136579385,,,-0.03003661065702618,,,-0.0049703498593804156,-0.027943151654493372
IL36G,,,,,,0.0030845437357354794,,,,,
RTN4,-0.030077924421519787,0.02511765586042514,-0.09359190382602031,-0.13094383320602374,-0.0411733606086567,-0.035949121555543986,-0.05127209548561726,0.09791867933478614,0.030382279005666736,0.039966664876286674,-0.09655933060923141
HEBP1,0.0027260552623943266,0.012199909934836918,0.028901705044977397,0.015220199625785445,-0.008501240848937868,-0.00465371446947643,-0.06188687569802586,0.05262128758373388,-0.037237178055958636,0.042149926339246385,0.08173169605823591
WNT7B,0.06506221399102265,0.06829318138996447,0.01833699686826189,-0.03352633470388026,-0.016328899690777682,-0.02674585114818932,-0.033067376597691725,0.0243945039637274,-0.027464030079571235,-0.01950624913444278,-0.014524322634330981
PTMA,0.004321324288109146,0.007699953110807523,0.1157450717904345,-0.06815043076222815,0.046533384131771494,0.06666473365296291,-0.051118091373494566,0.02360178900983742,0.032496814707160586,-0.05278592053732821,-0.04118662114749566
FASLG,,,,,,,,,,0.008657393107293205,
CEACAM1,-0.012055895765191327,-0.0226661048614664,,0.0018731741904171107,,,,0.03890748965226086,-0.018228276192437977,-0.022939974526421113,
PDAP1,-0.00042857252615916805,-0.04167082704376551,0.0031456124383570944,0.06927814689873041,0.03453283643874038,-0.020715367184359536,0.02927974951032375,-0.1755377232423579,0.07821513889192402,0.018862852070212675,0.00960764991728472
QDPR,-0.01278456950607095,0.03950482119730415,-0.04422641558628717,-0.1310466624785818,0.02119627448853443,0.0348154708347011,0.009559703922029898,-0.029267086223877487,-0.004269317650774684,0.07060695623380142,-0.07073743761129316
POMC,-0.006482764497221921,-0.01040122206540538,0.04752395688330009,-0.005252347766371064,0.022262306346686963,0.04627533871697785,0.031517744041481346,-0.07221657122270977,0.020617247120645627,0.0870676142863314,0.004750014907097819
CCL18,,,,,,,,0.009178657572748421,-0.03542376381359558,,
CCL17,,,,,-0.020210600370075937,-0.0222297839371396,,,,-0.014944092839902253,
VEGFD,-0.017267651916911243,-0.02168564581833252,,0.08660635322675023,-0.014824719786841453,-0.023824347976016503,,0.06559452395145071,,,
TNFSF13,,,-0.01723884646978673,,,,,,-0.020469132458824167,-0.024350151949873035,0.06722112852759356
WNT5A,0.011635636293137911,-0.06485009681820728,0.04301499209005919,0.041019065521895326,0.072688787788821,0.053257554155701936,-0.018516484484969835,0.028705437400542447,-0.02609081348793297,0.01284726791774432,0.0035062580390604
CXCL8,0.0038791517558385805,-0.008322497193164292,-0.024521141006246184,0.11339611359769357,-0.013805423665753007,-0.023585212869441846,,0.1322619155108206,-0.02944067386622718,0.029551904913052162,-0.06584234782547341
GRN,-0.030493854506078912,0.016445809177762668,-0.03589424964093363,0.11212237936007524,-0.0010716537523980613,-0.014607195430976563,-0.01199937769438983,-0.03031015406399402,-0.011259965274419264,-0.032896983975374584,-0.034499308330029975
MIA,-0.01535664203924748,0.0029395554937891206,0.029114357542669715,0.10000900209073471,-0.016859996700615366,-0.032628536364896925,0.022801596502829855,0.010892968068507404,0.055419372775253245,0.07136366405993337,0.07815463045346771
COL4A4,-0.025825297987401127,0.027206066135623812,0.028630998969542347,-0.0244260346945422,-0.028323453625975478,-0.031650890763231514,,,-0.016130921535982366,-0.014232861862750561,0.16706795066729982
TAC1,-0.013927319771606893,0.029553390160555353,-0.04529545157227841,-0.07014702954226817,-0.019545989187769276,-0.008984469848234453,,,-0.031448969348708895,-0.01964552961737069,-0.07214197884450056
RARRES2,0.0008551597953918026,0.01038030542453123,0.011016275975172914,0.1000352775090932,0.05853881980423976,0.035433800092832264,0.052979506197431615,-0.06680277119378697,-0.0042705438377239925,-0.01571736832946434,-0.03760617737081185
FGF7,-0.019489738114043084,0.06668125240479747,0.017212167708024393,0.06276461792616865,0.04116567153861723,-0.02924927168563201,-0.03329581663151841,-0.0008488300614047544,0.03432013430191137,0.07726035415913005,0.10812081266148349
HBEGF,0.093883170288068,-0.012129626368977115,-0.020062870891920895,0.05153031442183522,-0.007595098714861302,0.023436155227946724,-0.014326888386690743,0.06940337154102823,-0.026475683494334313,-0.05161639139034526,-0.026285903400118875
CSF3,,-0.04063385067361624,,-0.02584227456403879,,,,,-0.026132723880069143,-0.015733824361993123,-0.022017109704384016
PI3,,-0.006238065789592,,-0.029098742240213107,,,,-0.03322526128694936,-0.025440007595213778,-0.021665494659958477,-0.08034660160760052
PCSK1N,-0.037008187054784765,0.0002714328671234682,-0.07009911043226898,1.2406383461598537e-05,0.006933411022637247,0.004248612793168299,-0.017496450164868827,0.03574865197470653,0.00966242755127123,0.07711804897640483,-0.023035255521094682
NTS,,0.017718321833897457,-0.020023116303931318,0.004865431368234273,0.015493554342230534,,,,-0.0032608573207827474,-0.023299648396666102,
SFRP1,0.013754966296466704,0.0637867812450775,0.034510184389364665,-0.00323497586621562,-0.0055464510455511965,0.025980584502162382,0.10555703384232545,-0.010044024655563852,0.039188254437312525,-0.02275822359623257,-0.04458520854265506
CXCL13,0.01510546529348214,-0.009917429656985395,,,,,,,-0.033100261574507926,,-0.011736401923088299
MICA,0.046454117939372847,0.0037994225951963794,-0.04249972112487083,0.039696388115660106,0.022380752351726468,0.029089188856821862,-0.0255157937172618,-0.08512317032280872,3.883505838113306e-05,-0.003852715365003034,0.07226224884610442
TG,-0.016393589166878518,0.019382843654109902,0.040433977149290076,-0.018798119889220415,-0.014626323720843767,-0.013321038221864048,0.05792317133298773,0.012301970796557793,0.13408855910416512,0.049374073204988475,-0.016468773863359508
ADA,-0.02305082803040468,-0.05070121029803007,0.026880066501048152,0.061084405104202794,-0.0237543259723868,0.05063257323512594,0.02570498797109521,0.0028787192087868546,-0.015386023864767775,-0.004178386593609552,0.04111909093489492
LAMC3,0.014304310337893603,-0.06462967874953615,0.07097585426221625,0.06737060534714787,0.012301812520892982,-0.00870619134943478,-0.006611967614161116,-0.03816143438653339,0.01718218542029196,-0.0377078735943935,0.051426381227398434
CCL7,,0.015043305436564208,,,,,,,,-0.0164875227779775,-0.06051495984019384
NGF,,-0.03469604108611034,-0.0220550036832638,,,,,,0.07666275249031995,0.005319341589480931,-0.014446566088657744
TNFSF15,,-0.02406682528236869,-0.026779609657374866,,,,-0.01509710616307219,,0.07555263210912228,-0.033524712800498,-0.0269137154886768
HMGB1,-0.0074959467789758975,0.07078827564415593,0.040948854984648744,0.13484395969282337,-0.01825060175756447,-0.003137927519398407,-0.09862447559727601,-0.02525183645152841,0.0378656838893731,0.030336735100273838,0.06526899247096139
ITGB3BP,-0.00824626670821647,0.02394878478602213,0.08354634832008823,0.08396654350945758,0.011582030350010382,0.06988069865726741,0.018646210586400012,0.02617415855376536,-0.0008475227717102875,0.050730468617864836,0.008197157383556109
AANAT,,0.013022291981760267,,0.043470898575440176,0.052336906531853696,0.05254267045219617,,0.14308897527013317,,-0.017444486664713092,0.0472574312007275
RELN,-0.029237484700843,-0.0003275872700921541,0.00877911077345957,-0.027368855636853307,0.01385975747340032,0.018629220062696534,,,-0.01960163258310031,,0.013532567544041522
IL15,-0.02088518179130956,-0.007302030488899523,-0.01905528430062033,0.05150198690367059,0.07225349803038657,-0.0032723077826709445,-0.048204481096214426,0.044875124023399354,0.0009238468497480049,0.04511719515227591,0.019345862637370953
UTS2,,,,0.02338723872333784,,,-0.012309880927185733,-0.06612470452688783,,,
BSG,-0.0339450235539837,-0.025272460128771265,0.07818398934502424,0.01045985500196983,0.04670325622035096,0.0230334002601669,0.012941995098603266,0.10855552914247972,-0.029509700097006937,0.03920080722798073,0.07224846104926809
ADAMTS3,0.062459971501268245,-0.0008629889553033638,-0.030692550554485706,0.14743693170652755,-0.01833819308299955,-0.03847157025089853,-0.012501400990999108,-0.10925123857805626,-0.012041785218769217,0.0339608425345213,0.014644418643120119
