,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.02073163928013942,,,,,,,-0.0452218077218781,,,-0.02900362617135186,,
BMP1,-0.007126236809236688,0.057937264074232706,-0.05165475945765152,0.00945574497949986,-0.05452591174555062,-0.09052848745815913,-0.16767875658682704,-0.26178618285345845,-0.04746622240250848,-0.03301215996756717,-0.11399957425161164,-0.26961816292319113,-0.00872259709302702,0.0017515527987314922,-0.011482085214306098,-0.028227681842900743,-0.014573899696175197,0.026673356093641395,-0.08559127886830892,-0.08202433099177223
NDP,-0.06852220680580307,-0.011622692836944191,0.02928046392818903,0.08775632446563575,0.05632085224412308,0.151689133009947,0.049017313000158026,-0.05554531224830643,0.012575761955313885,0.1027414967118639,0.009139374045291509,-0.06739104535718625,-0.008121638451108585,0.027162913338180945,0.04962443260748993,-0.017220753639639996,0.00641863012768763,0.08296972908368505,0.07035882620113942,0.06596062743931815
TNFSF18,-0.03399442179441487,-0.036581169044352185,-0.0014385183234736452,,,,-0.05145111578886473,-0.05970665056086445,-0.03835648768916483,,,,,,-0.046636452091791576,,0.058574269448206435,0.006655200264690376,-0.038272127307665466,
IL36G,,,,,,,,,,,,-0.04223798511698127,,,,,,,,
RTN4,0.22647293138378774,0.03506965641574195,0.008849249389468159,-0.011615284924616184,-0.003039114252698786,0.20282226891483623,0.45236086226238453,0.397900496132956,0.08882819780237587,0.16067998757979296,0.3288939326265624,0.35904562788106076,0.020974322737764964,-0.05851874322275039,-0.03052537868266106,0.04246344238796238,-0.022996421697538186,0.017585384417700092,0.22665036095231988,0.029102194153661144
HEBP1,-0.0440242949079927,0.07280691362149029,-0.004873584962246918,-0.01150383759221195,-0.027518400865854196,-0.004906640657819194,-0.1321339096815726,-0.17948348278581913,-0.01655070732252222,-0.10755160753561525,-0.09780476549155848,-0.01855761803664978,-0.01789032056112846,-0.008434716220736263,0.012302909805687481,-0.026286640330641074,-0.025498312867256318,0.08638106692301167,-0.03393978440166636,0.05688219832811839
WNT7B,0.21965752784071718,-0.014224231122178107,0.0034055317793811515,0.0255505370544298,0.004096053868617736,0.05885078642038297,0.12840220177373846,0.30835496827483316,0.02733516824134002,0.0854950604223868,,0.12155036882051397,0.04956019391502456,-0.00566252099813241,-0.035911432030451655,-0.021268712647539472,0.013609871107814515,0.01652163102370148,-0.03321009115405118,0.02906742659093927
PTMA,-0.008695967876415646,0.09845082025407528,-0.028112626131397235,0.1365929001566528,-0.02061927667427684,-0.1333907066351511,-0.46823232971090156,0.029706888736281106,0.024783791604372614,-0.09900068671089415,-0.37895089738585314,-0.37277372287079835,-0.05870299996914889,0.045327586272984305,-0.06819226251197129,-0.04776089562899541,0.07482313642655834,-0.06345343871346433,-0.13142835684668988,-0.03568233404179389
FASLG,,,,,,,,,,,,,,,,,,-0.02515483508368342,,
