,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.022640971604536014,,,,,,,-0.030696207619314582,,-0.017325835556702453,
BMP1,0.11314254209990851,0.015260453429650189,0.007587772796637354,-0.0055460534062075585,-0.014536901498599276,-0.05890781319074515,0.01644096823639423,0.015327745004703614,0.01139807385240023,-0.05117109720262993,-0.01852698893830938,-0.03467166119621187,-0.03398590104681153,0.026661485987085034,0.007640935761966691,0.0062624064620723785,0.009166419154680368
NDP,0.06228726790994635,0.0368398630352346,0.03572218995205746,-0.0018061176904797846,0.0038603449989068044,-0.010628066626069972,-0.01410060722081731,0.04121410999332802,0.029732602072194105,0.01693605886141449,0.03545721969380124,-0.060422752648949606,0.02378158137944637,0.010071936408124657,-0.03243464908900732,0.0878611212496606,0.04406204762697263
TNFSF18,0.03016761536004222,-0.0363402886534646,0.006960316231605279,,,0.050225331135166335,0.000683326040651875,0.023151345445002785,,,,,,-0.03165645709791625,,0.030287564966360845,0.0038965851353194485
IL36G,,,,,,,,,,,0.029564855957002617,,,,,,
RTN4,0.0064818294849834975,0.06620774665339992,-0.0014786395615851505,-0.019620594184805138,-0.07114293434966389,-0.03894657872185781,-0.033737130796827795,0.12333506736672185,-0.018472547637127655,0.08721305617494,-0.015971439194741227,-0.002252134002272115,0.0021140821215107635,-0.011415482518751258,-0.05885991589210375,0.02856631268550423,0.054511622740363544
HEBP1,0.014073113064242873,-0.014510409113356276,-0.02775009843814402,0.021437130810973606,0.03743260710380677,0.08590198816889566,0.06884187371149311,0.03402269172447539,-0.03548776460694612,-0.041836897639220605,0.04820709553547032,-0.04216584035099527,-0.010989349889479865,-0.05493569557140275,0.10248982139280349,0.04504522056559498,0.013561977545664424
WNT7B,0.09251507041346291,-0.025948728861954873,-0.020824295225787496,0.032268260609292304,-0.018271790391271116,-0.027133667909963487,-0.0003800253870128668,-0.06744346421775488,-0.010693688749802085,,-0.016577860248930827,-0.03093600674314347,-0.03487035963762999,0.020843021519680954,-0.022338912311980718,0.010841561393243146,0.07659246961159653
PTMA,0.03940229331585676,0.019784739995644354,-0.01028468967136945,0.019586854334510052,-0.0036533038015071073,-0.012324408394586234,0.06845296636258771,-0.011248467516185847,-0.009012770311065857,-0.1044410348554914,-0.06820595339244831,-0.01622034290387007,-0.021161183387675322,0.02899150630970046,-0.04954700611985421,-0.03450977719622174,0.029279146527428117
FASLG,-0.0169850661489747,,,,,,,,,,,,,,,-0.015026691267533821,
CEACAM1,0.016536056370826606,-0.023129597796988633,-0.01598139408877312,-0.010706269469792874,-0.014343782230472401,,0.07118353884385466,0.11394500925504226,,,,-0.027743906360043924,0.10567376381141072,0.02180463581903425,-0.014826660991910582,0.059892789752075536,
PDAP1,0.028067744739349688,0.017643010345712924,0.029011785762252676,0.023334250837226626,-0.024073445107955206,0.04333689404017686,0.01858795832786441,-0.0022050503411169833,-0.03198960808165232,-0.03357806121827194,-0.004257586185592419,0.07447682680583947,0.02846586154667594,-0.05409247936135481,0.03604131233345396,-0.022036551938005508,0.019272431028759553
QDPR,0.0035518614463658288,0.03441816336405458,0.061281542219134816,-0.01843567807808188,0.04517030633999864,0.01134606055877931,-0.05303379420791967,-0.013242007337534561,-0.00887622625346684,-0.06200846160425957,-0.06620078647085684,-0.08344591786293518,0.03346581307943209,0.015529449269429082,0.024961874396881446,0.012351085349635561,0.020451197264236203
POMC,-0.025411888664636072,0.056684294975083385,0.018236800895611225,0.004278856415813038,-0.028863081752514116,0.008196834534756881,0.01884698032620027,0.0036807653530356085,0.012648140978203944,-0.005137323183981499,-0.02140033758766228,-0.05257345674355835,0.024030475751646647,0.013316855164554836,0.03933450572869278,-0.013363203941919009,0.0016626205482778737
CCL18,,-0.02886355267309517,,,,,,,,-0.08950045053020805,,0.16363483540058316,0.09635715110143443,,-0.014370313346625004,,
CCL17,,,,-0.023318670665423664,,,,0.03844879175842596,-0.022118998445844716,,-0.01377866979936349,,-0.007480574079773677,0.0610946455551711,,0.0461020999076083,
VEGFD,,-0.003936591472800983,0.03394821660184586,0.018529854540476818,-0.013723318719579602,,-0.016737055410708444,0.0135366405201017,0.04321446593677745,0.033332796935483786,0.12087602943866799,,0.0067829944140620655,-0.042684599889812144,,,
