,UKF243,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.10263031396629305,,,,,,,,-0.016603067382544443,,0.028272014126820594,
BMP1,0.10360475581620986,-0.003464072469252322,0.05656492025506106,0.05372532820301982,-0.02335962022177299,0.036493668265785796,-0.0046599311193847685,0.045798162444048135,0.05714815949324116,-0.019903881167944774,0.043238022697603185,-0.015287706493031773,0.019020631210226235,-0.010966644457858284,0.05313475418623485
NDP,0.014110073800201245,0.014183626504705208,0.012287618678992746,0.0406374697644276,0.00831471333171737,0.05833446020417811,0.08871183381510418,0.03779249866624984,0.03874984009562403,0.05368713330683811,0.022748475683725025,0.009040888021156669,0.0319437749989433,0.0745201492599219,0.051951026190339505
TNFSF18,0.08798524523701377,,,-0.019362435297762777,-0.01433915972666538,,0.10085297215208959,,0.13365457342649442,,,-0.01712245033026874,,0.0031548295813614968,-0.0006836996585207674
IL36G,,,,,,0.065505678057656,,,,,,,,,
RTN4,-0.07917630764849008,0.0061966433314518034,0.0030157607355857864,-0.038699299236609586,0.012948078576544026,-0.06661629951117136,-0.03781745721830924,0.07831193505827753,0.04645713360169878,-0.06432213823541967,-0.028417997088968337,-0.07380361206288312,0.048340638672506944,-0.00958555151545164,-0.06057293931689277
HEBP1,0.010364011489745984,0.010945224323616255,-0.03387546256569953,0.0005208269384408278,-0.007249027595014952,0.0417262148907633,0.039017152450048956,0.0032810039461556124,-0.05581400014181353,0.050637469443514625,0.04705660551740602,-0.010336054961907707,0.04365504112829281,0.07231541722238945,0.05926257855747319
WNT7B,-0.03512347718490325,7.241496944938527e-05,-0.022276966494244425,0.001371178098515932,-0.0130839430342272,-0.01792677509617935,0.034425232760365757,-0.03492618813396163,,-0.00635812554014716,0.03529307015878908,0.008487600088145555,-0.020366673885378588,-0.06071701759043329,0.006945541983808413
PTMA,-0.04775430217334,0.0026169042973944556,-0.019640723689111343,0.012492879063127975,-0.030505055381747845,0.06066381578599875,-0.06921087953367075,0.06767904006318304,-0.07379173980025616,-0.04855856757672846,-0.03872632246905594,-6.412490335654338e-05,-0.009195537346403689,-0.12585085989331715,0.10524308136596888
FASLG,,,,,,,,,,,,,,-0.029757049923585955,
CEACAM1,,0.038923083739058666,-0.014777319648623886,-0.02547986205000073,-0.022552082174129753,,,0.0822484769098166,0.046866057476880336,-0.025323617909852977,-0.016893067987160178,-0.024603173516586512,-0.01351765766452986,0.0012141308738279081,
PDAP1,0.032613334994010104,0.03295000886370478,0.01301125943602323,0.02937277001252256,0.005812592783984531,0.013235927440493804,0.05348234215399857,-0.07179170113946512,0.017666654677027674,-0.04002807152270527,-0.07583403214421701,-0.0628517678548299,0.048403484869384165,-0.0030626800236142667,-0.01128410434220601
QDPR,0.10580294774684726,0.007861227370415209,-0.018419951661583906,-0.03237563178104242,-0.05256385989577503,-0.07041736109715475,0.014257778573157657,0.07654540354546913,0.03891402365446415,0.0182993575259856,0.00081331750825501,-0.058062843203517484,-0.0348661414788238,0.09083597179971153,-0.09940601639802878
POMC,-0.03429880257987447,0.026391275162138593,-0.029735461557353644,0.0025165028063635635,-0.00018281752937699785,-0.034944750412365194,0.004347308061466459,-0.03826204651866074,-0.0010166921730239758,-0.023979025294126106,-0.006155496103635908,-0.030122603736341007,-0.02211311218353496,0.05199124314471029,0.08168328430178304
CCL18,0.0128624249382331,,,,,,,-0.016991775127298787,,-0.01872125980634722,0.00411622726461667,,-0.020088756361673978,,
CCL17,,-0.019668024106305786,,,-0.017883723927799054,-0.014899818849277519,,,,-0.01796588120948036,-0.02438620417671066,-0.02189018526738038,,0.06788889444294163,
VEGFD,-0.046573505081995877,-0.008451709313870678,0.08683466116431746,0.013866416134137955,-0.019053595218888872,-0.015968597357877604,,-0.029270268110003127,-0.06158720545347565,,-0.016893067987160178,-0.023087389066315047,,,
TNFSF13,,0.07106032431826308,,,,,,,,0.01583978789832223,-0.02650697020228915,-0.023474392792420494,-0.015179423569579693,0.056196272228708,-0.006655671047164049
