,UKF259,UKF296,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,0.014828083238365453
BMP1,-0.0004521744194557922,0.04108616039306309,-0.09055613400357189,0.04105177571126671,0.012473574768661736
NDP,0.0334666749443046,0.004239949301497664,0.02594980448873916,0.03336383861645086,0.04672759977276712
TNFSF18,,,0.08592472510300617,,-0.03803130088709282
RTN4,-0.042908408848304117,-0.053743718822991504,0.015014608042696028,0.02744230476740072,-0.03526924424837568
HEBP1,0.07921347624259396,0.029400772665041944,0.07192412134125416,-0.024137221565502315,0.06755617792714642
WNT7B,-0.003139747380825321,-0.026704982075992867,,-0.03139837175171816,-0.019128347813896253
PTMA,-0.011707674225811272,0.11043837990611569,-0.06495284801421819,-0.02389261205808362,-0.010776389174119678
FASLG,,,,,-0.01955425621041485
CEACAM1,-0.028792922182682743,,0.02331763530459924,0.09997811106170332,0.003841992867543954
PDAP1,0.021142347254784345,-0.0455326269874502,0.1218576245724276,0.03333072677266067,-0.046408395757463625
QDPR,0.05008216711005056,0.02276766811994545,0.042947250007549835,-0.07558280827953275,0.027260456944778102
POMC,-0.01324747559382193,0.013302742699954751,-0.04523149650645103,0.01588462801684316,0.01623705798275684
CCL18,,,,-0.019964883929448833,
CCL17,-0.03259856687894313,-0.033053281656985165,,,-0.017723736928135204
VEGFD,-0.0040633573192298406,-0.012169533144202284,-0.011137323235171269,,
TNFSF13,0.055395859117409685,,,,-0.014186807544989598
WNT5A,0.023828693162974236,0.008728893529343936,0.04727182383447582,-0.012304860473529631,0.04238661863856475
CXCL8,0.022203112759939633,0.06964291640527535,-0.07249479219615525,-0.035151321493671464,-0.02803694843128586
GRN,-0.00016918148411766863,-0.052416754117322245,-0.006129708019919422,0.028805940735598674,-0.0656923625973972
MIA,-0.04094930309948699,0.017187954074353896,0.04551559523315465,0.0031862831687077897,0.07797831822038459
COL4A4,0.01868194363719623,0.02496288615192623,-0.021637236181042067,0.029796771929918236,0.01747406245532436
TAC1,-0.0063149417752795265,-0.04277974596778415,,,-0.0232996544174604
RARRES2,0.09601437030988415,0.07901731820656428,-0.028041319674717863,-0.017337466869695606,0.02519603340333661
FGF7,-0.015990972089087632,0.02204202428340011,-0.030744579073219567,-0.02052756980093829,0.0227006271443414
HBEGF,0.09680374279200424,-0.009304686607681972,-0.04653350969717947,-0.014080695768395686,-0.03534083486343
CSF3,0.0007304719961841256,,,,-0.018660360776189804
PI3,0.02247543118460678,,,,-0.04054276466953546
PCSK1N,-0.051226702718698384,-0.0598171989117723,0.005950863871856591,-0.07277692375650119,0.008823876866066114
NTS,,0.03183015386913471,,,0.03305505148804068
SFRP1,-0.0070483197373245494,0.02211831199460329,-0.06765344886558028,-0.02419563402634811,0.03717029301820341
MICA,0.03143033525516758,0.021171335577895457,-0.013805204305154308,0.011611388057009401,-0.05805264212845296
TG,0.04639239520047067,-0.023920516397280867,-0.03228988495279912,-0.03250749878420553,-0.03639126283518683
ADA,0.05182181855552206,-0.008178936025497362,-0.03262305528687044,-0.04405651449833993,0.044742709693237924
LAMC3,0.04219541480274407,0.035725723507947504,0.06338491553343811,-0.001154271615346485,0.012552024970621736
