,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,ZH916T1,ZH916bulk
IGFL3,,,,,0.06984761855646272,,,-0.01860240316314357,
BMP1,0.03305617358256315,0.05271393001299774,-0.004549887764047254,-0.01587679280044803,0.10544019736322428,0.015414170674760957,0.03268424273011278,-0.013342918966774038,-0.03362859605050216
NDP,0.05296274183729676,0.05708543209162967,-0.025915512109072954,-0.009158269576814456,-0.054834133391885295,0.00023011871835113736,0.01877324055439528,-0.0447604028009869,-0.0723129953498667
TNFSF18,-0.026228443589921123,,,-0.02824322398117401,0.12117476904617111,-0.013383383678501694,,-0.004399863085618073,0.015466908927108478
RTN4,-0.00177044661802511,0.052149875030568935,0.024243534262793198,0.11078916780205814,-0.0751451542390447,-0.030401194233334577,-0.07854094774553703,0.03706148591514775,0.09412600148145041
HEBP1,-0.011727325502533645,-0.06548544568107284,0.04278637547258817,-0.09017010611710806,0.054342659904262125,-0.017230892952327385,0.04804019679015527,0.0444962146139629,0.04083618537262986
WNT7B,-0.018529213047908024,-0.0003125546742323227,0.022296951119318002,0.08157160894000122,-0.03879602703303524,-0.0383622234865036,,0.02861665356472908,0.01338657270833019
PTMA,-0.04369367878062685,-0.02613781825538656,0.024642748557994778,-0.12092215277088943,-0.11399324529347735,-0.015166518028016548,0.0952092981046812,-0.0004299646874416662,-0.08068249639619139
FASLG,,,,,,,,-0.01613385791709288,
CEACAM1,0.0035136800311341226,0.04725620553596796,0.0900733482658821,,0.009601337728743555,-0.0210488741487551,,0.01545239714403878,
PDAP1,-0.03014516009397211,0.04792996459152803,-0.013964718279019517,-0.03880528432549234,0.0722251519950963,0.05958202191140808,0.045404288504537184,0.08401815343477191,-0.003971991362471657
QDPR,0.0006760682755590426,-0.013179304523272803,-0.01841515491841334,0.044248142556158096,-0.09889974485198318,0.038358911806452546,0.06719590884326686,0.0247483210880306,0.04584461386424787
POMC,0.0004527732003472393,0.061151047771828025,-0.045818497543773616,0.009686225500766458,-0.03533888069747487,0.0927880811071338,0.03877339197803138,0.0448395286532398,0.03783714225810398
CCL18,0.012197710838503673,,,,,,0.15008702414570463,,
CCL17,,0.0006137452927490941,,,,-0.01669168511185812,,0.09880824427831449,
VEGFD,0.04437364082711623,0.04394232557015968,0.06574282528545054,,0.07399572687117216,-0.017783578684534024,-0.025978658609044174,,
