,UKF248,UKF260,UKF275,ZH1007nec,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01710443937716196,
BMP1,0.014853311945166266,0.05042260145028349,0.02138758653681346,0.001632310524618365,0.014026573464448787,0.02378843964660869,0.010046646570820997,0.0437640011843454
NDP,0.021302980187129467,0.017516534035624476,0.0815146741395558,0.12662930718468535,0.08792435574363269,-0.00017665651906926958,-0.08673869732308594,0.09023421932700769
TNFSF18,0.05366410679533796,,0.0119337592113166,,,,0.044132829080425734,0.003485112226173386
RTN4,-0.004434789149072903,0.0032835360593211956,0.015722407678315894,-0.1368023514882769,-0.03437477997410385,0.060324059607857285,0.017966558630438778,-0.05310016569922075
HEBP1,0.02978854837267911,0.011917693581789712,0.01771928175381222,-0.04246166526641014,0.03325934743899157,0.0707336115606808,0.013022986353584681,0.007416739726000411
WNT7B,0.04647330823452807,0.027493856945285132,-0.015875976031565424,-0.06250373062245436,-0.02662898790220962,0.0733593972564157,-0.012569698254534533,0.1653000810130903
PTMA,-0.014056682177310296,0.0016274495053654149,-0.020130568891024145,-0.07179299585752959,-0.011127522231182824,0.0015127604540652877,-0.03028006762247889,-0.07082843903030017
FASLG,,,,,,,-0.014834674436548758,
CEACAM1,-0.017332503538678195,-0.016011000398063958,-0.018361621255777113,-0.023446399069441334,0.12245105871790488,-0.02474960341412144,-0.0010614335146126592,
PDAP1,0.014931462566467265,-0.012383989172325131,-0.021123784374562832,0.02233682136334501,-0.03324759802424003,0.01783677758846965,-0.0033619230830579786,-0.009618991182282006
QDPR,0.017872316701928636,0.0027686997394971453,-0.014076495396825314,-0.03753672065022809,0.06390085945065387,0.05903046760351201,-0.04655326969939825,0.017448247664304955
POMC,0.0748886996751642,0.03761257300346507,-0.013546472049031668,0.07762494769702893,0.01626651342504928,-0.0013260391421685484,0.047601260499749554,0.09074601249041506
CCL18,-0.021629326771535142,,,-0.040357385995617855,-0.016874291056504717,0.042825871988660724,,
CCL17,,,-0.014560702771020135,,-0.01529664541780002,,-0.013445966151751905,
VEGFD,-0.005728682525285444,-0.01531841866750867,0.0025688885720828464,0.07789123152698929,,,,
TNFSF13,-0.01632218924588309,,,,0.06312827983235385,-0.02779214585289109,-0.02190907955508593,-0.016691645722169513
WNT5A,0.006747271013411797,0.052338439310024895,0.006877741437859269,-0.05703880255929824,0.05391724230722607,-0.019233550112728325,-0.00884798860756115,-0.0299688821264366
CXCL8,-0.028679669823511278,-0.04946199296989474,0.00954609679875038,-0.024240480017167828,-0.024622574844329354,-0.0052674049880851075,0.11827591073347074,-0.023907082237362605
GRN,0.005171404039788337,0.007352927678033205,-0.015215331731371374,0.0033040362116403487,-0.007033579653443546,-0.007114198242372007,-0.05090182938350202,-0.020342835969094815
MIA,-0.023762531312580035,-0.014904498469618676,0.009482630599879206,-0.011843345293669117,0.06534145997937227,0.01314808168027364,0.0008715080812663197,0.017199502270032346
COL4A4,0.026876376125327107,0.07035891289129571,-0.015201824181744827,,0.036647938389078726,0.023578619078364785,0.015803107836149854,-0.006949385477960373
TAC1,0.059789453867019095,0.03953334703657538,0.010574890533278671,,,-0.042700116618065366,-0.017676089749863576,-0.01344977207539026
RARRES2,-0.019386012729416046,-0.042704843937939864,-0.049097488077033936,0.03888705469040558,0.016502027930342916,-0.016044058368501313,0.0497866674733667,0.06921212132303943
FGF7,,0.019507882118170027,0.03265640470844154,0.025441630199006922,0.004636420374886678,0.034860574487964834,0.02902322872148965,0.06914569439548196
