,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.15681413836708105,,,,,,,,-0.021110099073709428,0.06330970132751956,
BMP1,-0.015127931285168999,0.08080891789565398,0.07195360245496013,0.00353871891830854,0.006362565016529989,0.004277911557359413,0.07636316682903783,-0.003954325019821114,0.02152989694673077,-0.012160907832954742,0.05684970001037691,0.055977454895538466,-0.07212667473734642,0.07564075797791568,0.0026560698976361386,0.34498922798137943,0.014975811351688675
NDP,-0.0292308502628166,0.06193611045957484,0.005561458833720026,-0.011824397937592537,-0.029056342156845123,0.08678869081233835,-0.026444183944533347,0.04957965912491988,0.037185522391437346,0.016609238224541866,-0.004398147996445248,0.04078970163886115,0.019586288891808277,0.034692709190249894,0.030823439931889112,-0.060954024226941954,0.024922115672466473
TNFSF18,0.0512009953844337,0.005199872389231512,-0.019660949971155646,-0.03146638120735472,,,0.010987544215016123,-0.027897454678246534,,,,-0.0388131984152192,0.005573792801363576,,0.0008864223645540159,0.09450644881842989,-0.014541929446074263
RTN4,0.006481971844911971,-0.06148746228034746,0.07137969794777928,-0.06729642649992643,-0.04886693003177062,-0.01550837238097973,-0.14298214887171717,-0.028340043496044846,-0.0685823051677748,-0.07105424305586083,-0.08381880929407608,0.017130224415078166,0.06235863263578888,-0.08212403416559728,-0.05458081645062749,0.007630863429719751,0.0913291642544655
HEBP1,-0.06072375508791245,0.01576837858258351,0.09924240075736056,0.04080739120385987,0.007175640935237558,0.01385183393063729,0.06169083260437284,-0.006631101518037369,0.019664746078252783,0.004181544699483012,0.017802860008538503,0.116789800467092,-0.0765161823200873,0.027235982828839416,-0.02010576377848679,0.040934827450536726,0.0053847806207409565
WNT7B,-0.009962335257168026,0.04257190306920426,-0.04635087178178989,0.08103542510175411,-0.027824698388245205,0.02596418549952783,-0.046297219886967216,-0.060392630517568574,-0.015866371716065926,,-0.025243820814788962,-0.008009928284123726,,0.05504003230169056,-0.020379124957299165,0.12375900425674034,-0.0028587978224106263
PTMA,-0.013727368173746531,-0.10129389292626202,0.07599608799228166,0.007118261498286934,-0.04330879753277405,-0.006235554149247027,-0.03074011129474389,0.009808422554379748,0.02383105480172625,0.10561931587284415,0.07765399558489473,0.09481757373057162,0.0655155697763919,-0.03580239576745468,0.014532265823846119,0.17837312179150502,-0.12898244839466966
FASLG,0.11338455030342992,,,,,,,,,,,,,,,0.041576555584524506,
CEACAM1,-0.001320596099359121,,-0.04426697468767272,0.016628342132044692,-0.008436979679516579,0.010566823425969218,0.09681270954674008,-0.012275295847958705,,,,,0.11895043635223941,0.05322516563835564,8.996176170600937e-05,0.005489357509898296,
PDAP1,-0.09279885827457585,0.03077146747900793,-0.022443617358908378,0.009372403315203805,-0.011427143576044177,0.004725642654886882,0.12260663089795656,0.011164804018011188,0.025853727462073206,0.019748965778831194,0.06993620636080515,-0.04206839465154303,0.03431614771664917,0.03923310946414764,0.04257006401150116,-0.07681730939130225,-0.011971135633493522
QDPR,0.049445633406140825,0.0471881172351335,-0.013677427662063977,-0.00912301070301489,0.006189170377750264,0.012176460981437699,-0.09136354130488496,0.029602583505343,-0.06065960121580788,0.031677990475400125,0.04735345655233086,-0.08207442015166325,-0.08407886003962606,0.033920114393559006,-0.03847129904599954,-0.042988598401072595,0.20591832917106148
POMC,-0.004498913651075668,0.009606796925215355,0.03502690274043586,0.07498058798664949,-0.03872433547296039,0.04937370766504146,0.0727743594762009,-0.013335825535688066,-0.0007205344546147538,0.05541627627650885,-0.017758022816537496,0.029835278684711985,-0.0301267311947019,-0.04346802848981051,0.0254577956932739,0.046105926436114095,0.038232999949369205
CCL18,,0.02585594255831814,-0.06365133867463615,,,,,,,0.06056998577596411,0.10501122368385393,,,0.0746062202987278,,,
CCL17,,,,,0.12279970510626524,,,-0.0185155773605094,0.1878730308814635,,,,,,-0.027832446203409692,0.039179449034635744,
VEGFD,,0.053782995839721875,0.03554082649634477,-0.026959119436006766,0.023392517756737247,0.012233954470157826,0.08038925600053844,-0.037069592584852255,-0.014404798803276978,-0.02042609378225299,0.04662210832591918,,-0.05690221403975872,,-0.02935464027903592,,
TNFSF13,,,0.02110437092007779,,-0.028085283364131724,,,,,,,,,,-0.029846699174645164,0.0756390592933384,0.06212156266642719
WNT5A,-0.035329527464063745,0.048355208636625714,0.05321545455358667,0.019599880979525305,0.03806309039905136,0.03309701697252523,0.10303644802649602,0.033197191811897474,0.013150182499659623,-0.025265452592035217,0.06902187366588806,0.018556108483059996,-0.010551626880282416,0.03319488112029507,-0.00792448580489159,0.06709407285464197,-0.048858777439284906
CXCL8,,-0.10909076641267638,-0.013522374939184387,-0.02524292152190726,-0.006690055415597781,-0.07661464142979242,0.029224134230792693,-0.02128024810821758,-0.013414374987086383,0.026213652900360963,0.05492985366763146,,-0.05518899160066687,0.05477548922776984,-0.014693389001608737,-0.03290681226337154,-0.10751545528940631
GRN,0.0997328787748373,0.031735366260018084,0.13285054969108032,0.07772121385374259,0.0699817323279254,0.009392622643367961,0.09560256970910905,-0.0012195857092344444,0.028560959621328614,0.0831014932717857,0.00690165617930614,0.10488171324562232,5.284599496990778e-05,0.0573001725079348,0.10397522060891848,0.20591927328903115,0.005425908820391876
MIA,0.003118395478792777,0.025773787886902478,0.07350298718362903,-0.010699333981968833,-0.04039614601004365,-0.03350896613571309,0.14236431881133638,-0.042143915344221114,-0.016382425016346475,,-0.004016347033140897,0.10703719234957848,0.016985355688681723,0.036064591368755776,0.02524266049141958,0.040916264587325286,0.02213301264039925
