,UKF251,UKF269,UKF275,UKF313,ZH1007nec,ZH916bulk
IGFL3,,-0.01379494859325854,,,,
BMP1,-0.009411881269973667,0.021062079603717223,-0.0020020318655752534,0.050903972289984944,-0.09494548800889567,0.05104958015206251
NDP,0.06523974090931957,0.06055594065172808,-0.03020364749588382,0.07408384980913905,-0.04286409572706084,0.0051865706769775345
TNFSF18,-0.02998952522846138,-0.02048508452528359,0.013843426788707154,,,-0.0147375497491913
RTN4,-0.07041835752420816,-0.053882352678518874,-0.028944390178346692,-0.025035265211971296,0.07018970956024591,-0.015103077748483996
HEBP1,0.02162500946103676,-0.03441333371212779,-0.015229510707069665,0.004509830822066962,0.13765606420572024,-0.026603078625706288
WNT7B,-0.018628563433930274,0.08330308943261777,0.005879183092256336,0.08875182072101336,-0.037034824818489215,-0.024194290985746485
PTMA,-0.008182502132119374,-0.042292897488186876,0.012791714751604871,0.08030923368910355,0.03256241501167745,-0.0646566552091961
CEACAM1,-0.014296302002897202,0.05861527845665523,-0.017222442122779773,,0.01077797275750148,
PDAP1,0.020612619466215027,0.05118395279560607,-0.045404802605331064,0.034110948545066,-0.11969942832513047,-0.00831061336258135
QDPR,0.02248890911358804,-0.05668758648080227,-0.02996519160304674,0.03772771288365955,-0.06257677356719216,-0.0030468767343396447
POMC,0.0265851428609972,0.019874475210222765,-0.012706031105989488,0.03728481242766415,0.016095425421294426,0.08108860563934872
CCL18,,,,0.04223737059152519,-0.037581610769937095,
CCL17,,,0.006644148081587909,,,
VEGFD,0.04364671766565474,-0.023110239302651967,-0.01455073808061138,-0.00027070679813399846,-0.016352973316234122,
TNFSF13,,,,,,0.041910421609100475
WNT5A,-0.016890878101172957,0.031279077379409145,0.005973614319932908,-0.01612463469842782,-0.025966427272934092,0.04483808872559905
CXCL8,0.09968900930052231,0.06457392568848226,-0.04402484650440493,-0.05423440997672902,0.05880766498743064,0.03359056003080664
GRN,0.05816329826882364,0.04952759220396923,-0.011194111998243656,0.04997450611255268,0.03629983910357025,0.036130473178181265
MIA,-0.018210442145439786,0.0397900852417725,0.013687675521262672,-0.02668067698563799,0.04765343765352562,0.018205465846510536
COL4A4,0.06581365542560019,-0.013593897906291393,-0.014258683015172214,,,-0.037577916984875406
TAC1,-0.01595736522592284,-0.041800694398841966,0.019085807377710026,,,-0.035362315030147806
RARRES2,0.06012570637170096,0.054630499840044006,-0.08906156467462026,0.015280801417298968,0.03667915031629669,-0.006954911726802688
FGF7,0.03299782327706025,-0.007671322764373224,0.015668903362410575,0.012353843787624452,0.10008630368429183,0.058732077731978825
HBEGF,-0.008407890028097503,0.012168608480468758,0.003068101044445448,0.017748377374853276,-0.1112405496042108,0.059902743844546705
CSF3,,-0.014382082334812566,,-0.029555878552003777,,-0.039527669157439195
PI3,,-0.016194414531939226,,,0.020102165100679154,0.049381395897633164
PCSK1N,-0.0005793718807109828,0.012978322530205214,0.015383288695823576,0.013701058075658997,0.05050912560598137,0.018296860594236547
NTS,,0.003538549729181685,0.10038136723120474,,,
SFRP1,0.0796092289043419,-0.04190052176623003,-0.021122980976886283,0.016663078644775533,0.009528816635473353,0.12927942335629397
CXCL13,-0.015452299579230175,,,0.03914265257231037,,0.0010524600106581955
MICA,0.09261701061402511,0.04215745226469549,-0.022389080450707328,-0.03451287655035246,0.06538729596107684,-0.04317426445843816
TG,-0.019440090243464363,0.02639774707231418,-0.013759250810794453,-0.0028976671902984034,-0.05938213953489988,0.023925172865945348
ADA,0.0353267597867938,0.02157709042320525,-0.022348346920464893,0.025324135055042545,-0.02716248510663476,-0.07331811652696894
