,UKF259,UKF334,ZH8811Bbulk
BMP1,0.0240595671857218,0.035234341380362515,-0.03519066963315534
NDP,-0.015583587603766467,0.025061427298750494,0.048026912168919696
IL36G,,-0.015082912256850173,
RTN4,-0.011270957339111053,-0.033503814393493064,-0.052481346443044426
HEBP1,-0.0013661844769062219,0.026907330321848243,0.032243257257779094
WNT7B,-0.050292980395830536,0.004000874775119717,0.07570905265080251
PTMA,0.048662953402305704,0.0669618501400295,0.01834770035880006
CEACAM1,0.012776933657456139,,-0.015399751345296819
PDAP1,-0.0012095967393140159,0.0227248694578255,-0.035939695827165136
QDPR,-0.04353633363183972,0.04970879298922429,-0.008051886569732181
POMC,0.03857303430513645,-0.032315301170967425,0.09193159007210552
CCL18,,,-0.014348520849752976
CCL17,-0.03578384770068766,0.03528595347638715,-0.022230507854607503
VEGFD,-0.04785021190402209,-0.014767025856768812,-0.015399751345296819
TNFSF13,0.012909986960774904,,0.010808275291785007
WNT5A,-0.052043246664492206,0.037215167342906544,-0.000923549820146853
CXCL8,0.00702621926468295,-0.028862623679094864,-0.0456722189865579
GRN,-0.019362875048720408,-0.02836755502521878,-0.011601291287206012
MIA,-0.04406780932151918,0.012461650635189666,0.06584156725187448
COL4A4,-0.015244661066982036,0.06692951598671844,0.024335014106081566
TAC1,0.006791796804369699,-0.034767459351475495,
RARRES2,-0.0009645591684807917,0.07293703887779361,0.003305056319465736
FGF7,0.029923104176729044,0.059418381889542654,0.00046861012137917727
EFNA2,,,-0.014636433054956832
HBEGF,0.08189142150604797,-0.0027770525429979868,-0.006434911099840932
CSF3,0.026639992362985674,,-0.05195885376735876
PI3,0.004700076608537446,,-0.07513128751690139
PCSK1N,-0.026260689584918107,-0.024042274640161312,-0.012773632610750783
NTS,,,-0.017831716217815763
SFRP1,0.027628972319710406,-0.03934420111055951,0.0318812088821952
CXCL13,,,-0.037605168926924296
MICA,0.03961179579147386,0.043259987870132334,0.00994476754341872
TG,-0.01840324312058919,-0.020697504373275444,-0.021961707821728054
ADA,0.02492273772426234,0.05420849570908253,0.0035316017574956796
LAMC3,0.031035084057197918,0.03144271284111235,0.03584574542413739
CCL7,1.8539535454175807e-05,,
NGF,-0.007773363421387369,,-0.01443969477057573
TNFSF15,0.0144561085130827,,
HMGB1,-0.008945518942569541,0.021699320036951734,-0.010741083085795524
ITGB3BP,-0.02038835640579039,0.04313491135001734,0.009745102615131613
AANAT,0.003959237771913459,0.017618920289761333,0.023095115796261004
RELN,0.014660025375859583,0.04535530779775828,
IL15,0.07019236027382386,-0.01714191112794847,0.010921457447196867
BSG,-0.03158035050058265,0.0703733050827498,0.0268398390979346
ADAMTS3,0.0006231516005341172,-0.016464963292982318,0.061312159566529606
CD34,0.04341922443607255,-0.005821922271678124,0.05662438543584418
PLAT,-0.03259135793317773,0.05064654977992662,0.06884645562875219
NTF3,,,0.07034219541911461
LTA,-0.021726087579717737,-0.017141913243953984,
CKLF,0.010361299225762781,0.0013063289566068044,0.12855295959659888
CD24,0.011037917243064667,-0.013574374170722795,0.016139169056823395
HSP90AA1,-0.00526275249303309,-0.0553311594382091,-0.11136620428350547
BMP4,0.014447221609048391,-0.014606680576509656,-0.040077258135318754
SCGB3A1,,-0.01196140036930932,0.016418023914482133
IGFBP4,0.019475458171336103,-0.019716124010697136,-0.025336744571598218
