,UKF259,UKF260,UKF269,UKF275,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,0.05638837723676943,,,,,-0.024203502645106213,,
BMP1,0.009421700134411147,-0.03038825346334704,-0.036473974811384,0.033810776209205425,0.017502187235680623,-0.0011178335744281803,0.014425779839786875,0.004861426792591934,-0.003575081305390278,-0.04532429501696592
NDP,0.0279226887723235,0.07834182140277457,0.02813050815117658,0.01734323357220724,-0.048516483041717816,0.016916107387508733,0.011888223623879484,-0.06212559761105295,-0.00560642810792354,0.03825971286578951
TNFSF18,,,0.019001063259581417,-0.014795353584691301,,,,-0.024960645060988024,0.07955132995651985,
IL36G,,,,,,0.07005124042295215,,,,
RTN4,0.015752462713174677,0.02890165516376633,0.030590600410074203,0.010986746183079245,0.0032496956083120443,-0.0037572326492878562,-0.033119046892100476,0.023882903208969908,0.04948048939073295,0.049171178213082374
HEBP1,-0.026760408518700735,-0.009859687330797577,0.0156993833010539,-0.004165305650962568,0.06398777655678935,0.006192585572763435,0.051941258341993514,0.035115049931727586,0.021972777190619252,0.00842905505092541
WNT7B,-0.013977399522314396,-0.013487553500762571,0.030375035680212967,-0.011156170990667175,,-0.02070169334145298,-0.04426107610732414,-0.05219472808616946,-0.05285470830716501,-0.007190915921649771
PTMA,0.006657864886142133,-0.015982784905728253,0.07640376342273515,0.005562025177785093,0.05518823093877668,0.03905152352519541,-0.038542013838839366,-0.019744328688707857,0.05170018452496392,0.12030202834684421
CEACAM1,0.03758394629490983,-0.014989607047397603,0.06684645418124054,0.02321419076254246,,,0.030877832575345293,0.0259906051734391,,
PDAP1,0.017331313182281996,0.014042159469085517,-0.014799121009693585,-0.006559801526293621,0.017195568100152936,0.027736795966470832,0.0270111249929336,-0.08254300183928857,0.0018762712884703102,0.0840339207753445
QDPR,0.001982915971947916,0.0412812610858028,-0.009639343561308545,0.032228902050579634,-0.057502531871481154,0.054754502687792674,0.019786259746022185,0.046852015033114994,0.12030188133905514,0.07906315494696962
POMC,0.014882604806506333,0.056428945377733075,-0.03512559080001252,-0.017167358310674206,-0.12019493607885058,-0.023447424378520324,-0.013442633772086238,-0.0296559143483634,0.04308015723696386,-0.03263943476960718
CCL18,,,,,0.08184131131717352,,-0.02814372840932021,,,
CCL17,0.03360859412537462,,,-0.018452686486973395,,-0.017206189010910436,,-0.015292925428983103,,
VEGFD,-0.01926562536101358,-0.014341207339001764,-0.03444492727812701,0.04928079474483281,0.005741795895539691,0.0006331856789741593,,-0.002047836433693146,,
TNFSF13,-0.01192789946319216,,,,,,,-0.03422033501116467,0.1143359580502418,
WNT5A,0.03326159914632834,-0.02659085819997564,-0.03506213169246511,0.018474919985308324,0.03685948861894896,-0.02172401289319902,0.029319571465674293,-0.05281285895834933,-0.02951259956369918,-0.009239223712559745
CXCL8,-0.018645686610049707,-0.019709527164458864,-0.04254207109502815,-0.015356198289490832,-0.016652146610039078,-0.01705790392873486,-0.049551464904203965,0.02334537998246594,-0.04285036152488624,-0.02420293225623989
GRN,-0.002893446440052015,-0.014505794493645635,-0.062121563918418866,-0.004930199324586163,0.06857334167649151,0.013281499225085818,-0.014851882424865943,-0.001683933852685457,0.035535603098700505,-0.06212757989808795
MIA,-0.001612776953814705,0.02875630976699855,-0.052108862091674875,0.0043594763229445966,,-0.025254980679583715,0.02904542769558783,-0.03945324285812943,-0.04844217775254687,
COL4A4,-0.009362346534847814,-0.014503369257477031,-0.02026118460637307,0.03999136282165956,,0.02993488325466097,-0.0355824663093939,-0.01603840112784278,-0.02955564570630141,
TAC1,0.061441922292590156,0.03511350752339522,0.04970893719679907,-0.0036571458737737392,0.01953726217350818,0.006722796569290585,,,-0.11726100042087008,0.049355809314369996
RARRES2,0.06951520248364154,-0.0696192199658445,-0.03108614643646667,0.018153294589799054,0.03259683751224978,0.047161871759629076,0.015245977616091587,-0.050297635709606714,-0.06968527077554124,-0.05191547644535426
FGF7,0.006658841937442975,0.053549964167412055,-0.020473836616878606,0.06914733154195644,0.056460846630154826,0.039031582931466816,0.019140505552940414,0.006630925458564352,-0.03466387585097869,0.03276429218239196
HBEGF,-0.026405896808946467,-0.04588695976179577,-0.005799030327902836,0.03357203797926287,0.0385882654895148,0.08466236777772469,-0.021190011828831443,0.0293089897056793,0.03426808229283278,0.09198181068440119
CSF3,0.021990339422968127,-0.03134757230764876,0.04891302115054074,,,,,,-0.031089157647651976,
PI3,0.03777069230729441,0.024561698444232772,-0.024137155118098618,,,,,0.08266388661344523,-0.10889574803955453,
PCSK1N,-0.047557003567031346,0.05238364006050712,0.06234623182643013,-0.0022497244364244762,-0.02823472185115127,-0.010675999569819248,-0.005569314006953225,-0.010441058449513343,-0.03320481718289006,0.00959358971761879
NTS,,-0.048041294131579405,0.0024183637745527416,0.028277425920151353,0.06126180457709556,,,,,
SFRP1,-0.015088273446372067,0.15978080823075735,0.021022066224771818,-0.026885075127753247,0.019088250790017136,0.05820552763946261,0.015277527713626454,0.05509311791989359,0.1208265869920641,-0.03365998907276908
CXCL13,,0.09524885990847443,,,,,,,-0.025217529969927453,
MICA,0.020283909254808014,-0.01309433539222217,-0.006677819531401167,0.019237051359403793,-0.025766638870413545,-0.009149117443836733,-0.021945201479666557,-0.006823527372944588,-0.018978800422197913,0.14215005666543815
TG,-0.01628263754782548,-0.0030709213050038498,0.0035493595245827355,0.08363351540672694,,-0.01251482582047926,0.0993540484537659,,-0.027789848526040137,
ADA,0.010731989349230154,-0.041438372454214306,-0.005207981064682282,-0.023098374483490967,0.03252365846679899,0.010649413030197893,-0.00545065560071651,0.03409498332174317,0.02740649962644253,0.1536770176237442
LAMC3,-0.02577279586702142,-0.008673819488829044,-0.02159594143726588,-0.012278103409576828,-0.07035241078581553,0.03543266189964517,0.006058559694409032,0.013511252353990253,0.043601270040014725,0.006042999050781078
CCL7,-0.011772320931830635,-0.021496499247715295,,,,,,,-0.05264407335935873,
NGF,-0.016126389117799844,-0.02294527556277745,,,-0.011127432334223177,,-0.0418233572750189,,-0.03523355762646295,
TNFSF15,-0.013109055134434583,-0.015915935096302264,,,,,0.025281057546870545,,-0.0344077971426901,
