,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.023609832464133233,,,,,,,,,,,0.001729242823162874,,-0.0029300492432372586,
BMP1,0.01904735986612028,-0.06679340590483594,-0.014356814865987668,0.049322217946158015,-0.010996513113066484,-0.02637274527075223,0.0024667718309155768,0.07691797381507819,0.13378039662358684,-0.029312495836835026,0.038605477548436185,-0.03203515682654465,-0.039525786673430596,-0.031288522577466234,0.05913375994414002,0.02872784224590707,0.03613772781654338,-0.003060877372677628,0.019932601321332632,0.048473653501816844,0.019358350577921794,-0.02141047831440934,0.015197345682823049
NDP,0.028335824575723218,-0.012659874823431857,-0.021395100628284786,0.0310766429272767,0.03307881757142401,0.06330491096759944,-0.030626511377154653,0.009053204622376266,0.1012652257184094,-0.029527983553668844,0.033223172180611764,-0.04967045273133242,0.032608805643378785,0.018911937542721042,0.02425782160669136,-0.041116173428516964,-0.005298857507096775,0.025718519552857085,0.04850296891928404,0.01604567628179846,0.00970405220873959,0.04814623661410421,-0.06517151283669295
TNFSF18,0.10883112069419604,-0.0371849565932546,-0.011686676084521279,0.025471354643046278,,,,-0.019786914360697485,0.03170742425386383,-0.024409391258913508,,,,-0.027396218348301478,,0.012634450627771882,,,,-0.022556788417013283,,-0.014513013998145073,0.059481429965573346
IL36G,,,,,,,,,,,,,-0.011653578191361617,,,,,,,,,,
RTN4,-0.01717526219511418,0.013616098192241695,-0.053426139932034725,-0.055925843911270486,0.0325709920861202,-0.028913207738168096,-0.0765773005319032,0.01802642848557796,-0.16036631472947732,0.047101515549632024,-0.07320941521957403,0.09396914689615164,0.037164802189700204,-0.0013176357424963929,-0.09047531588908655,0.06268938486568187,-0.0899574553744552,0.08467381095540788,0.03740744574819754,-0.04955467508871915,0.13614368207348482,0.004109130313440045,-0.01993521797495985
HEBP1,-0.014349023903911007,-0.01636659343594812,-0.022908498031402914,0.07593119274221054,-0.0036088133047378957,-0.04981646259076308,-0.021021753167176083,0.03802888977573851,0.042735308324587135,0.025339052315718567,0.02527737288102633,-0.021821117039027494,0.03271490965674117,0.007552518165748253,-0.03766598021551245,0.04653782207467113,0.0734551389776823,-0.021117516235183993,0.09969506594285667,-0.004192234360653904,0.08426462142310188,0.09030553206632867,-0.011896266924504264
WNT7B,0.10888990573597339,-0.0036885339038980228,-0.04346498143849762,-0.009020019452733752,0.02384927066476724,-0.039567943485575095,0.057423458583844025,0.047618768666474375,-0.03232641119079066,-0.036628275563899,0.006503806557199388,,0.12530243335962427,0.020290597159532887,0.04896233071283479,,-0.03849386638503645,0.10128466529586709,-0.045965765146781315,-0.025543726103797664,0.023147076262425344,0.0696871812292511,0.14186870632866705
PTMA,0.042863103996584356,0.037468448746245595,0.07284335369497216,0.04047057983468695,-0.045085072935741065,-0.0020354470068678506,0.0537912916220308,0.0018585505965943733,-0.0463503739062355,0.02055969112553325,-0.033958267415387135,-0.15214894844235524,-0.05306873336675045,-0.01201539603409748,-0.07964300435689743,0.036426617796875796,-0.08090658259351895,0.040188914287099115,-0.013905079897936197,-0.019231223174668365,-0.02227994723299967,-0.04587028342197687,0.018268614566422023
FASLG,-0.004172321339219812,,,,,,,,,,,,,,,,,,,,,0.01917684176266527,
CEACAM1,0.03898990264127802,,-0.004328299999129793,-0.023206899363676668,,0.016358262872345833,-0.004014103347906529,,0.022847348384140532,-0.030870152984416702,,,,,-0.06411183815147746,0.010647811725336685,0.026859569064812048,0.007329691841211701,-0.02091093950769395,0.01639378830445761,-0.03470803968133515,-0.02602003554718138,
PDAP1,0.002233368669664084,0.024943529241116855,-0.0003549910424746097,0.04490043900078439,0.048123728827105305,0.08879417552982041,0.02461311849327415,0.06472360720396217,0.09827223309598933,0.019646771382123465,0.03962619141011046,0.0016310562138269718,0.0018379630746869114,0.04459468020741122,-0.10576331100859201,0.10938018413936128,0.03716019353968538,-0.03466107430332503,-0.03733702910205601,0.13220037728595238,0.06784799167216592,0.07609047169768318,0.06030382390695693
QDPR,0.006723629599053032,0.04090724422059431,0.01873958583561245,-0.03274255701090521,0.052858630784629004,-0.0069778835436579536,-0.012489804459324419,0.042948392896114074,-0.1448545055148428,0.013626916624708007,-0.034948523873540444,-0.09011854982031416,-0.02156934085411879,0.06635691782433872,-0.01670943596954477,0.051617546544077665,-0.10042162957250671,0.012658980674206625,0.08473766334202724,-0.054935533346438525,-0.009931446879491943,0.0187915493383615,-0.03848700012148894
POMC,-0.03941422785525441,-0.009727692151895041,-0.05304584173155565,0.007589003679351826,,-0.00910126323138449,0.0056459291671942385,-0.04436495332131086,-0.006348865459308053,-0.008792513798715563,0.0021592978193932266,0.041176815905644676,0.013898198891958816,0.11077179594875983,-0.09023853771905221,-0.07926606596958699,0.02352009067275315,0.03725752460622155,0.045698387550285456,-0.030948544895321978,0.05359968376551736,-0.034545238509077696,-0.013248607124704461
CCL18,,-0.037774693456484196,-0.031854026810876325,,,,,,,,,-0.07814112957549456,,,0.1509609750339678,,-0.024476605998873496,-0.052542397832489644,-0.00863854488173609,,-0.07949802486949278,,
