,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.017553685945211978,,,,,,,-0.016113802801563167,,-0.023562647984409463,,
BMP1,-0.025770804841207404,0.009546422706961145,-0.018300232366277674,-0.028057465123298694,0.013700925065103271,0.06404935389679878,-0.02168439495158947,0.021674637294166712,0.0754416238930322,0.04533069536732601,-0.012605200864199435,0.024651694350984462,0.0895427801895009,0.04098051783837282,0.08571468388796782,-0.028947927011975842,0.007553413913546362
NDP,0.02870286751722757,0.05521607540826991,-0.04002901299860485,-0.006448608870703195,0.09232814112765025,-0.03847497141857808,-0.044634611956775726,-0.05165304424530215,-0.003167643524701717,-0.03946902886237667,0.044684931151397315,0.034052418210161396,0.02038480093537317,-0.0045213644396062715,0.02480577819949171,-0.05584981796573605,0.010906084142727483
TNFSF18,-0.022645266118978616,-0.014968649168645981,,,-0.012024544850042888,0.07841661728874232,-0.017004423848440264,,,-0.016445799702250755,,,-0.016617880403929756,,-0.019400372479014136,0.020088552383570064,
IL36G,,,,,,,,,-0.01941856566776058,,,,,,,,
RTN4,0.01936327619999576,0.022704022455487426,0.03688445302665116,0.01418639091293714,0.005248174889629196,-0.04985701197731643,0.014117351357044151,-0.038731122932335604,-0.010423557359038287,0.024599315427778008,-0.02172645330607414,-0.006456338864376722,-0.08593566286535118,-0.02757934174178641,0.018340082431475623,-0.020944912983585768,0.001170267200896813
HEBP1,-0.018142175206970954,0.014041113970918126,-0.00418365737361593,-0.01188584636498389,0.046796264906153975,0.039441715189007784,-0.005956216527262152,-0.0061388575572950835,-0.010113404285011564,-0.020391962501764022,-0.020162964296680765,0.023262096099484018,0.07533842237021042,-0.035994705904271486,0.02518686015346313,-0.02762185862498135,0.09847526630533021
WNT7B,-0.019949770181362,0.008367318413621705,-0.034610860512891944,-0.0026493608930716504,-0.04336343426757506,-0.0077397188215897585,-0.048741598059462245,,-0.02134324149155243,,0.020675435159679525,0.03575516099659629,-0.018534430023707655,-0.025623807908496544,0.14836753942277592,0.04643237514504386,0.049372811240405504
PTMA,-0.006075367253523339,0.017702934581625526,-0.018442450405072947,-0.01780816887538719,0.035201128063877735,-0.003959254240281749,-0.03651091313413201,0.008422893824501421,0.03855624956290176,-0.0010287896194503012,-0.060666213752141124,-0.006756743559793481,-0.08607741732495644,-0.00991713426263166,0.009329408149168784,0.0010511470372078968,-0.03637130823558787
FASLG,-0.019949775821110925,,,,,,,,,,,,,,-0.020435876558364815,,
CEACAM1,-0.027700438321810364,-0.01733250514458667,0.01970780907059395,0.034501997213564756,,0.1748081944454623,-0.026743907681049124,,,-0.03721342713242966,-0.02646465906966194,0.06734049114094842,-0.0238781592102507,0.09103244657518315,-0.028433520747034594,,
PDAP1,0.015014232425647811,0.047786353271753984,0.02045627297646365,-0.01883018153085951,-0.0060501320384387805,0.0188431521060011,-0.011692767432460975,0.05043616318754891,0.03365514703792002,0.09653183917072322,-0.022271173625729227,-0.05691879025271076,0.04873364569656503,0.02033537829868139,-0.09014957584901669,0.04382518677696798,0.06006174236531245
QDPR,-0.05890760847773353,-0.012334709283723204,-0.03572494867017519,0.03392554196748767,-0.013447983983923705,-0.0005737890976709655,0.001961184078442894,0.03555265066601545,0.018522598836395076,0.02958753317284273,-0.03539274007383469,0.0475537744656629,-0.10654588754922907,0.025576884630162434,-0.022645567337020518,-0.0981003958097221,-0.01008367545244285
POMC,-0.019497599327689852,0.011381625299838789,0.06124981290328025,0.03566956026283989,-0.008114431165681396,0.008487648550688339,-0.005888538420162029,-0.02477552343473536,-0.03258537282825813,-0.04527932921657201,0.025583713516251633,0.06916505783134066,-0.002943851101147013,-0.0010891021261571982,-0.020794993295207388,-0.05320893298805794,0.03410999492954603
CCL18,,0.04229254654800143,,,,,,0.018735996698343145,,,-0.01876387840112489,0.06103551199955572,,0.0036564238234686073,,,
CCL17,,,-0.02957965337402691,,,,0.005422925825847606,,0.05813566573815111,,,-0.014246138465690662,-0.021245118179734436,,-0.01852282675029033,,
VEGFD,,0.08878795273289593,0.017798881065261982,-0.01393218007897181,,-0.029407132625031612,-0.022595146097444823,0.09059433519035222,-0.01901187625002254,-0.012427891456155029,,,0.0006350741838195997,,,,
TNFSF13,,-0.01632219075818291,-0.02570703245842624,,-0.011661300042983538,,,,,,,0.004711720414560487,0.06799982165228427,-0.019097602087489056,-0.016143846979375594,-0.033622207047758,
WNT5A,0.005638577721323328,0.03836116563293245,0.05347747006805396,0.02635756716297346,-0.03539770457507285,0.033750322868114274,-0.06598426074523638,-0.06378726488391542,0.04625160139223369,-0.057757723253175075,0.0931772760374253,0.023130416103066948,0.00297364750258364,-0.02773867897198854,0.009135456974014623,-0.009383591453607192,0.1686197791805887
CXCL8,,-0.0019397091546717448,0.02969869375683495,0.015102788088511997,0.027092207701974843,0.03428765002626409,0.006002252105112332,-0.004115991746945029,0.022642771159667386,-0.01503527687720458,0.11812380068463893,-0.02980363235241775,-0.030163436706264025,0.017807151719440948,0.006713692410617026,-0.024652668890495187,-0.08094674701300736
GRN,-0.0024165955873418454,-0.029698592535774896,-0.036919299910944656,-0.037556010522892584,0.026628140969549064,0.08342739301050887,-0.007190527276378416,-0.06712754907764204,0.03857755878117871,0.09178564091755592,-0.06264616803263114,-0.008205715348014956,0.12604397456643876,0.02707710786689573,0.03667880040010058,-0.057117671825950546,0.09944979612131216
MIA,-0.026112535838710302,-0.010684346588848407,-0.02685711607308015,-0.004807027888705804,-0.02108587949018119,0.08536466141135321,0.004833852832409729,,-0.013063008468327364,0.09474244916724076,-0.036061816347948895,0.11369573114115679,0.0854449771261524,0.0026938031467517113,0.04804049137385158,-0.051953623711407645,
COL4A4,-0.023104271268081938,0.02571121139638772,0.008310692154735958,-0.022069085730887582,-0.011095211789813516,-0.01729785457373335,-0.022141627737376893,,-0.025257472691353464,-0.039613623048143774,0.03767163349321877,0.047435183353932264,-0.0327263872062025,-0.03427476948392883,-0.04519372932616893,-0.03757790737808189,
