,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.021598126134589488,,,,,,,,,,-0.01777122609461249,,0.05336503026230774,
BMP1,0.003221715571838817,0.004501861010419183,0.043000512510735465,-0.04807781335847357,0.007314564904788786,-0.02227557494570349,0.04545302413570401,0.28733787018332785,0.045965295521363275,0.01680603493583947,0.08079506074713083,0.08512730014139805,0.04895433913977522,0.10330563278247985,0.09748563714896973,0.07365729909984471,0.01783281493036905,0.017885836468057643,0.0857249854321988,0.10178569479034744,0.19540920454268706
NDP,0.06403927316664479,0.10912168922493273,0.03965720461901102,0.028734593887240655,0.04216286025400077,0.02763162789829296,0.01046164739477272,0.042626066311469514,-0.013654020418468424,0.07835651457387384,0.07054647967896137,0.0844541274782376,0.0501955050070692,-0.022851863812509254,-0.0367156445809979,0.057572881799983516,0.048369793245562016,0.039348174667211314,-0.0618910123369127,0.10677315215276138,0.03807976546444171
TNFSF18,0.10146086026522032,-0.04927677446182364,-0.01328203462932529,0.010592373964461011,,,,0.04574206381781179,-0.04270364998793237,,,,0.0618481500847192,,0.011282337760994708,,,-0.018327151790812388,,0.07400332149448005,0.07719755625420976
IL36G,,,,,,,,,,,,-0.0024059951420873234,,,,,,,,,
RTN4,0.017751786626439406,-0.10506549748503681,0.05885579435204624,-0.03707501980913666,-0.009054730886018138,-0.006631690526416614,-0.012399081945773618,-0.3032062925502173,-0.0039958093450857355,-0.037111153748694205,0.020591495697442907,-0.0546778871422538,-0.07956999207073023,-0.00924369565807773,0.06725233870386561,-0.056159113194815695,-0.08710830832432295,0.0017549021637271543,0.032628359245439574,0.0050047501516210695,-0.2455689583575685
HEBP1,0.04938827363075617,0.06311625326176913,0.05921540143593095,0.04629474082961592,0.0027642676457622284,-0.007227896690183191,-0.013576826763139399,0.17591792673740253,0.02460381859844138,0.032458789814728106,0.03709703992508323,0.021212069817334003,0.04170099816629463,-0.0019599871275335808,-0.030920641632650892,0.009882755972408506,0.04855604690017105,-0.05149100648452979,-0.023529280020740416,0.11645646742402424,0.09580675297503756
WNT7B,0.03351195419608449,-0.0056011746924248896,-0.011475297437280683,0.015919475843252588,0.012854430408589041,0.020149050682040925,-0.053646409557019555,-0.12423337639656881,0.04685095576407064,0.015437892610137515,-0.007396247843685384,-0.030065096631895848,0.04428357585471442,-0.06884287493574467,,0.010902406807023904,0.005386790881339884,0.07399284270384116,0.010984455697306493,0.04900996108207891,0.02373027074053046
PTMA,0.11435588015961187,-0.03769258359536017,-0.021531970614293287,0.017511995032434797,0.10396815041229536,-0.010734113688381083,0.0021873302795872122,-0.15633579412263413,-0.027834934320053052,0.024199070072818962,0.11715520820969767,0.07412650655680575,0.01643328534124128,-0.12964294793467745,-0.002123443139980325,-0.0991915236093591,-0.03803160028064014,-0.0016396572808034054,-0.03916022001844095,-0.04417243671341938,0.05547033474816668
FASLG,-0.000558253267270642,,,,,,,,,,,,,,,,,,,0.0756789490862669,
CEACAM1,0.04690734180629674,,0.02574434838869591,-0.022131972251818857,,0.054004301931391024,-0.01620797252535521,0.061445202948583195,0.03135486761697894,,,,,0.0586261400779387,0.031923368928291576,-0.04207197390501659,-0.02800828522006923,-0.02633420374285293,-0.028477123978145946,0.06210837124327406,
PDAP1,-0.002319668771748813,0.004281030848922639,-0.03094350252109578,-0.04749349878465915,0.07743262114339879,0.009750496140405213,-0.019406472057959586,0.26127555900157656,0.03224475377858061,0.02165399942711188,0.09918988948336652,0.03616162115371442,0.10359279348246284,0.016925746727671512,-0.03728755234049248,0.03625542767535803,-0.038387726019421524,-0.05526542101645023,0.04711702120913154,0.017204348669568364,0.02670032560589768
QDPR,0.0675727179210145,0.013506344603370364,-0.0781064894888384,-0.06925898311468487,0.06562745163522153,0.021642683956881847,-0.03263793283331008,-0.24494158986296863,0.012564123728630154,0.020034150226042786,0.05754032025323334,-0.009116499308852553,0.0029091845669013514,0.1767066328170611,-0.035709694360612984,0.026237736187978554,0.047250017926462426,-0.0463985909254052,-0.007556870083334614,0.06560969089569432,-0.16866312100747424
POMC,0.024833069276699038,-0.0011861452679967441,-0.005728373109831206,-0.005128978720643995,,-0.03175376613185754,-0.03261427345487684,0.022329216385154827,0.033499255578028894,0.009362828206398985,-0.0009517836198110463,-0.0023199789625079907,0.07796488508655172,0.05969109055946778,-0.10598999552487438,0.03191039165689877,0.10242533071597718,0.005424426554018415,-0.03750240545147709,0.03763844856943405,0.016942699507207882
CCL18,,-0.021781943213049344,0.01353365286915767,,,,,,,,0.08353334880767374,,,0.0007797792613269804,,0.11162963248362727,0.06303036778035244,,0.007795489845441153,,
CCL17,,,,,,0.02289377198750167,,,-0.011610680466780843,0.015519910496651893,,-0.024988571067461225,,,,0.006979598342343727,0.009669778729726495,-0.00134117071588995,,0.05523926952110166,
