,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,-0.012843350807970569,,,,,,,,,,-0.016190501120191898,
BMP1,-0.020506673328567364,0.026287292355492597,-0.021861612129484842,0.05879537636144525,-0.031140158870760756,0.12780325512273205,-0.09646416035751455,-0.005729689561114978,-0.009596226691340488,0.011588097709313329,0.004963314432791516,0.11263326180538337,0.07492940604009231,0.07310971860335978
NDP,0.015377911640587811,0.029134621667152645,-0.0653057146826967,-0.03019919199443712,0.009990402998645894,0.059932997009405874,-0.06090940178631783,0.06885333558501784,-0.056743477148121405,0.1245085372415511,0.015134740098028175,-0.00042412401949795003,-0.01795185487777213,0.006232099965977839
TNFSF18,-0.025538570745445643,-0.013800789922094249,-0.01907199038187931,-0.011390333432518104,,,,,,,,-0.028994791025274726,0.0032347853837664357,-0.03518295035244321
IL36G,,,,,,,-0.013552779292553054,,,,,,,
RTN4,0.004249089538500869,0.04372085846698459,0.03437816899523048,0.014047324368243935,-0.03285098733132777,-0.07981345169607273,0.1066885117220558,-0.0630399637903254,0.02417811734663139,-0.0941866474902878,0.07463508939069287,0.011088402676337747,-0.011588007869400828,0.044211239130310095
HEBP1,-0.012106059592135149,-0.01789954828937234,-0.02956594398349296,0.05299818176448429,0.03293585187477697,0.06835832566779873,-0.01671699541339621,0.041431222228650096,0.05907927359644229,0.06633937284091916,0.07385794050376707,0.04659174434304514,-0.032177495698957434,0.025479996325918863
WNT7B,-0.03779428339112235,0.06278638680951328,-0.026590003728783285,-0.015035366366600272,-0.01632889900689329,,0.008334193611893134,0.031068759803720564,0.08258182686326988,0.03540226630334631,-0.01865508809078789,0.038942308384080734,-0.00694213858778421,-0.006358500147189801
PTMA,-0.056149005010193764,-0.02220462779335585,-0.019775619967879875,-0.008079758171626622,-0.004460678333191146,0.07231977582656245,-0.12116658412175235,-0.05250034066240956,-0.03996361371742548,-0.03631593806896211,0.05484663576060355,0.033971086028301935,0.05667131752487935,0.012216211758313505
FASLG,,,,,,,,,,,,,0.01486974133443017,
CEACAM1,-0.016254600377143186,,-0.025097653083203567,0.013730355275278182,,,,0.015117512718243633,0.07297083261029821,0.03506508642586574,0.014903745904992528,,-0.01953740300370577,
PDAP1,0.039658407374381706,0.06765377277489455,0.009561123374495273,-0.035902488885498386,-0.01676452525354621,0.005307154088968704,-0.045077864595026225,-0.11134791507310791,-0.024680905075704664,-0.050818169499267915,0.0212551625783777,0.039972486916390534,-0.01881545871351803,-0.06459147588171495
QDPR,0.008604591622199998,0.007210289094491806,0.04568968988885189,-0.014628186229674725,-0.020580376310039814,0.08908312893330142,0.016343161502860366,0.050511015052467814,-0.013730439459232467,0.06998483959812106,0.004543139042302659,0.0055139440575622525,0.01648719348095349,0.057590990591030074
