,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,-0.0193812319524737,,,,,,-0.01571476918220451
BMP1,-0.01569356419582919,0.015928088667381452,0.0010158142353583848,-0.014143145710689144,0.047108728448103876,0.050320428248601806,-0.02572934699070764,0.04510650569535006,0.10288680594375801,0.05137062697464436,-0.009617603360435111,0.06012819323678942
NDP,-0.03373446565329569,0.001991588603485741,0.0488046348390128,0.04309930763005762,-0.04528690783453533,0.013066106362187059,-0.03923950590837156,-0.011861101558356386,0.11476104841583006,0.07239731193717602,0.005273210513831919,0.022338701799352958
TNFSF18,0.013643416637373878,-0.024921962379962255,,,,-0.028780547608896034,-0.01660447917933653,,0.05189992854473334,,,-0.010697320006376843
IL36G,,,,,,,,0.04519259165347676,,,,
RTN4,0.0082814727022872,0.03183485904151428,0.020421462370656222,0.02114730283278559,-0.05527573862737901,-0.08931958207498596,-0.048998707900587,-0.047802536272778896,0.03258620893854553,0.009855195228804304,-0.00493731693069715,-0.06487010662787873
HEBP1,0.01783331252754746,-0.026921700660462282,0.009539992546327432,-0.014880285224359465,-0.029849685545128846,-0.018160012347355245,0.01604807697497883,0.02907025064234727,0.024362792188207753,0.03733042863176554,-0.02957895411114813,0.03762225177751549
WNT7B,0.021784732532478167,-0.015480750480589375,0.009888527532776387,0.0038824449181451546,-0.016914842044579353,-0.039384396928936416,0.09193254716985516,-0.02227391412643953,,0.0414024457668963,-0.016433908374359048,-0.03354185015589719
PTMA,-0.0544239616310758,0.07381091756728254,-0.02379396142881396,0.018954788881012583,-0.014490783203124502,-0.009848816021587705,-0.048935978867757086,0.03453448219515032,-0.053674272947119205,-0.062011489393042143,-0.00881220864911152,0.014013512700319048
FASLG,,,,,,,,,,,,-0.013629413950554996
CEACAM1,-0.01969250232422067,-0.011880544889408462,,-0.013383498895661554,-0.018932381832967762,0.024952237944305514,-0.02611488999698221,,-0.028749525696459357,-0.02673303675357549,0.0406662697807474,0.025915733368450905
