,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,0.05320352737749085,,,,,,,,,,-0.01821903193969421,,
BMP1,-0.0057519822951172805,0.0786549466901593,0.038786106672944215,-0.002814931076427103,0.05203108494752366,0.05579243244368459,0.20529313565036672,0.06850773282920056,-0.03664989044370311,0.01819976182606644,-0.03729650246979311,0.03516034523314647,-0.0006312683283696194,0.07963632351376548,0.013813056191180284,-0.050838749561271816,0.04565154686590425,-0.04858626570041083,0.09048650077573356
NDP,-0.02173570486608247,0.10617644166565546,-0.015537176726613694,-0.00205745077874119,-0.041218783766973875,-0.027682576336655888,0.04313801707304675,-0.05832132710532598,0.0031670809103111737,-0.055077340856483754,0.09729367647448939,-0.03497988738494081,0.09306272211953143,0.04811353639101873,-0.004128094255333295,0.03721698247686085,0.026602622774549448,0.08598117003373328,0.020434515722388486
TNFSF18,-0.014339293403864426,0.06907123972424481,-0.0166692076567977,,,0.039014871462058204,-0.015324501319084798,-0.011565744459530115,,,-0.010990072363459462,,-0.08989461921184239,,,,-0.018788966054607826,,-0.031747225508454775
RTN4,-0.0350930021099539,-0.14291886511311513,-0.013004144742483145,-6.29907057617861e-05,-0.00740197853010084,-0.0763075018725046,-0.2159822796834295,-0.08258440606936145,0.036907778856536046,0.1272372302525966,-0.029057587266606906,0.21651518504288197,0.015939297576264874,-0.05229110177716933,0.044333565418477286,-0.004248716671744329,-0.04604635393648679,0.10764639411245257,-0.04735158376581055
HEBP1,0.049931854210068856,-0.015494778141060329,0.054890563819615816,-0.053281955411432394,0.07443803401017365,0.016898103909691032,0.0961879643753192,0.023348096597467293,-0.0015909919415704056,0.07743827611850275,0.09426371505678781,-0.07790520649633013,-0.010958454392780906,-0.038988449974136904,0.11915908926315111,-0.032846882870906126,-0.05852354261834046,0.02245316485907816,0.06433208319791987
WNT7B,-0.034664402858829345,-0.08991276344824338,0.030413169350046496,-0.00048372746514965223,-0.04880096556544918,-0.0038886667914808724,-0.057316586293832565,0.08438890876993073,0.07642075430672889,-0.0019436814585952384,0.025286828969249116,0.01199682103792828,,0.04138878244078654,-0.059829702329364014,0.08040974226003046,-0.03928924800798818,0.00427453034997435,-0.028391128555954454
PTMA,-0.08266242132844046,-0.1293153396421557,0.012756228546031749,-0.01588202466765661,0.08777602959348649,0.1304111559795659,-0.12982385497001692,0.0009187345848202372,-0.005902401928324719,0.11165743516690037,-0.004078803230737316,-0.16039837296519016,-0.10252607372554265,-0.05081744442435173,-0.02645673287394339,0.0049381433687290775,-0.07950641960304512,0.028491190692570282,-0.04141692647397409
FASLG,-0.03466441265836724,,,,,,,,,,,,,,,,,,
CEACAM1,-0.003970664988513117,,0.004475063100778356,0.0157146779260768,-0.037081256028756074,,0.038635511715122195,0.005930741941101081,,,,0.06757051703802106,-0.04883585374968028,0.012492471236697217,0.020956983595146222,0.01319445163199531,-0.026997782625865257,-0.03582898732760666,
PDAP1,0.06325183980089859,0.06657023921331681,0.056638404730221616,-0.003433811776879582,0.04174010177624625,0.009181288776238658,0.19278552203219496,-0.06061737115521896,0.018760189382411287,-0.02679491147411352,0.023078185141415773,-0.023064138318609383,-0.07531876195330081,0.09873495155218287,0.005987646882369458,-0.039564408856433184,0.01722054971465253,0.057912105601955366,0.0051095795306885464
QDPR,-0.11872867353123699,-0.007077168913388258,-0.006255449514988307,-0.045020050636827916,-0.07764490572082101,-0.047283395530682455,-0.18666678418552435,-0.06375940421344053,-0.040300497767679945,0.08364985210205753,-0.0036619912193447,0.020051411600714424,0.013779529230176526,-0.09201843455533387,0.07722390538664071,0.0673803567050847,-0.10973616647005074,-0.0032469907317371274,0.0021175357983337956
POMC,-0.009804312473935222,0.032910267187348984,0.006485218684007802,-0.026829558097471017,-0.011340652095226106,-0.026776271767510143,0.01178912030221071,0.09371711367152429,-0.020809688121246634,0.061312905395862885,0.05561038211442597,0.0671907741244516,0.007253101577267245,-0.001630110105079828,0.0728663090522055,0.05672489184672978,-0.007046138806214647,0.03667612230174481,-0.028797785228558727
CCL18,,-0.051662311270181456,-0.012673964728044744,,,,,,,0.08202999234424718,,-0.0749266846433626,,-0.02297413105114541,-0.017587751510177448,-0.0045622746091101085,,-0.0408820014953039,
CCL17,,,,-0.01669895422805289,,,,-0.02001557904312214,-0.004783690206944675,,,,,,0.0692320471420772,-0.004741463485482252,0.06409656924915723,,
VEGFD,,-0.05820832469555992,-0.024189206815942346,0.060609735432746004,-0.04109507068400702,,0.05178970849885028,-0.008320453137087767,0.12840549502035722,-0.02093343019413215,,-0.03566183831053431,0.0570682014744886,,,0.06341101362272672,0.052304238793196005,,
TNFSF13,,,-0.048276043301403754,-0.011518564892879495,,-0.013544733028302345,,,,,,,,,0.022099985878109348,0.041659001891650865,0.013918604888503177,-0.02191908838030796,0.09700853082403499
