,MGH258,UKF251,UKF255,UKF259,UKF260,UKF269,UKF296,UKF313,UKF334,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,0.0813967035630848,,,,,,-0.01991773189255939,,-0.032841789490652314
BMP1,0.11336451614306765,0.057675073678079676,-0.0007322543460823077,-0.033135245681955,-0.054789898632905995,0.09088399017316762,-0.006827103903024683,0.06732070354167594,-0.021160893242113572,0.06779264399133539,-0.017598676831450694,0.09626254481222166,-0.0017264217131337813,0.09460462394511698
NDP,-0.014957458400446313,-0.019930199425465946,0.022714852214108443,0.05630828703147163,0.026971660147258453,-0.04303790502986389,-0.011021765297901423,0.08557723945789711,0.03640503989126338,-0.032592976017290366,0.047405880314652794,0.05929951092862859,0.05899575630885558,0.09257471808013017
TNFSF18,0.04330589008609082,-0.016035465895017913,,,,0.09521380065329099,,,,,,0.0777661338712124,,0.07163092148471101
IL36G,,,,,,,,,0.06327764412659713,,,,,
RTN4,-0.0332585619094265,-0.04944818140493311,-0.019254361946729057,-0.010648801024792312,0.014564102139438442,-0.12293843672069646,-0.044431869523382905,-0.05066865954841601,-0.015585058628248221,-0.05619119173874423,-0.01909162716827801,-0.08983890488353935,0.050098480917822964,-0.06946030301065667
HEBP1,-0.026658370745462182,0.02547431772292481,-0.04045912792212462,-0.013145211689887342,0.02641072786543034,0.06980299431581644,0.012318989680204817,-0.000538635414082437,0.03297840631161651,-0.03653488538805004,0.0004915830761453708,0.03127471005237758,0.04108279792565165,0.09073327014235663
WNT7B,0.018600951800333453,0.011091248002356321,0.10144381804036774,0.02176932469400504,0.03212729635458981,-0.015947251570548944,-0.011246855396774986,0.013467892450634284,0.05168779129272686,-0.03139837175171816,-0.030376919613856117,-0.018087205495871263,0.038035492649004965,0.028444578346240777
PTMA,0.055664189792370776,-0.0625801733343378,0.06136048783487426,-0.036243695068065594,0.026157198006342912,0.001319426660807387,-0.001729120055415619,0.07490180861663055,0.03723516259853583,-0.10968165388880786,0.014886320252267727,-0.044479873957301866,0.06364942017162406,-0.05235847009271527
FASLG,-0.005240532136538091,,,,,,,,,,,,,-0.015786418595997758
CEACAM1,0.08155586403383694,0.0024849898929392164,,-0.01239312056093722,-0.022809680420792264,0.05866965438910563,,,,-0.028158562705595063,-0.014716203317539792,0.020762408417424414,-0.010976415427840676,0.0781236986951115
PDAP1,0.1016817687908858,-0.02290595327502413,0.05390457132987165,-0.037571212473962695,0.02587231384351244,0.07336865045047714,0.012545678203988846,0.1284032125813006,0.008360002395973329,0.052462828444672226,-0.010511944390391556,0.013296691877172395,0.06417320220143281,-0.005645095829309053
QDPR,-0.05094388248677871,0.0068160389647562054,-0.06319437674715532,-0.028444456188923342,0.017120998235557155,-0.1199992870593362,0.09799127705294264,0.005519080282610892,-0.07432275281746781,-0.15263059997351497,0.014376122866824954,-0.093229415252574,-0.050733022006489374,0.02485594697582468
