,MGH258,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,-0.030837038543584484,,,0.01929673315015861,,
BMP1,-0.05935868634566257,-0.005362901214928741,0.0482047298091427,0.01952088641698862,0.011002289081889355,-0.024477449962996767,0.020783130954235438,0.03117264874130354,0.042785833816790034,0.091860543601715,0.028502351607572085,-0.009903883133990148,0.049284958257684364,-0.014011619439060428,0.06178376907123676,0.01380815796067666,0.1803644286476959,0.028408010463213795,0.08978250760500328,0.1430329379650531
NDP,0.03407895072297481,0.035305454449048694,0.03140560791651392,-0.02686529504994839,0.06638236307387711,-0.01718147134511467,0.027283198129112396,0.01562931657537305,0.05080188612293223,0.0895462212897988,0.004840761596047681,0.03323807957758834,-0.01000732261528115,0.05317902547174707,0.02156859559541168,-0.014440809231828418,0.018072724651003753,0.11551110203534644,0.07758336572587682,0.08937574473443055
TNFSF18,0.01999869358636814,0.003981698240977644,0.05700117012219414,,,-0.010647509681371023,,,0.019513686160111808,,-0.06829656813712146,,,,-0.03180169354430401,,-0.03314018299682983,-0.0009327634485382823,-0.023537911030333723,
IL36G,,,,,,,,0.046526624131593405,,,,,,,,,,,,
RTN4,-0.03694006144933172,0.03926065844438703,0.034036937291219295,-0.01719989348660779,0.05634744714058411,0.02358496569118198,0.042112401824653825,-0.055110488170536834,-0.04038688482068109,-0.1377734516666258,-0.011774717726029296,0.03445088610947797,-0.017488571439684398,-0.01737865043621269,-0.08758875619434046,0.0375797259639746,-0.039838238512214116,-0.06913600817566228,-0.07964016860202322,0.032806323915938775
HEBP1,0.019818477127999144,0.06790748367121324,-0.026375243175025955,-0.020839115587970716,-0.029138251835793577,0.038665688004078935,-0.03184390056762397,0.004177562276428362,0.03674776120385719,0.1146862838679049,-0.021655550558165475,-0.06502795541025382,-0.029322301114422716,0.029050043017945212,0.012311789035372752,0.010820241358665614,-0.021827625983862464,0.13223562924044338,0.044782832608004336,0.012216064966200391
WNT7B,-0.02950066575196337,-0.03821337387500768,-0.027240599789878247,-0.022266593463003387,0.08908186858255805,-0.030520095349847606,0.09001172909419881,-0.02242562002620836,-0.0019727876275430897,0.009845904444029779,,0.02086015397739899,-0.016312716110055612,0.01950801001726855,-0.04336097684634557,0.01651286716866617,-0.03314014863294955,-0.0015385742417027752,0.06018116538174975,-0.041926312518523405
PTMA,0.04327499453822015,0.02861828363910666,-0.011332419822909544,-0.005088629216238728,-0.06494708797175917,-0.03457295129306612,0.024180669052873822,-0.005164958299049758,0.0555347937226202,0.05895317950396305,0.01995065903124864,-0.0045419215001674985,-0.10286578079219338,-0.05813571073553097,0.04587940139646391,-0.01771285754423969,0.05569310717597102,-0.10982786198529225,0.016145283891114637,0.0650795177846235
FASLG,-0.008262502082831115,,,,,,,,,,,,,,,,,-0.02606362528341112,,
