,UKF259,UKF269,UKF275,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,0.007584129426293469,,,,,,-0.01660307221009506,,0.06754117258373804,
BMP1,-0.014199263933629299,0.10354273126768099,0.020518438629717358,-0.02155369394954901,-0.06515623463080868,-0.02504394738702898,0.018015744752247553,0.003646963913212396,-0.016106061164505203,0.15631308340303302,0.09012919350751925
NDP,0.017532099851378335,0.02503671912966317,-0.043334951048557016,-0.01671959058128049,-0.039210527272236284,-0.007555606629226503,0.034242173111201764,0.019815283372419994,-0.02618772923604715,-0.0038454012775591896,-0.06402508351979026
TNFSF18,,0.0871937411845243,-0.01619555093430686,,-0.03219185598220108,,,-0.017122455308836482,,0.03730612341517267,-0.035934948716654
RTN4,-0.012631833988234722,-0.12209127968114217,0.011576484116762783,-0.034931995710824004,-0.057491530219271586,0.016937071104582577,-0.012697574011561862,0.03881691447171973,0.024532525613852888,-0.055368251007028225,0.044556989514324984
HEBP1,0.038688818461666157,0.07588085934432595,-0.004436822635257113,0.05387555658784361,0.03321009946255958,0.0349834871301198,-0.03150357046298612,0.03029994646696367,-0.003908675177125024,0.02117199394227241,0.032605693446650846
WNT7B,-0.022088080988344146,-0.038697402933067,0.017240897902225168,0.033313736233426816,0.04922990761325661,-0.013375068684484688,-0.03771680247251686,0.10273074641326956,0.03276892177040308,-0.02464825368733374,-0.004331101101874429
PTMA,-0.026814972988601048,-0.12368049501141537,-0.009567934727377011,0.002178226039519254,-0.05885447479646563,-0.004563101410102958,-0.04005372439559861,0.023630566707656012,0.08170903389593541,0.06522436564823347,0.04290518035770635
FASLG,,,,,,,,,,0.07312094049298418,
CEACAM1,0.034597332119946325,-0.031925911079147884,-0.014271138911971432,,,0.00048665672009682236,0.027995482869723264,0.05674895813557729,0.018320078559985485,0.021378915698953574,
PDAP1,-0.012133783619571773,0.06911900352830197,0.02397233807519382,-0.047554859131420206,-0.04025460842473786,0.04662856305332951,0.019636111356356994,-0.08297639058459443,-0.012163609388961681,0.005581794260748458,0.045503408898889305
QDPR,0.05583979513599352,-0.04947180387987953,0.03863957637023958,0.01672033558932584,0.0298005201489618,0.03188586808187917,-0.03784851070619265,0.009530066743406278,-0.03573948538129361,-0.0009125423527871115,-0.0667069923759833
POMC,0.0014534705191830597,-0.0308334018850937,-0.01879203659016989,-0.022929636008770658,-0.040613709677958805,0.08509167166926286,0.03762228116871664,0.02467150022685309,-0.032829037354877494,0.014298910794333194,0.029591854457036364
CCL18,,,,0.035230816395199864,,-0.015472989222113149,-0.025141945850520382,,-0.016117192258556564,,
CCL17,0.06337906064357733,,-0.02019900519199446,,,-0.014954091814453245,-0.010572013495114637,0.07166231020558292,,0.10304382000256036,
VEGFD,0.01857759500556316,0.02971136469488034,-0.021520331576705465,0.1821824468380958,,,-0.0182720348451614,-0.0017340714310585099,,,
TNFSF13,-0.010197152144401426,,,,,-0.028694656052885185,0.029329728728079745,0.060235639502245086,-0.02253531114278362,-0.01603900493703089,0.08921085965689879
WNT5A,0.011457030660403362,0.0516411572465728,-0.03529082774387254,0.009494013673278246,0.07447110329312857,-0.06761702957913013,0.0336795960942169,-0.04321918426164504,0.02876739822933429,0.0748683636131463,0.04765965552985765
CXCL8,0.0009323426790517867,0.09188137806472764,-0.02410499914652148,0.1169332860348839,,0.006574300113394922,-0.050322598472373116,0.034476217582212254,-0.070933842865715,-0.013393867609469898,0.035281060341156606
GRN,-0.0027644955200239836,0.08198059299515524,-0.02832200702069675,0.015432142892794804,0.054022291064215466,-0.0030279311053853964,-0.027415791177745046,-0.005172837457987915,-0.04325338888838153,0.1391718707449121,0.06492474174492631
MIA,-0.03112855624527908,0.017981356047621504,0.03416558131278357,0.05317455321497798,0.04179886352878348,0.017191306842235788,-0.025306376191187425,-0.019893409599655732,-0.0144499897873968,-0.04538721683551738,0.041141913725036526
COL4A4,0.06391956585736856,0.1503489414268465,0.005578595416792266,,,-0.039512940198730494,-0.029256384782604127,0.09773955476615731,-0.04044448047085032,0.044045721741490095,0.06273680768339411
TAC1,-0.025952931212728247,-0.07938819228168417,0.006496645205033031,,,,,,0.007640776958492797,-0.030964555466043923,0.060120386857689306
RARRES2,0.01653283239336406,0.1227754944889857,-0.033116952378594265,0.011821775580802281,0.05287937669813725,0.0005127508623478154,0.0011054860867540112,-0.021067345346105215,-0.009833913557046823,-0.002077610213930555,-0.0726134972796122
FGF7,-0.003108806997316691,0.0616694963112114,0.0038353499631047904,0.025989504518222697,0.06674884942981354,-0.058979874032150686,0.068900855510334,0.08517893896297025,0.06172607799045804,-0.02882885463729828,0.029157812976864223
EFNA2,,,,,,,-0.017366346299527775,,,,
HBEGF,-0.009561483485381751,0.07521129026381375,0.011406628508631557,-0.019397938129182467,0.07433399937018276,0.038235832642531435,-0.04031284331044913,0.015606105146990224,-0.03617532664373698,0.0208561438724123,0.06449744658883817
CSF3,-0.01762034008453819,-0.017032963558546433,,0.009019541346179293,,-0.027435243257897073,0.012844000075040855,,-0.028770592248130843,0.043772620072633994,-0.023004787294677052
PI3,0.03078562743943252,-0.019179341777708605,,,,0.05353138170532881,-0.0024390984621620758,-0.018599288001174025,-0.08822241383721686,-0.0538801418623543,0.0020270535851329447
PCSK1N,-0.030615962781029116,-0.01593686747102706,0.014595609558031483,0.008819393140814981,0.050721667728928166,-0.08570868140120487,0.014031195618638848,0.008733488893236717,-0.024995339609587226,-0.01864756731072352,0.06064253249654782
NTS,,-0.02093556113188654,-0.012537632918228583,,,-0.03488633953953108,0.017238744635248045,,0.03320518790960095,0.021689709162823676,
SFRP1,-0.012898953449747848,0.024980500148938326,-0.03233687468190507,-0.013176742585187941,-0.012950295022270505,-0.04610784802004262,0.033183586542688874,0.008520891695683291,0.026831338829007272,0.09892507790804232,-0.004509149426912544
CXCL13,,,,-0.009196364604178374,,0.07014014331147381,-0.044619094268739154,,0.018810772650492597,,-0.037278416051394106
MICA,0.005024978248687692,0.05697890596006853,-0.06131921180860974,5.056466759360209e-05,0.0025446614751614195,0.04990079899412947,0.057429757939088624,0.0006918571333533682,-0.045557069875359825,0.07851197699251751,0.06792430757728272
TG,-0.013920014408210385,-0.02055726311040141,0.036198606819738535,-0.006444500784950602,0.049307300511466694,0.07062471210253574,0.051797781894434305,,0.038052713983968714,0.04749780995800361,0.03559119983996869
ADA,-0.03633236811651914,0.08419613430226194,0.006967481300939534,0.02121292895766704,0.01542698437259514,0.05115296588040092,0.04603659166865044,0.033779976889353955,0.044427656909227696,0.16290718005426924,-0.031451109976946036
LAMC3,0.03676292260183373,0.053631737965078585,-0.01222946708098321,-0.019599216552909873,0.032974933082945995,-0.025858695407533244,0.001451974983960895,0.061156414681951904,0.048674984764830995,0.10095737170249516,0.12275606563399959
CCL7,-0.010064148176721148,,,,,-0.02241273670240281,,,,-0.025987022162280334,0.03151634975597092
NGF,-0.02305953397700138,,,-0.04859370489224254,,-0.025884916616038145,-0.017132913388373226,,0.007428313848043924,0.12296400617973438,0.017771950856431386
TNFSF15,-0.011206921225960923,,,-0.014821545729004135,0.0413552755744551,-0.021849901551572223,,,-0.017866043855964173,0.08155850661395582,-0.018114539015519977
HMGB1,-0.007557938147783018,0.02260457312181677,0.034535819838978056,-0.020270510829970355,-0.0952039677356325,0.07426034521727153,-0.0010927979893354302,0.021588059904780802,0.011705689979626137,-0.10987170100183298,0.030168505454872124
ITGB3BP,-0.021319522921940007,0.009641299340653688,-0.03869863570196234,0.04639756834077083,0.09079439245222859,-0.017295086561944315,0.055471366049948095,-0.0036639492089861284,0.05955999848367669,-0.00010203518241393286,-0.05191706928002848
AANAT,-0.010197153232724064,-0.015364194074515692,-0.01830063410789512,,,0.023707661371099618,-0.02337039852008608,-0.008295677673646647,,0.03242982533739745,-0.028062075221953045
RELN,0.03188389085821065,-0.04508336608487164,-0.02522257614574795,,,,,-0.0037052846385953664,0.04705319817183385,,0.09233446624939623
IL15,-0.03539401546838088,0.06478208013136591,-0.013944025799524317,-0.000851771516784218,0.03095352077256505,0.018745110249931023,0.027684921854639288,-0.001529254713923601,0.03447796360078902,0.06727838817364391,0.036537954621957205
UTS2,,0.07805068836247483,,,0.04369451310093479,-0.016743882526949357,,,,,
BSG,-0.02805524542374523,0.01193268133176659,-0.04080314633225169,0.017068464895497248,0.0443509121588586,-0.039337611960985515,-0.04514840317906699,-0.0328940268187801,0.04665678503901944,0.04600940488666549,0.05648822623576475
ADAMTS3,-0.05000825702205969,0.10157071608370277,0.02050737455529853,0.054315380770791705,0.06502117769813796,-0.05916305939110066,0.04449199979986409,-0.041954749656853474,0.03136163237348479,0.005988525517103685,0.014591355303762994
CD34,-0.013473463211852481,0.0555501483574831,0.033598062501320976,-0.0012654207147708416,0.05544116951085181,0.02215087151906372,0.03170948264916361,0.06536080391119396,0.04221222359761981,0.08466054261956307,-0.035573573463151195
CCL23,,-0.01748201395151619,,,-0.03588264324930851,,,,,,
PLAT,0.04871706382246986,0.0817243133374955,0.037849288236774685,0.0039002561063182914,-0.05778715937038744,0.0006933197976805638,0.02141178557689538,-0.006078681095115102,0.010797287710538119,0.056594427023215425,0.0915428446584983
NTF3,,,,-0.019215405344682253,,-0.0467789316586296,0.0075712848471951606,,0.04225854645922556,,
LTA,-0.012898952846314532,,-0.017625417870251764,,,,,,,0.03254677409224695,
CKLF,0.012239038330075096,0.07620181148997204,-0.03428588893335243,0.006339438068320842,0.0798995018950303,0.03134960287438305,0.03510130066948465,0.004376672910284429,0.025008159039625128,-0.016383299269461776,0.021534127983308327
APELA,,,,0.076440029096503,,,,,,,
CD24,0.013456696076003914,0.0001549009513251796,-0.021728461593256795,-0.014431421170755814,0.030680797079383527,-0.06504642466059006,0.042962128959638725,-0.023070260628213785,-0.01039455872116282,-0.03099435483857619,0.012989682320548411
HSP90AA1,0.03436513825526798,-0.12496191223830572,-0.014839308821271647,-0.024750856866737347,-0.025359714464268584,0.0017668078707813784,-0.04681087041124095,-0.09557324120649986,-0.037731586343667085,-0.14524075084694904,0.05187205145205157
BMP4,-0.030094805445762544,0.0032942600866364582,0.0359804408096558,-0.017402372945403987,0.08019409341383618,0.01989048933897466,0.06206465980119414,-0.047890418707062385,0.009787985108914111,0.059524415820534304,0.020694405174005573
SCGB3A1,,,,0.033019478485660746,-0.010480088585388517,0.03140044828201161,0.00398635444535347,,0.05535900751897733,0.0954020908126556,0.025260763437997786
IGFBP4,-0.057430642141671824,0.0770496102478583,0.027537047733297928,0.025583891847350475,-0.06140954615457426,0.015091989600641294,0.018358885897752072,0.08352835814678031,-0.008720526150512426,0.15358520509188142,0.08900917131657558
RSPO4,0.08357612985831876,,-0.02049943399123094,,,,,,-0.02498670932322155,0.050152892918084155,-0.006632115952028899
LEFTY2,0.06089417656394719,0.03658579979166164,-0.02571416139610733,-0.016758571472049795,-0.004079232585559485,-0.01902587541833718,-0.019968178082431655,-0.03292537765474257,-0.03398027391142515,0.06569126371084659,0.06744955340484231
PF4,-0.0087807710086474,,,,,,0.03490065245584478,,,0.007770837100080441,0.04975851616392568
ANGPTL2,0.018541972267258025,0.04987763058840355,0.006223019725092279,-0.0003454871438081286,0.010869283201165364,-0.038212937966008255,0.059861647014466654,-0.005460497746479482,0.04271014179661649,0.06823208600359189,0.06723213580776338
LRIG2,-0.03434481820303969,0.07852805122688936,0.04938097947854799,0.07453477605271766,-0.03391892570892359,0.02684519558869448,0.009066980468290312,0.020864672229852978,0.0038474301912491526,0.07877929705778301,0.0402214037659087
ICOSLG,-0.038347097785422064,0.08204701914600865,0.06846233776915445,0.039278046807182394,0.012651141064594041,-0.02068584699937658,0.06575200934791699,-0.0049239070276658825,0.011491015443584803,0.07158382583991622,0.01178205454186405
WIF1,,-0.08088522542438036,-0.015818927667946476,,,,,,0.010349238190744268,,-0.01129874924269678
NPPC,-0.013621141228963605,-0.04136748456064824,-0.030857701625430646,,0.06517806612116316,-0.03345817412618449,-0.016581805002470463,-0.025688617229723355,-0.012211741925549526,,0.03740846610484509
LYZ,0.014672084977213905,0.11590532370205929,-0.03304501196236887,0.01985687490576288,0.061317230782012226,0.0144864140126991,-0.047742164351155206,0.03367028611115729,-0.006765175465052713,0.09082874956906077,0.013459273862366177
EREG,,,,-0.01959653366437908,,0.006724558846328169,-0.03487391964514424,,-0.0311213677397527,-0.05588550726132642,-0.031913013104280276
SPTAN1,-0.019120205770232285,-0.010694080236302247,0.02771659423663667,-0.02246889862386384,-0.0862138915883037,-0.08044693085351312,0.057409515506948346,-0.025067361699553117,0.01990607403961493,-0.048950261956203805,-0.010727434368334583
PTH2,,,,,,,,,0.050191242854344335,,
LIPC,-0.015779699471118794,0.047740742646364125,-0.038325779461847655,-0.024502947988676173,0.058325269168685245,,,-0.03153148181811735,,0.10271196019424086,0.0032427731081561273
COL8A1,-0.04674074679297742,0.021799338409065335,-0.003984098314692199,0.008706618451287361,0.02993725139375568,0.10113748761107252,-0.003841185737886132,0.003259964046737621,-0.007015532090902888,0.014762192344368682,-0.04243954522803995
GSTM2,0.0028590961104544028,-0.018588010151495422,-0.0487382842362041,0.10905857050340427,0.037120641830151915,0.04853720852803638,0.12010565758782973,0.12594974694916589,0.08970640316935731,0.07885014981387027,0.05639210873565374
SPX,-0.013977900369870368,-0.02418367351398166,-0.016323472022226476,,-0.042029132919230563,-0.02259755357272826,0.0016254123434710482,-0.07368429079141323,-0.03715958871037502,-0.05549636976149972,-0.046216694984080146
