,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.015367754036767736,,,,,,,,,0.0856245094256294,,0.025523136249033372,,
BMP1,-0.022140404236951544,0.04349278270538261,0.032770362425642116,0.02008516228482287,-0.021149664062606953,-0.02142985815782932,-0.005730813594961218,-0.02299216324897147,-0.01725622596304668,0.04708216915564386,0.01213626657272291,0.0875659251493207,-0.017932258460693722,0.0540999408252125,0.35268892364767873,0.2586754511444452,0.034326042115893206,0.05202433745950729,0.04514803813169411,0.12308892905349941,0.003424963484290889
NDP,-0.057241084355909605,0.03211464210456345,0.01002837964957329,-0.038863620170251634,-0.017013266336466493,-0.0009941446403420359,0.013559916313682025,0.03261474891011318,0.0019357509954208575,0.05480482260190946,-0.07575409086907696,0.054874247911883924,0.056720233977450706,-0.047757077696658115,0.08562293070179648,0.07490433636564471,0.03102488785908396,-0.010243985443369085,0.030811914544743177,-0.07985483524101115,-0.005655787384643261
TNFSF18,0.04121259373858488,0.002514767337208684,0.027556545890129323,0.01398646028740923,,,-0.011440817938130933,0.04346149975858852,0.004865782933602021,,,,-0.032191897509298475,,,,0.0015492141707900344,,0.02828781371716462,0.005737492942801769,
RTN4,0.06333189420013921,0.04701205460189358,0.021668132230252657,-0.001383316502265897,-0.050160739014565796,0.07513152010160631,-0.03840819290806295,0.02529413534636394,0.04293628096510863,-0.01631725813375531,0.03881320195911156,-0.027673515101100877,-0.016040243681224794,0.02138521709410369,-0.09761369272022445,-0.0085119099822857,-0.02919735900866779,-0.11257506428639759,0.11179710513541566,-0.11616852599468724,0.04147756872094222
HEBP1,0.041370964458093476,0.01754273497092137,0.012887905029231102,0.010120958018915929,0.04157228099708368,0.012703127293212635,-0.044811098820491606,-0.01596682317239838,-0.008665944145394521,0.033987202018592906,-0.031526243532962274,-0.011651768301364714,-0.006577149504353698,-0.03668715457345778,0.021361866171788965,0.09340667775255418,-0.038221178586741816,-0.020617187473846083,0.028787811514789267,-0.027557965660545945,0.008532492964001739
WNT7B,-0.027898187105566616,-0.04015389879498109,-0.010369719593732795,0.006057303643945376,0.003462622879187724,-0.035615136310849914,-0.008421401013398873,0.002848543181376736,-0.0022603921857123218,0.008700422802960352,,0.05363414999612451,0.029953045949148303,0.1816285778152094,0.015232989194793227,0.027001974421365493,-0.07198672196065206,0.010735393084380767,0.10435461079479826,0.14597363598510457,-0.009114953494234787
PTMA,0.03759053836394408,-0.10499546624180407,0.04851370587407314,-0.06322878981538767,-0.028771364098885633,-0.06761259086115667,0.012528210341074047,0.0710621501979285,-0.019056261825013774,0.04810417902788775,-0.09097376786185843,0.13547796934885892,0.004707054309635164,-0.14390686386777132,-0.1552039621017817,-0.09508893681530983,-0.04436659091257566,0.046986465985151084,-0.036010132084298686,0.09741826799624811,0.11978535387183058
FASLG,-0.011501275410483623,,,,,,,,,,,,,,,,,,0.08568229137658853,,
CEACAM1,0.023383550599708407,,0.0013232358128806659,0.02191888536280911,-0.0020475664044876003,0.012613888800258656,,0.0931693050842175,-0.009445547558028147,,,,,0.20635200733685102,-0.05405852738436795,-0.05132841922297355,-0.00613542286183508,0.016931589040876636,0.027032953946466532,,
PDAP1,-0.04445139465260119,-0.022769080405992747,0.0074424201675096675,0.0008758879247171131,-0.0017817475536281773,0.03117307707521579,-0.007390200440673882,0.0018410294741609456,0.03802268398927013,-0.03707744850401846,-0.10577121143198025,0.10987684600209693,-0.06229435059107505,-0.08800886144361153,-0.0003839327071240065,0.03893841273242541,0.035007680282593504,0.011612106777068762,-0.00011401263171929658,0.06519741434408939,0.08512041794888754
