,UKF248,UKF255,UKF334,ZH1019T1,ZH881T1
BMP1,-0.003338355695253673,-0.028074297792628822,0.07639432357255371,-0.11128439654434145,0.04346923022938775
NDP,0.028846537804777965,0.01832290871579433,-0.0096109442789057,-0.1264324823468077,0.05043634152929995
TNFSF18,-0.03094006625544673,,,0.003041423431487351,
IL36G,,,-0.020947217319699545,,
RTN4,0.010594558012115243,-0.0018622903979611174,-0.04191630754705411,0.0538117250905549,-0.007136552755902402
HEBP1,0.0023122829912893823,-0.008788624226143226,0.0265384852838242,-0.10200492681988059,-0.020576237081877252
WNT7B,-0.0044127614120408045,-0.03255374349702544,-0.023023405820989044,,-0.018838790570279856
PTMA,-0.035511084365472685,-0.11649546706792742,0.09504658486201456,-0.042817234548614476,0.01329761603030817
CEACAM1,-0.019692504237509303,,,-0.01962671723613044,-0.01250357928722158
PDAP1,-0.010568846511383338,0.00022862264239066174,-0.00573263629401784,-0.014197096875347877,-0.03652823427908175
QDPR,-0.003824214301483055,-0.07218535879573104,-0.06458675478440012,-0.028201154334102144,0.009601201778176919
POMC,-0.005190441303021165,,-0.0035180609816133843,0.05454707924555177,0.05145599240814394
CCL18,0.07438791367994976,,,,-0.043059147527492715
CCL17,,,-0.01913587771284361,,
VEGFD,0.04711946453527769,,-0.0205085128468391,-0.02462000766275214,
TNFSF13,0.056694461764166364,,,,0.03829238220602713
WNT5A,0.07318226246171752,-0.047876945047619544,-0.01892636277630718,-0.07529557521613155,0.06364845325102737
CXCL8,0.04699307505746354,0.006850360254112189,0.09288696290061874,-0.010545148489221676,-0.024118048399030215
GRN,0.03795267941530787,0.006267183250112996,-0.014874279880401133,-0.021074024108531736,0.028679279642520598
MIA,0.01141443307735011,0.041956297086482124,-0.0029387708955002623,0.05962663991896317,0.06363498344216405
COL4A4,-0.01772677908565083,-0.0330121081771605,0.024507175171166948,-0.04537533583048684,0.06463101129801616
TAC1,0.0009854936175275422,-0.04118874542180651,-0.04828520608534439,,-0.021572236321288168
RARRES2,-0.01713026845934329,-0.061642397418347976,0.040337801156730975,0.0006544560855658932,0.023205021746471037
FGF7,,-0.03925719079297621,0.0069710933902345,0.034190869497218494,0.008701979730218957
HBEGF,0.006457124408099404,0.0825777027575731,-0.017135961290692652,-0.005010433485803971,-0.017238452692520598
CSF3,,0.08753811693346016,,,-0.01792558888048158
PI3,-0.025853288762859906,0.045291170399177086,,,-0.025630932151028945
PCSK1N,-0.015566572673569524,-0.01144093193765847,-0.06008261621615156,0.047408013883940364,0.015767448737021267
NTS,,,,,-0.03189865894366987
SFRP1,0.05058421282305478,,0.012629326266104145,-0.0759677962277422,-0.024852455051317394
CXCL13,,-0.016778576447280386,,,-0.0039051856269847157
MICA,0.02446041118336438,-0.01152047401417756,-0.017639963119914333,-0.008783736158440742,0.09158549667761004
TG,-0.019839616758357385,,0.006501609427923713,0.03616376775397115,-0.014753035103646598
ADA,0.003367662576294637,0.07621529859775748,0.04813618800852581,-0.0071711550267162675,0.05651126772210068
