,MGH258,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.025219527084775147,,,,,,,,,,,0.03382916568664928,,,0.07469775898823086,,
BMP1,0.034690752064170195,0.16319495581769378,0.017146387343392636,0.07717888281035253,0.10616572061032313,0.06660209498266623,0.011989813043762823,0.046672437203764496,-0.03551954373539033,0.14183983084482174,0.05900065651504579,0.07329149909608602,0.13973564863526092,0.09584632462989406,0.14967647593172323,-0.020128115587922463,-0.032529517375215956,0.0403486205429985,-0.03553865561423298,0.31568445284339713,0.1328432747239757,-0.00037823034869075435
NDP,0.027644406684960987,0.0202619916570106,0.0308049490023417,0.023177985315878228,0.03136663792048213,0.030445883629045024,0.0009845125761454422,0.01944087823824926,-0.030144487739397888,0.011002855397736638,0.01553071643482397,-0.024797944051581734,0.04408466123745794,0.026371100023602913,-0.056668959671390275,0.035663112065431476,-0.027793430122797773,0.02909784419072967,-0.01173942567238004,-0.07224509106581263,0.02952439821457552,-0.0029256828346535947
TNFSF18,0.04930185020792357,0.04809879521241593,,,0.008061626908280753,-0.03745024060994088,-0.014105908410244533,,,,,-0.007832204063620654,,-0.05505942562553784,,,-0.04762963750381556,,0.08139373007207168,0.12137649502762599,0.04746854878540447,
IL36G,,,,,,,,,,,-0.02212699153578774,,,,,,,,,,,
RTN4,-0.01130639285431023,-0.022219168510166743,-0.011961983796496338,0.010657905727967982,-0.09572815692531043,-0.10235750249957982,-0.07360081220734359,-0.00014509542381757148,-0.002269331371821912,-0.04804577670994073,0.06132193981927368,-0.013302294073690046,0.03600207701214252,0.1267775846353976,-0.027656655691001193,-0.024963965235669072,-0.03195952825346863,0.019937977660245198,-0.00266242864141167,-0.031238479212028655,-0.07508241389110461,-0.01418720590342378
HEBP1,-0.006679869792966773,0.011248151759413174,0.018194444688398172,0.0179503367768114,-0.00984013046978152,0.06619233274300028,0.011107422005263533,-0.07469389715804729,0.06697727750693915,0.04000190538636102,0.0015833349151240647,0.08665506094178027,0.05690520362770246,-0.0031715797876161723,0.045247675407578264,0.012340026069090312,0.015355446361957594,0.046134507343976464,-0.01681569437144609,0.05507701579150253,0.017057917563208628,0.01951235398428279
WNT7B,0.1410045518076997,0.004064526149066673,0.044317188877139445,0.028720398294810028,0.012784154802520781,-0.09281786938420176,0.0717019923487674,-0.02556925675988869,,0.04321360287399349,0.003826188056238738,0.053486431928452996,-0.03903582849938921,,-0.08239232415121345,-0.020494300947033774,-0.039386866182873397,-0.035015707525358986,-0.03410685386694048,0.10858812776005113,0.1332162694284886,-0.0734589257328886
PTMA,0.09325310138691878,0.126003846531392,-0.020242611287927446,-0.018568489245803226,0.10406939709307562,-0.03073492900706097,0.020246442597091633,0.06973311671365451,0.014485999652645704,0.17940198777990102,-0.0094304148799627,0.0861854964590259,0.01114812797677839,-0.04354262500982904,0.0050722876593286064,-0.030749279717749215,0.0526085527210226,0.03886396901612203,0.03603620032290603,0.24405954294304547,0.013416642463618964,0.08677102382551428
FASLG,-0.03276647890317136,,,,,,,,,,,,,,,,,,,0.058462741629324286,,
