,UKF248,UKF255,UKF260,UKF334,ZH1019T1,ZH8811Bbulk,ZH881T1
BMP1,-0.013478920833866481,-0.08568830654784476,0.04597638325886747,0.09045522020447697,0.024967452873978578,0.014242182398625299,0.002376312107256929
NDP,-0.07130266592969921,-0.03981065875212687,-0.03602808563637571,0.04380819223220778,-0.06296741563965083,0.06585685090984046,-0.03388282346147343
TNFSF18,0.003678767286719431,,,,-0.04782914444212001,,
IL36G,,,,-0.01864968502635863,,,
RTN4,-0.018551646902985504,-0.06946395055996867,-0.04832007445889883,-0.08334663117867773,-0.04065414368041891,-0.0017037120757168772,0.0011638718147237472
HEBP1,-0.004215126119766372,0.08133093531515405,-0.03520271970519258,0.03652798870176125,0.02977333712371957,0.06480271073623414,-0.020300203571830037
WNT7B,0.1582813118000274,-0.03824827812668539,-0.01160408947124194,-0.022856159760403585,,0.0013209817157061208,-0.019769039285930535
PTMA,-0.0012617661320152593,-0.06730998295086572,0.00691305330816004,0.11785024102594688,-0.0330522594263234,-0.05185960629301532,0.02675326966207543
CEACAM1,-0.01580393568753256,,-0.019762966789339417,,-0.03363200583603093,0.02258750531059834,-0.013120998889057598
PDAP1,0.006554722008927472,0.009923391971927367,0.08298492253948289,0.07799453233721004,-0.016041818806183824,0.021643056405062765,-0.057151012527138875
QDPR,-0.04858563291537252,-0.005989747551671232,-0.054181051508892145,-0.09077100432216817,-0.0019244418735880095,0.052771456702836304,0.07549046331170584
POMC,0.014781269642148945,,0.058189791642104645,-0.043736564753643244,-0.05065891247303035,-0.007070779294430343,-0.021464230534192878
CCL18,-0.019721818518551773,,,,,-0.010617913406317715,0.026356053070304745
CCL17,,,,-0.01557433804182497,,-0.027978523142050182,
VEGFD,-0.0016768850406338888,,0.05852502391927435,-0.029775915991034865,-0.045721974928099124,0.0013699874966862954,
TNFSF13,0.008422119019060736,,,,,-0.017339404531519872,-0.014734002349801103
WNT5A,-0.04667189008609634,-0.037686925625399985,0.017762428514186985,0.02149219817758092,-0.0447104073277563,0.03659272080685938,-0.002648599476391824
CXCL8,-0.018660094561304425,0.06219234595875588,-0.0076729232134163,0.10864460336987629,0.0679965248623531,-0.014330116146631905,-0.05203586928826272
GRN,-0.0186412535417608,-0.11194469967136268,-0.07074514384438482,-0.08476573485947517,0.07793141074214072,0.0521723681745628,0.03729158933352734
MIA,0.18033566927513942,0.0858337624613193,-0.03655010996892661,0.013934525104304341,0.0532134338673744,-0.010172811316072125,0.09153717701937032
COL4A4,-0.023685743805620017,-0.012248811416769874,0.07135814239037626,-0.03955760994408463,-0.03580120682785703,-0.003648312743341773,-0.026443347798409195
TAC1,0.03572993231338378,-0.06389251749154841,0.008595233643456003,-0.07010436352671047,,,-0.02263746102649031
RARRES2,0.04845951229240287,0.036166923237221545,-0.047488963623208896,0.1548155453061652,-0.07835095369040812,0.05855559608169116,-0.009015606301925303
FGF7,,0.01608526317412273,0.005416749037062484,0.10028935663748353,-0.01638349565155502,-0.02944471649700278,0.06645903256195203
EFNA2,,,,,,-0.018420891849319745,
HBEGF,0.0016015948215611403,0.02339854755876494,0.013227620053798161,0.0365191173020821,0.01948444431414165,-0.02320795125062929,-0.03413847523311352
CSF3,,0.0867321382520962,-0.02965455968959643,,,-0.02875462333806642,0.02123488344707867
PI3,-0.020748184587981264,0.08169664306130728,0.0026812998153012304,,,0.01981357303182857,0.019769546547957283
PCSK1N,0.04866189236153215,-0.07351399698025295,0.003597232486413243,-0.0995706671094615,-0.07146065589196522,-0.04033455597869769,0.09362643776558005
NTS,,,-0.011660804311651953,,,-0.02244236110688882,0.03302643474359935
