,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01617970980607539,,,,,,,,,0.24686323467941362,,-0.014109588341803479,
BMP1,0.09299984568987187,-0.018383263969088397,0.0029981329913735515,-0.014486419167725006,0.018413304043714492,0.08941681701927733,-0.031853377848941794,-0.03941917500126321,-0.0060247340177093656,0.018187199975127483,0.0013892676185036689,0.006366899007919013,0.013784772336922988,-0.028780392770898017,0.004234515232518928,0.011812095902818167,0.02814853494454387,0.04596439699044327
NDP,0.12763946133019877,-0.0347222831564121,0.028627745240390037,-0.038235828763850975,-0.023488037941670547,-0.04253685710715567,0.027434523308649268,-0.08223534805012148,0.04882396492901724,-0.009720474151892259,-0.0034926551980413675,0.10299565705187029,-0.038612701563057315,0.0879191988583654,-0.05475964011371267,0.008506161299182044,0.10455481732165188,0.008362211385476217
TNFSF18,0.02340330460210597,-0.014065106628915507,0.028193297516228184,,-0.013800792952506311,0.007498748896992688,-0.016503115312292427,,,,,-0.005941151615030129,,,-0.01990036175914336,,0.09045313529166447,0.036935068462544574
IL36G,,,,,,,,,,0.056992039978942526,,,,,,,,
RTN4,-0.08149364509309294,0.038372770535107,-0.010539699201102606,0.011814850207101253,-0.038551827027564316,-0.10937841514029181,0.006525448585935919,-0.038809212245146524,-0.01955875045383869,-0.05749577391267981,-0.06324765534355287,0.00831926508280277,0.0424640255008652,-0.02309170873073976,-0.08475622246650755,-0.007092372842061297,0.015375851972031463,-0.004500212871361371
HEBP1,0.07220139969662742,0.021719380895281932,0.040639153489259144,0.07047465865939,-0.014038633396465801,0.02564676020697363,0.042121114681089485,0.0233015469432834,0.04577348556624696,0.040394074876581976,-0.05461520901176546,0.00766991967992334,0.07025776954835158,0.049565957973073074,-0.044584160028334534,-0.01574869720958778,0.09003008414741105,-0.05398904346156127
WNT7B,-0.01642708339861179,-0.009832920263207383,-0.015248987270419758,0.005869825892999399,0.0003012061901453037,-0.004992550527312852,-0.029498988508677788,0.04893452017907698,-0.0015680417461591653,-0.02004138331682635,-0.012652699209404095,,-0.032997416643774806,0.010802267665715133,-0.04161326633574501,0.001015893335217423,-0.04579859719672898,-0.026509975365655473
PTMA,-0.056813323558308426,-0.0458646770249822,0.001189293777867661,0.0009261318448682662,0.03892564588954831,-0.04004005816985737,0.09272756725763001,0.017663273613395574,0.04167795809206864,0.10114725413308989,0.06994166865434248,-0.060792448554985466,-0.0330536516061432,-0.04187408587101588,-0.009723329789939972,0.0339549829871042,-0.09391491523491664,-0.09095190299559884
FASLG,,,,,,,,,,,,,,,,,-0.020324729630234302,
CEACAM1,,-0.006493448677362275,-0.011702680565221724,-0.004470378986052462,,-0.019744977810431812,0.017695960720422392,,,,0.04718757405297879,-0.04123834435739071,0.024856095109055298,-0.007405541255062519,-0.028594742222000792,-0.018375712597933105,-0.0074446415420854825,
PDAP1,-0.08919360092637554,0.02475867561748386,-0.012271506649218056,-0.041136786373605454,-0.0030102640608940245,0.04390712315176243,-0.012726092813036499,0.03865943119049776,-0.0016734445189752615,-0.023464219137299493,0.07045887351604299,-0.03282554462183719,-0.049960798023378675,0.008128821574823596,0.04059116202461731,0.0030751772849111616,0.07512782336300074,0.006255949244383261
QDPR,0.11127977029123035,0.08284155512080311,-0.020669517963237752,-0.019709391874803264,0.012467471562720846,-0.06126997314197236,0.023843431889295667,0.008176398068703683,0.0061204568956865334,-0.03394083237874346,0.03331510998703719,0.009432273642125783,0.03142576471544378,0.06517644610249235,0.008682655581900055,0.006582961598939248,0.009187196539165884,0.07650876456601832
