,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0420902441391934,,,,,,,,,,0.013567957569491897,,
BMP1,-0.03228410354418187,0.03385253824691906,0.012491964984426271,0.0977212936303194,0.014436977727165902,-0.05559812038311566,-0.0688210784294906,-0.5325024343660091,-0.08959798195783257,-0.008819888896858526,-0.1887128675037344,-0.26666148770110776,0.030652554099343858,-0.06115464741780512,-0.022360835737990404,-0.04116160589665763,0.09307676380830283,-0.011132069220640285,-0.02558496268042044,-0.028035028558160972
NDP,-0.057516470784873014,0.026151876510596517,0.052783305783369996,0.06571861744134658,-0.06833393947415117,0.15957540179059682,0.07495598732896115,-0.1227835949830252,0.03247786046696838,0.014310779820928557,-0.08559713943999546,-0.010349779163047128,0.005929751667134487,0.0040038521703979115,0.05163736711696674,-0.01617292038514457,0.007657606533691009,0.031178413794137674,0.05454927356590508,-0.029698731213017936
TNFSF18,-0.0404677676505478,0.08507658751194887,0.024138860927591904,,,,-0.040388549369072844,-0.1186849246648908,-0.057299706211190155,,,,,,,,0.22431910166320942,0.11970247334481667,-0.018839926671181388,
IL36G,,,,,,,,,,,,0.0006899281031848658,,,,,,,,
RTN4,0.311337336474072,0.11687081437408567,0.06646183749612627,-0.02080419813409233,0.08303214747878428,0.29887369307397976,0.34878514366327407,0.6771220335912664,0.27866747478530296,0.17643286643888598,0.41986194366132745,0.42642004550137264,-0.0787085897851094,0.06464789886912282,-0.000595214991245926,0.15610916212729617,-0.14361140858379712,-0.04309589809090459,0.40512036238989774,0.060096378092073785
HEBP1,0.028015583037345977,0.006582334722922696,-0.004632279214717677,-0.02632177027848592,-0.07495297342249144,-0.0736355025398831,-0.09963504505380961,-0.2260712171501265,0.011999324355172668,-0.04413648376300951,-0.14267699438304912,-0.058519938912103484,0.016440359486710156,0.05829610762007461,0.03355420748570882,-0.010735028962651192,-0.0015565203462806535,-0.05230609604042422,-0.024607768159680122,-0.05743495852934804
WNT7B,0.3290804195700974,0.041202855682615724,-0.023141147036657043,0.0010734293209323773,0.006689842763935561,0.03854911587374265,0.1709438256494902,0.45116998262696184,0.03176292346521034,0.12407204919076734,,0.11091115979245379,-0.03447726677583056,-0.049886386893672745,0.035610280812761214,0.033917457910471,0.0506569344748914,-0.030865359137046154,0.08291514935875859,0.09413658433809195
PTMA,0.024772761868099367,0.04792888648683103,-0.0832602225334823,0.1494007673071881,-0.04046984673283082,-0.23618873553885536,-0.3426719323486718,0.12442745485675454,0.12549154693366207,-0.16021626463781904,-0.5074298205728778,-0.41681417492561273,-0.10885958941097515,-0.052662090083624144,-0.02822707046643429,0.024253255990996356,-0.05085879678044819,0.014219297585960688,-0.16746237676329762,-0.16143895745962566
FASLG,,,,,,,,,,,,,,,,,,-0.012541847109092319,,
CEACAM1,,0.025340510560206475,-0.025150402550761633,,-0.03568909472052113,-0.013266792002587463,,-0.15580665613297184,-0.012864750187445838,,,,-0.030919765078952832,0.09997006697660123,0.07466524769069344,-0.0017643510873621836,,-0.017450138190257623,,
PDAP1,-0.11552112366851972,0.07243205816673319,-0.020409146567153345,0.04558767059062475,0.06888735652380445,-0.13699987385946757,-0.05270271653532516,-0.3983317312150173,-0.011775321499873221,-0.039924590403148164,-0.013607741568515372,-0.18583162331863648,-0.03742310632502425,-0.029180511377985906,-0.04112715402602595,-0.005657086007193797,0.10606239922832511,0.054084809766118735,-0.052569388227101034,0.07032135992119784
QDPR,0.15411946322546918,0.10996015236105051,0.06265940410588101,0.1495686289672508,0.04524663699162234,0.2757213634602046,0.0007185231025793184,0.2016363294151219,0.12965957602974668,0.04846965508267944,-0.38233955470102904,0.13544951685270337,-0.051976210457126706,0.020344799350734844,0.06533316954706174,0.016109473642888346,-0.08729272211995483,0.03946245922509729,0.2611159138027612,-0.04230760453334843
POMC,0.17459217320469717,0.021814932147433633,-0.030438744998221717,,0.050018708179206874,0.14538789415238565,0.04295621631160015,0.023616647747297385,-0.004281087705016203,0.006119104429823446,-0.07358136655755146,0.09057759649654198,-0.013509014285940703,-0.004519266704982153,0.046945594267227615,-0.019001846150703446,,0.03562048922869709,-0.015234287698351162,-0.04916490112692466
CCL18,0.054436618587217704,-0.03218700300304566,,,,,,,,,-0.1854183165899289,,-0.021922621810681418,-0.04125683021406105,-0.05820258425550834,-0.030599227367819455,,,,
CCL17,,,,,-0.03924684479499243,,,,-0.020471230192980396,0.0035893674263974855,,-0.011927017723112915,,-0.0279385221379393,0.010599747999628803,,,-0.011367775708904317,,
VEGFD,-0.05000630125067644,0.024602271227272165,-0.008424632190753093,,0.05153177116816873,0.009509578162937578,,-0.11253864098872117,0.05827771398354291,-0.015781040259658426,0.07498690302684198,-0.037354593506080884,,,-0.028492818448978396,,,,,
TNFSF13,,0.023523319939139586,,,-0.009444487386138303,,0.022475343270448193,,,,,,,-0.005735965823681747,0.05202330131921687,0.007891711415293965,,-0.018522841687974044,0.016594297097979296,
WNT5A,-0.0450168300092375,0.05985430461057849,-0.033829511462014,0.11102356515900624,0.09322071737112564,-0.0806576391687869,-0.17874416947246047,-0.4293343860702941,-0.031957170448563235,-0.0734043367026645,0.08402376133194028,-0.11045839576793393,0.06707023553795136,0.0019368327588742693,0.06931193101718852,-0.0056021995688191415,0.04666526104882184,-0.01184188240465437,-0.11718843464250045,-0.051004490337864763
CXCL8,-0.09226491307419939,-0.04704991361684158,-0.03372971379356815,-0.13195718480443186,-0.0718038550737694,-0.11181950561412009,-0.01530779714995838,-0.1568896346479243,-0.1490467701502839,-0.01895370243262111,-0.17432097204325797,-0.1198969480676088,0.07295768083110722,-0.07694759960486929,-0.1293360965010733,-0.04402434540102655,0.03833033811956382,-0.047308994190073256,-0.18901503739191278,0.04092151816982531
GRN,-0.09100945739918438,-0.03505781624281624,0.01927347658028467,0.09449002306745077,0.050495160580255015,-0.14015981172364564,-0.1460622247482935,-0.5582292438668652,-0.03682979297905033,-0.028956797812777962,-0.36872308221627914,0.12407837472990411,0.004314035797470901,0.03678559401656584,-0.010210833349954221,-0.09347719397486322,0.033498445638734435,0.04624632340946698,0.09277684492339044,0.006254557349386443
MIA,-0.01961401994293466,0.048971361715699865,0.11444289996725963,0.14086733253286504,-0.01509366709898073,-0.09463168280136697,0.008411195394947293,-0.186311112926776,-0.09328696766214807,0.047408015197922135,,-0.07035328538473849,0.09629836668247373,0.010850710800675383,0.11857223673762868,-0.0928981245636769,,0.027301428209228814,-0.04418258750977178,
COL4A4,-0.029477022935550073,0.06709126272335265,-0.005531935717648858,0.0002290865305962563,-0.0162122650772024,-0.11872745643262758,-0.050040358551237354,-0.044650113131851486,0.021591563255453885,0.07532147245318421,,-0.05809088004368492,-0.027717043763605495,-0.0017807610533071476,0.04768578311308083,-0.018892175942920596,,0.03576892806220004,-0.08909650080853167,
TAC1,0.37991045801802137,0.19142024499154378,0.0750353091694228,0.3450080508919741,0.2934113878664864,0.34081423416323553,0.3069367980772161,0.6256478369359012,0.4077014263908027,0.09824173831117733,0.3566001970990698,0.3773172871583864,,,,0.04029195261268947,-0.00270986702958933,-0.01494409709344175,0.3517292633276043,0.1685375344213668
RARRES2,0.06694179787710829,-0.04803576885104643,0.03509445489232585,-0.11073112460853254,0.0008963051974766192,-0.2693043624646834,-0.13298499570142297,-0.5992110965876611,0.12228535903111455,-0.00535951324700023,-0.11595138446734343,-0.217194478223865,0.007555517997571928,-0.10707786789259424,-0.041091872392897556,-0.06451195482605859,-0.03116432929887113,0.03570083140768108,-0.13831122023754358,0.02527828464411934
FGF7,-0.06360351793059418,,-0.032359483181117955,-0.008450707529960749,-0.02398419524941985,0.1331273107028743,0.020389144221052334,-0.1145340049895916,0.010670506956362985,0.011589629724041881,0.010169853340833581,-0.024943870162850164,0.03540860724879277,0.017865234258111415,-0.003221551513786433,-0.00018667685414097,0.02623453245568351,0.00037172842738447383,0.11120992825937064,0.009376925194664572
EFNA2,,,,,,,,,,,,,,,-0.027080517108665905,,,,,
