,MGH258,UKF248,UKF260,UKF266,UKF269,UKF275,UKF304
IGFL3,,,,,-0.01553329551941698,,
BMP1,-0.01679039712649072,-0.042293242528163924,0.020449328064161228,0.02557745386959088,0.1125991611033632,-0.006858151055182631,0.02791005710682836
NDP,0.026952705055208633,0.0019006959134047932,0.03843362780418691,-0.03735161423322093,-0.023025126517481145,0.012344614519334897,0.05779995182901779
TNFSF18,0.03474594947567705,-0.026228443440523,,0.12011237803967227,0.011281463501544364,-0.004752835089674948,
RTN4,-0.020996455962839035,0.008716081598243598,0.038599812632751286,-0.11440324260969643,-0.07926915701873148,0.025936788035342627,0.011163094565260833
HEBP1,0.01942827534261363,-0.03504603391105161,-0.0023141893185136793,0.09317314574029678,0.03809598830165192,-0.008143462174662353,0.04757592602348804
WNT7B,-0.027098442389325978,0.041399061730439994,0.039663152004882817,-0.018173317925949846,-0.02286810803966603,0.00027128605462955525,
PTMA,-0.012976616322152875,-0.02628471370158934,-0.010704450522789063,0.15460342339050956,-0.0835861811216872,-0.01316494066669073,0.07444008271429012
FASLG,-0.02709845004998622,,,,,,
CEACAM1,0.028903582228212717,-0.016693685441117836,0.0665118128351867,,0.032062181743324245,0.0001647056714581874,
PDAP1,0.07421134205631766,0.01909836873140807,0.057680210173977904,0.05347160982131879,0.06555333715631842,0.035440551294729214,0.039173543110531464
QDPR,-0.07400673724182057,0.05873915065276101,0.027711372375298055,-0.01715638464736263,-0.04663155997299524,-0.00038264831179478457,0.06333130753931689
POMC,0.02554336116706709,-0.03956589920960024,0.06337602991892602,-0.03414435913026041,0.06674407337340682,-0.0014784877427325973,0.05438799063913073
CCL18,,-0.004394233998686563,,,,,-0.0028941904204898457
CCL17,,,,,,0.02768974078232995,
VEGFD,,0.044069549618110604,-0.006288523839659998,,-0.026022436704691107,-0.03539926739045739,-0.027604827877690332
TNFSF13,,-0.01572060795332445,,-0.015911884497120544,,,
WNT5A,0.02601732957718902,-0.05353954444185469,-0.020730976120725476,0.1374811544893562,0.039879370020639286,0.02802044893823698,0.02561130991290646
CXCL8,,0.0325787793656036,0.028345168369834344,0.06126182506327598,0.06724877205907343,-0.07351205459832373,-0.01055739337935492
GRN,-0.0814480251562415,-0.026903827449431036,0.023644599132014117,0.12736598141001162,0.07122986421729376,-0.002421702507193022,0.026902714558697433
MIA,0.04666018175444771,0.04867846863348504,0.045608377821307104,-0.002702283767062085,0.017098891674705703,-0.024803127552740747,
COL4A4,0.02831466320278013,-0.02501923345852714,0.028399894363563005,0.08050764418346668,-0.015306909772929407,-0.0033103611232439883,
TAC1,0.008260843972241328,0.0006586421860934232,-0.038092956602513064,-0.09812579979797774,-0.06521476405502279,0.001243344515525849,-0.006876467243688487
RARRES2,0.08945704914305444,0.06567560524201366,-0.02848426772953535,0.0927102207454035,0.08179931204422813,0.013161283080416392,-0.020242813460725036
FGF7,-0.06051195244768523,,-0.01249112316270242,0.03560085284417164,0.011126428824438383,-0.022778812250404804,-0.015919761513487764
HBEGF,-0.046108819528632876,-0.021041138391187396,0.05281493648728492,0.06890015112429398,0.03025402030313191,-0.003806204353011051,0.04859013541637838
CSF3,,,-0.026213596431929036,,-0.01619441591833145,,
PI3,,-0.02191629185502497,0.0032645256661281213,,-0.018235126067195653,,
PCSK1N,0.08943154364112646,0.028580853767975947,-0.03645195498316128,-0.03265113614321392,0.007562935103954631,0.02759925096736457,-0.05696858535441908
NTS,,,0.06350973753918696,-0.018481834875608588,0.055858920228708246,0.017170035997156108,-0.024853212508644994
SFRP1,-0.03942890787214666,-0.030688168117104096,0.03374878585904446,0.08334387271693842,-0.03430505202611873,0.008645356817308715,-0.0030105307866584493
CXCL13,,,-0.0342530007255505,,,,
MICA,-0.029439418892686735,-0.02181983933110125,-0.0343568297001601,-0.029140308736289307,0.07082009408610133,-0.04352519369055677,0.015486018227439282
TG,0.027588811099244014,0.0009678693095973607,0.03224336400186616,-0.021332909503469576,0.05816914728446227,0.0483530356383133,
ADA,-0.047634656620470235,-0.06059425292505693,0.02743941375543515,0.07654509520155864,0.03250835575339065,-0.03902078260086518,0.11360183351631449
LAMC3,0.03868041534609653,-0.08248574389955537,0.022772768249311216,0.07929568969838226,0.12060935877814118,0.021411635236597056,-0.01205081256591512
CCL7,,-0.013251002256324836,-0.02927455627185607,,,,
NGF,,-0.02275131284144601,-0.0009058849426397932,-0.020357317515804954,,,0.01787844259991632
TNFSF15,,,-0.012425035476828114,0.10031271295761268,,,
HMGB1,-0.040547919307481785,-0.0694019753205826,-0.015176034655536182,0.1187959096898591,0.04998008832634564,0.016355608211795592,0.11247928952154755
ITGB3BP,0.01795059224458711,0.057357061952451875,-0.03315634183068539,0.03983205049057954,0.0775518326919958,0.026229494242151388,0.044505284542652686
AANAT,,-0.01922518827468672,0.05870102146163344,,0.08949417606130948,-0.030103116110977674,0.04552617728073114
RELN,0.045293179755162755,0.02524180594680583,0.014889699585415877,-0.04161334266740416,-0.04286387268235986,0.06984667224186085,-0.010074088529878025
IL15,0.03955177826318982,0.02799423077524363,0.025094481843896663,-0.01758850183988072,0.06716663862147919,-0.052439353323742915,-0.04788151833537334
UTS2,,,,,0.05349483619951763,,
BSG,0.09078007029240912,-0.015562744245728946,-0.042386409764612075,0.054958044428888714,-0.06259649935183834,-0.024580948634771824,-0.0471316954016613
ADAMTS3,0.040416265180027895,0.00017869947975702034,0.001240609903920992,0.02534574518669504,0.09017227534960864,-0.0002462722843318546,-0.03751980814357394
CD34,-0.029274834193011464,-0.08874596362765289,0.015154268203594418,0.0035244161674648274,0.09292986907357947,-4.652652403464703e-05,-0.039883386773678246
CCL23,,,,,0.006369269559728905,,
PLAT,0.02339496328494278,-0.03261749078452298,0.03795868299326676,0.13227893559661064,0.09179837812177147,-0.020265369195566613,-0.01086072868689181
LTA,,,,,,0.03721088790372099,
CKLF,-0.020914260665612416,-0.040364971130311574,0.005513618820944174,0.10193122625357304,0.03191624706838802,-0.001057030228209833,-0.043356312746324045
CD24,-0.06536341840901441,-0.03806714378342181,-0.018088885042454983,0.10159362267731675,0.014467663464748903,0.02505009790551455,0.07494117771344778
HSP90AA1,-0.029832156915173866,-0.044557430592549165,-0.02229725065891538,-0.11633858570425629,-0.1091308984171772,0.06274844021367187,-0.06559876605551791
BMP4,0.04209172949254909,-0.013100224466420769,-0.031925465489539805,0.07983846069591835,0.103035384302316,-0.008994698486266396,-0.03726878289464593
SCGB3A1,,-0.013251000931242313,-0.025839472117695786,-0.022452033674367065,,,-0.0007415694313462894
IGFBP4,0.04747682374121619,-0.03056067482021487,0.02928785338895786,0.11430221372425214,0.09791911338682809,0.03671579618209346,-0.0027970013231408807
RSPO4,,,0.02040829417143299,,,-0.02494673727033861,
LEFTY2,-0.031073004591047667,-0.020427896183307093,-0.04067238204772337,0.04313711529498237,0.09835421237534496,-0.030314537268406466,0.01784247678263043
PF4,,-0.013745786369378664,,,,,
