,UKF255,UKF266,UKF269,UKF275,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,-0.020560836877035332,,,,,,,
BMP1,-0.0047863592188232655,0.03762342340215691,-0.10627678508999526,-0.07604845704962673,-0.015286389661945543,-0.040211303651775956,0.06600877263340982,-0.022813270741777268,-0.03903252652733031,-0.019535391681763072
NDP,0.09238240547553413,-0.004415392127451942,-0.028077987773520625,0.003059576444804316,0.02812911225833692,-0.030346746473320762,0.042268776577760944,0.04468028633189248,-0.044187782983111386,-0.01831866048353789
TNFSF18,,-0.012514583025850423,-0.03053222550915981,-0.016905244579067148,,,,,,-0.032837980124210776
IL36G,,,,,,-0.014145037220349398,,,,
RTN4,0.05483836535476301,0.06305852899963851,0.14611603253790498,0.046189371486582594,0.0747067512542703,0.031851290039648275,0.030107638079186726,0.05734260893409992,0.04477169133647828,0.14389729605378826
HEBP1,0.11790100640250145,0.026343729550914928,-0.0836102821438157,-0.021559262175044138,-0.02888735180752082,0.02198447278855337,-0.011180421263218393,-0.007693836217489457,0.011961865829428537,0.03149732647710388
WNT7B,0.009213788342402374,0.04018133950446453,0.08052368866519186,0.011214319351191314,,-0.015547025999049032,-0.04254488626683056,-0.011283185167403618,-0.025860405958167635,0.053832235298688844
PTMA,-0.045133847643347436,-0.010019134750674305,-0.023847741906535425,0.050151384457632384,-0.11141734348503973,-0.06314370669529346,-0.025337622652127138,-0.04519466666230781,-0.05117831591069917,-0.044887964956561714
CEACAM1,,,-0.04017866978451796,0.015229867746028636,,,0.047331200706286033,-0.0052012036995289345,-0.017163927540433558,
PDAP1,-0.0631799059221142,0.05125978305321912,-0.06493092513566143,0.04775602921435797,-0.007783981556655516,-0.08245964011450839,0.06789703438423443,-0.003505017599472406,0.05470434047325048,0.006747952698284336
QDPR,0.07038857566718502,0.015097377939245718,0.04150861793403595,-0.02577809094537703,-0.07579580703757309,-0.04570323170470588,0.0039008760029598777,0.003028451296206767,0.028681138198332585,0.08648026631343714
POMC,,0.020075503468244497,0.016111082543681494,-0.01961550897429828,-0.04214678205860687,0.005941869943497432,-0.04150554521325125,0.017341681184044055,-0.028077930705968434,8.588670987504934e-05
CCL18,,,,,-0.05927923614488646,,0.007015294522033791,-0.022370359424450287,-0.03871545681877974,
CCL17,,,,0.0057963436358528155,,-0.012921893078259705,0.00855313036644911,-0.008678376450824433,,
