,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.03324413179978256,,,,,,,,
BMP1,-0.08192500288453344,-0.019478357687993976,0.01829974077154633,-0.01772913263755939,-0.060988276043772396,-0.043095567333274264,-0.1935978117007435,-0.04959127895675329,-0.03218670229649256,-0.1034121022332506,-0.15960267955145346,-0.12987929663819286,-0.07746291704205055,-0.03500224532649758,0.025217219524508852
NDP,-0.040310418962465004,-0.042214541318350715,0.022008581158482525,-0.00045539917303609727,0.16323188988015927,0.04389291398721578,-0.023201123907412965,0.03624873963050469,-0.005629683308560815,-0.09540816869730744,0.03580072175362405,0.018345219482389014,-0.011274851641740684,0.15392475270699624,-0.031650130984389645
TNFSF18,-0.006692610941786351,-0.004670780708840061,0.038077863798551354,,,-0.0218144827364444,-0.04150831949400222,-0.02904933628827663,,,,,0.07283211317895112,0.007704921052724609,
IL36G,,,,,,,,,,,0.011478616663991912,,,,
RTN4,0.20579605432244166,0.046973849394815165,0.0866673655373535,0.018966141910940842,0.15162219704131502,0.2010513841451541,0.2663878618275646,0.09985584439866493,0.04633772756770779,0.364995428271745,0.23522343468133156,-0.08597660889574012,0.018821604683562775,0.13640340275157548,0.06741785127844459
HEBP1,-0.026333644965982603,-0.00910154818595697,-0.017513030191677277,0.023058842389071233,-0.0553882720840663,-0.030299720805588407,-0.12922094145030627,0.004600363761908816,-0.018637919138866876,-0.13331919637509773,-0.04338679667942675,-0.032055151705653144,-0.048486947374144884,0.0459443056379424,-0.07258576904016516
WNT7B,0.20076196984955685,0.041795335281816864,-0.014035261023136274,0.06276326113876594,0.013528100466776764,0.013673095589547421,0.1795794347045057,0.00869597464962382,0.035978246948963295,,0.14907671193238115,-0.02313555174866961,0.071673441083358,0.09588805772616815,-0.03929241373198355
PTMA,-0.005253127152973194,0.058836928241712244,-0.05922455402859672,0.006459438487431456,-0.14390364934938296,-0.19411408473941377,0.07656776251770776,0.0682858783052713,-0.06508377347633093,-0.446267659326827,-0.25750923831034783,-0.06842518457132395,0.004495477378284072,-0.09297657530339777,-0.16615291459201223
CEACAM1,,0.021094082177327975,0.019046563894847726,-0.012463219038328852,0.02789865362907938,,-0.024368743894203963,-0.02542536612831453,,,,-0.01535540217212633,,,
PDAP1,-0.0030642108981921014,-0.008039466723061751,-0.007075282038681774,0.00047997405482094133,-0.053253567102023815,-0.02936604664224837,-0.13676867404773654,0.016525179393263336,0.022423109535932056,-0.030325265493724708,-0.11388528188034987,-0.1260493624805837,-0.022043260206431534,-0.027368505011137422,0.005434373407928181
QDPR,0.0812814685380264,0.002795332993578019,-0.0018225187116508246,0.059578709553763744,0.13982804991763764,0.11413334472710929,0.08684576822120785,0.055357749455747576,-0.034630214876910224,-0.3686929711029941,0.04614176548357954,0.07649187812474183,-0.007647613897915385,0.12928803081208587,0.028933556718836063
POMC,0.08953163783189746,0.07511025708328492,-0.019138737110427347,0.025324192086328086,0.08641744207364342,0.04017521048585984,-0.012798998201945268,0.00962795302783402,0.0013258235397838956,-0.10835503418768724,0.010305135431171068,-0.025119420781494955,,0.10269491584379378,0.0067100787479089435
CCL18,0.01250652322896588,-0.03556993429454178,,,,,,,,-0.0957770448308665,,0.018381260063787076,,,
CCL17,,,,-0.01786707195005961,,,,0.005564529465101894,-0.02451725539481017,,0.11226842331129863,,,,
VEGFD,0.11539829786946285,0.0037675087641063053,-0.015427609723647795,0.08146291926225799,0.002183237088990363,,-0.04886067498501327,-0.007195553462494264,-0.03535438755293878,0.03535712356964122,-0.03218880698660287,,,,
TNFSF13,,0.02508804183616124,,-0.012324306354273142,,0.027515918119856805,,,,,,-0.01724308748131449,,-0.034335971846704734,
WNT5A,0.002831114049928593,-0.015351896853638932,-0.04891455822448484,-0.010932282225880484,-0.10248240334487028,-0.12596915434289754,-0.15765937861380191,0.03617521698007779,0.04582929175945973,0.03004646813884806,-0.04103309058783808,-0.01650750576868886,0.024951860655449763,-0.01283450896318594,-0.0305298195343068
CXCL8,-0.0908004740524565,-0.0626996976276332,0.029475368508375944,-0.015437016834435553,-0.11520790107162872,0.015109492708648965,-0.02582082228730344,-0.04109542097691297,0.009916926490668181,-0.14048159740104213,-0.09677942601120904,0.017514667040928814,0.04910524046819959,-0.06732583802119568,-0.013966003587133789
GRN,-0.05646911194612323,-0.025168920717372967,-0.007857485426248095,-0.04338922395799236,-0.062086186470772124,-0.14172830901747074,-0.15918284115897793,-0.007629528562446434,-0.020939818742168995,-0.293214648926799,0.04841545146590934,0.021759221639767637,-0.014338765008680398,-0.00403334017556678,0.017148617725467902
MIA,-0.027440787441553142,0.007829308965845156,0.05885378560222347,0.02686867820590266,-0.07888544161459292,-0.014080033876055824,-0.06985665026927508,-0.03493679475160915,-0.030762983252911134,,-0.019378650401612345,-0.09950769150002585,,-0.028550567847339243,
COL4A4,-0.04220061406217255,0.008571357427965819,-0.02307335243168368,0.022003474050454077,-0.1150799003464146,0.020278419466797794,0.005828014742968279,-0.015949992467348,-0.032516256693473425,,-0.042763160391936894,-0.030946442695046105,,0.012051028119925651,
TAC1,0.10956094944905305,0.17128814447854715,0.06700101623825012,0.13417675447900707,0.21383072373281606,0.19290767046218538,0.2642942132149618,0.14410301479361126,0.036985658679890655,0.3431920328038263,0.2471745240641727,0.13656520872618572,-0.113827530880284,0.04985390683053729,0.03822707540764157
RARRES2,0.05091521673392122,0.025024325314136172,-0.027544569130583698,0.02647082223004765,-0.14230661980071047,-0.06614243659909948,-0.2230226567047862,0.029999021761729895,-0.03988660494900581,-0.0939520741698057,-0.15889581522702287,-0.035713654679003996,0.10926218396970477,-0.07510711109360743,-0.0053822804651693455
FGF7,-0.011151193199824935,,-0.017412910260548285,-0.03167104278941996,0.10154594987843742,0.05617502203114549,-0.012836583151310069,-0.011705357020582393,0.07562718532058578,0.07964880954478239,-0.007471209090597885,0.013152657750449203,0.06683557178632182,0.12252996969722503,-0.05192623922051128
HBEGF,-0.005344903854547189,-0.02188181369102588,0.025856822936976703,-0.02183376864461769,-0.0656677375344992,-0.048465209906696345,-0.030148748770564213,-0.12917018136858402,0.00906876687159965,-0.17337759147084753,-0.041687968130399294,-0.08701141334251927,0.12633235179883226,-0.07186371359654638,0.024817691361816902
CSF3,-0.013141871660167833,,,0.04705586075368202,-0.00726004038939159,,0.0004989593602164936,,,,,-0.022014066541193963,-0.05478236431926441,-0.06583497079588704,
PI3,-0.0499928807741647,-0.03742107056868467,,0.011552498379984861,-0.025267158848071403,,-0.02932932476933994,,,,,-0.08010816398012899,,-0.06469071407768018,
PCSK1N,0.14109843910772044,0.02776546236154039,0.09189977841436679,0.036994060031898826,0.0655470095588439,0.05871215776947217,0.14147463377021574,-0.07439047602806925,0.04327489457582876,0.44150444698626357,0.22448232595252943,-0.08404536222143644,0.05137037806164625,0.123043206378828,0.11563479218482606
NTS,,,,,-0.0619625505012985,0.029438388525571804,-0.02502623005125015,-0.0018758549414305437,-0.029279202648332614,-0.06205824856833297,,-0.03379203596714216,,,
SFRP1,0.1266472697116929,-0.034039019074804104,-0.039705790632157345,-0.015589710902909401,0.1062994440437603,-0.0026457486567490716,-0.046092049517975124,-0.020712767345496312,0.029907259633053372,-0.11005804830856801,0.08204998624096069,-0.04852404512995319,-0.07465693282861953,0.01860672153972073,-0.04035243304632608
CXCL13,,,-0.026045730844321324,,0.05558559427615566,,,,,,,-0.03590952356500301,,-0.05603908203000985,
