,UKF269,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,-0.01569721653105706,,-0.025018560198186296,
BMP1,0.10604817682195929,0.052381959892621385,0.002965757685321382,-0.008885035516035337
NDP,0.0322346169174678,-0.01826234627427947,0.10123651175454797,-0.0005451928322438378
TNFSF18,0.04158066112805996,,-0.011332944664608435,0.017876834215592472
RTN4,-0.13146407566756227,-0.01590975414234531,0.022186443948897485,-0.13430777009767408
HEBP1,0.034234132646578416,0.006876701281381196,0.04012925502976092,0.006276057953186657
WNT7B,-0.012060938665795292,0.03376131214330298,-0.028119014719126572,-0.031115847720107434
PTMA,-0.04038123411046616,-0.028311915708849916,-0.09576592512575703,0.018445771891812186
FASLG,,,-0.02169858872468183,
CEACAM1,0.08120388832703473,0.03724442886627024,-0.030190399267805066,
PDAP1,0.06419545983077679,0.011950503912533902,0.015063262036385403,-0.018715520461201528
QDPR,-0.1229231327080779,-0.04230214400344501,0.04746901044555127,-0.034729068155095855
POMC,0.020967553338663226,0.07449170839487386,0.015375296956686163,0.04746989734386383
CCL18,,0.04289737562938763,,
CCL17,,-0.02190627078720994,0.15384795407187998,
VEGFD,-0.0262970483699775,-0.015175142431838467,,
TNFSF13,,0.0445017091745392,0.06370087807132176,-0.026444421604732676
WNT5A,0.0740462489583225,-0.0006440213725605554,0.00492519218177327,0.008240914638406094
CXCL8,0.07919968815357405,-0.051826797271025925,-0.01627392919185056,0.03126940724285692
GRN,0.07443817837176836,0.048044343464675815,-0.014541552764067352,-0.05955462482178564
MIA,0.07110209984233173,0.027595253929865168,0.032381280006834705,0.019429126517056326
COL4A4,-0.015468441762836219,-0.0242977758021437,-0.003891608818253254,0.16160047062764055
TAC1,-0.07523174454295449,,0.03789876836256263,-0.1257092610078842
RARRES2,0.10694377616853722,0.0062312371302129166,0.04630123542881012,-0.012166728398177154
FGF7,0.008949658708000536,0.042852741055520775,0.08532279855918122,0.03969707406801458
EFNA2,,-0.01442295731423432,,
HBEGF,0.06494137334565217,0.05316288551881463,-0.03704409812729914,-0.006172860643345917
CSF3,-0.01636531365454813,-0.042860837321659795,0.20242163598561763,-0.031089157220985708
PI3,-0.0184275591737816,0.008148997229422524,-0.026680427355735573,0.011260724656091549
PCSK1N,-0.003895908897672585,-0.022246766395910618,0.06916789186488015,-0.10036190225918803
NTS,0.09375846233051352,-0.017571636537632846,-0.030663751918497267,
SFRP1,-0.012075961481264157,-0.004588790399576014,-0.02995120400874463,-0.038786226798265655
CXCL13,,-0.015649469240531635,,0.05705943325157849
MICA,0.03901763902105125,0.03934899690912888,0.057847659422005565,0.05905630670585301
TG,-0.019751469409560626,0.0906522271974466,0.02361205768285636,-0.027789848144653444
ADA,0.04329521648379723,-0.023205260442519873,-0.038029169676632425,0.029675514798043576
LAMC3,0.12809443438299276,0.013385762971515681,0.012820552210482596,-0.01188709970839064
CCL7,,,0.01629959009922099,0.06651797880056669
NGF,,0.18474012091903155,-0.017528115929414168,-0.03523355714291911
TNFSF15,,,0.025768543657398394,-0.005683969002651936
HMGB1,0.09170944636645365,0.019459019505733456,-0.01863196756479618,-0.021254052359912994
ITGB3BP,0.07155824895527962,0.011109104881337433,0.03582416217087714,-0.0257899611648637
AANAT,-0.014761955793220555,-0.019409394149937687,-0.02295800358553203,-0.01898300110821504
RELN,-0.008229145588282836,,,-0.006224406589968881
IL15,0.0017417654882862696,0.001846202247989782,0.02839487256682654,-0.03847177913429397
UTS2,0.18233755333466872,,,
BSG,0.0028784064843891365,0.05202498404512832,0.0901205703576279,0.023416802378523036
ADAMTS3,0.1549710766395667,0.05152138253909399,0.10414213934758573,0.005674383316557859
CD34,0.054543141979906465,-0.0009649820996132707,-0.014505427522633289,0.06195556719025657
CCL23,-0.016796762386437233,,,
PLAT,0.10914842453687382,-0.006549325617004446,0.013872651405950344,-0.037213478542366674
NTF3,,0.039327028815594085,,
LTA,,,0.06785219679337647,
CKLF,0.06600787614019732,0.03684886929375385,0.055113663244182015,0.14827929343578933
CD24,0.06917218703843503,0.033757350024747196,0.07451481631755635,-0.04884316598964244
HSP90AA1,-0.1034399952649888,-0.03595942427665776,-0.09642402263531076,-0.10513034938132972
BMP4,-0.0077759159046561326,-0.047768382228103166,0.004613332612148636,0.02983512414666551
SCGB3A1,,-0.027609246688767006,-0.0357717120638644,-0.038146450780725746
IGFBP4,0.10071100502287567,0.0016505900139941845,-0.006683294954177078,-0.0809677221864864
RSPO4,,,0.03363413545686556,0.10426111239880555
LEFTY2,0.0930718789670135,0.08066046083882325,0.05682699226190896,-0.00849549630089429
PF4,,-0.013219638926348446,-0.03089800582191961,-0.018751059659862023
ANGPTL2,0.04646835393832855,0.059457501651531096,-0.018123152414418215,-0.06258019572090298
LRIG2,0.07796275306643867,0.019760144713130704,0.07634292159447713,0.000707361553305709
ICOSLG,0.10617865458889662,0.026687816375211414,0.05648457122350625,-0.05329364184390076
WIF1,-0.0486551466319396,,,-0.03440779384680247
NPPC,-0.019974963108136682,0.03980429485422156,,-0.02191590855560022
LYZ,0.07655302701730374,0.004853522931850842,0.0049753517806755835,0.013015000030028439
EREG,,-0.042005969875308496,-0.011605042280045956,-0.021588024347219723
SPTAN1,-0.05036196782959391,-0.038754116827063534,0.07539942995049195,-0.08564705957466923
LIPC,0.13586305750377103,,0.05169897165547915,-0.029241155120518572
COL8A1,0.03984801753445835,-0.012983749917163091,0.059513143584441305,0.06965329058709856
GSTM2,0.02388325913579332,0.014689798486038241,-0.013626316488925845,-0.021140044127273473
SPX,-0.05177153019258784,-0.01641387144263101,0.07668584839190616,-0.0012373248300324294
MFGE8,0.02231794676662732,0.052609342856900755,0.03986723400219172,-0.02240628805434154
TGFA,0.023320697837669813,0.05641468855386328,-0.00047834764916623716,0.07831578405084755
SLIT2,-0.0014247479699111205,0.03580697071737399,0.022150846163904583,0.031398774405444564
PLTP,0.1341023203900566,0.07875966153081167,0.01834975898055383,-0.03830707325628405
APOD,0.04911165681352597,-0.003310433830392045,0.03233201643878503,-0.025471256276164828
B2M,0.13536598985292386,0.08562619598695675,-0.017842175985184665,0.0030918015144164868
OMG,-0.04080027600911823,0.02784476809516935,0.11808168929167226,-0.03190769396129343
CXCL3,0.19968814189465398,0.0025529660371393197,0.0421112603055045,0.002750982706139423
CXCL10,0.10689987265100345,-0.017731368127137687,0.07532727465966328,0.08941612427096952
