,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,0.042689788311929294,,,,,0.07179960638620475,0.0034066817047255804,
BMP1,0.04466280014412777,-0.003083331126321351,0.004833486063520999,0.1298915073414663,0.015175703406084998,-0.041653577290371384,-6.529438671689878e-05,0.04753172402689473,-0.04812306503678906,-0.0004350113382283257,0.02735673547388124
NDP,-0.01247073072351277,0.053776322286969484,0.07340762450233616,-0.015633613064837546,0.014464152998930117,0.02320469536103856,0.06462726407447689,0.031039386044032335,-0.06256007558875776,0.07910671872480593,0.041103536757113084
TNFSF18,,,-0.012024543715491932,0.03133413763575655,-0.01700442852580645,,,,-0.022166724290201785,-0.030040240765091784,-0.04389660859055503
IL36G,,,,,,,-0.014899818952724957,,,,
RTN4,0.05439818663464457,-0.016406154421945863,-0.035130851676362346,-0.1554110627985099,0.027656745344417324,0.011658768466464783,-0.003106626540550832,0.01882205854965106,0.01983865053251691,0.0007510116911285541,-0.03159135130645725
HEBP1,-0.015693249446364833,0.05731659436817042,-0.031025399738737826,0.049955827790413514,0.051299609161617576,0.0012331577819333784,0.03166889250899927,0.015571117531249358,-0.04983373877942625,0.05418943892332071,-0.011321091600040268
WNT7B,-0.01783304029571466,0.040321534067219764,0.044096222735489035,-0.03383051676337104,-0.04874161146669702,0.016536885592354805,-0.016376618105032912,0.015968715280633712,0.021695898044965505,-0.005542465082548816,0.09289139455147977
PTMA,0.008481538404768528,0.016406200650967335,0.013977148001073757,-0.07936029875081092,0.03855928506717031,-1.64283120874986e-05,0.029278462306527222,0.013101159641822369,-0.006753316367142792,-0.071103470819957,-0.031230856945908186
FASLG,,,,,,,,,,0.004598792499665084,
CEACAM1,0.024035367949373616,-0.014777320781550952,,0.0747890097955892,0.03625815968592992,,,-0.016479390531004397,-0.031851268567680974,-0.039795300646514695,
PDAP1,0.01177049054772756,-0.014312982399041285,-0.0216935971792679,0.14007665872484218,0.05077552370691238,-0.03542469327576129,0.08666341085097563,-0.0068084357254348275,0.028074345326833103,-0.0586668303719072,-0.037294466855017507
QDPR,-0.024472585728249847,0.036214650135171465,0.03763394248132227,-0.1563252381597542,0.0008319668118275747,0.03006927644245037,0.007337230485124073,0.027811621371053835,-0.0028485316432796228,0.02573360756613411,-0.008819103996283262
POMC,-0.019738528790473196,-0.029735463837070805,-0.0317231715566452,-0.02958120385663357,0.035685007971095514,0.02438687855520352,0.05201445964965073,0.014565091031694804,-0.045068104579859485,0.023736124028693,-0.0018026491946895645
CCL18,,,,,,,,0.02305181411356067,,,
CCL17,0.04462235867968919,,,,-0.021207833032224243,-0.013093588512851678,-0.013611407619030891,0.011064749413920084,-0.028339033965580906,-0.03172015345584634,
VEGFD,0.03674829042491655,-0.014138103859097145,,-0.020764011453623967,0.002034297764574092,0.04975113344919269,0.008387955378978448,-0.016479390531004397,-0.012487392774746857,,
TNFSF13,-0.012959455746023743,,-0.01166129894270579,,,,,-0.02585786750454269,0.06921951702119443,-0.04378432725090935,0.09375274477529698
WNT5A,0.0414395602284643,0.08483805578384013,0.003299716285883625,0.12933488133161955,-0.015745909418308827,-0.04151567938373722,-0.01168611639785507,0.024555711372685914,0.022465200401240434,0.01621514070349868,0.0006883877501985602
CXCL8,-0.024677057945746577,-0.06864892959378928,0.005204223495406412,0.05765515246611261,-0.008569207883861391,-0.008943946909790642,0.08877273018693897,-0.03265717083693566,-0.026061776168405028,-0.021762850340754578,-0.02912200343828245
GRN,-0.016683868679462553,0.016844577556427993,0.00024106025936430537,0.08935063290676182,-0.017475571479589277,-0.020254775925283068,0.021306441414659028,0.021791701898560636,-0.004920960392610927,-0.08162393218895135,-0.007854652174273426
MIA,0.07342694034636595,0.008206929666289458,-0.02108587750066682,0.046650872823227336,-0.034789753002202474,0.015208706840127328,-0.002857368951334022,0.05624457178909287,-0.007359116653635522,0.12161430447451758,-0.0023384875569656314
COL4A4,0.03774198174017056,-0.009068643472424042,-0.011095210742947849,-0.007345096923530822,-0.009312579210819188,-0.0183495611337926,-0.019379998334756576,-0.026386080939722993,-0.04365399103743268,-0.03894421001890724,0.09441977732918862
TAC1,0.08959190226040704,0.012433446307993399,-0.009403667341744318,-0.08799272631302772,-0.06753984470431966,0.00910372314591532,-0.034345412938932736,,,0.023758227832036752,0.05085331126047557
RARRES2,0.013508812150857887,-0.01673260911786813,-0.01663429296466376,0.1504711327860494,0.048920446416465264,-0.005039060107943939,-0.033309595308839875,0.02105046723702125,0.014039639917110366,0.02094920628176599,0.010566991773955222
FGF7,-0.007319827639467471,0.0012177674529288702,0.015098149119443972,0.08484166727611739,0.005774704544721042,-0.03808991812017873,-0.035512267305737096,0.001984380960807535,0.04370756554520273,0.09123755875617827,0.07791747287507152
EFNA2,,,,,,,,-0.015662557848195337,,,
HBEGF,-0.022785139004244365,-0.050956480100841084,0.03523177844158934,0.06865875637222976,0.023906148614226096,-0.024664777462535453,-0.018468842209686857,0.045169762950038744,-0.01803726868813338,-0.023183997381102227,0.024232940360948425
CSF3,-0.022393508925022038,-0.03112125470061126,,-0.025153778777201145,,,,-0.026574603191312548,,0.08647860582239436,-0.04728862344436193
PI3,-0.022183921629864944,-0.007908419584483682,,-0.014104388481096236,,,,-0.02669493938840885,-0.024078631345780907,-0.060909184567856614,-0.0012362273004476543
PCSK1N,-0.02853062058304489,-0.0279267643018033,-0.0201264150757808,-0.02507053789255406,0.03379597667543242,0.009565597477897073,-0.0501141165353886,-0.004387932403211339,-0.030909586808422818,0.07926774267959283,0.046763543223893055
NTS,,-0.047360922264232545,0.03985362440097999,-0.0309170198995591,0.05085992810886527,0.08176751406995934,,-0.01908185455742284,,-0.03120650494901532,
SFRP1,0.12896636460899688,0.006195029253466464,-0.0013493392093560234,-0.00938010727452777,-0.0021509001360038396,-0.013093588644714868,-0.038866597073830604,0.027271702576144256,-0.001246016080084975,-0.014953027361557228,0.03434450010116707
CXCL13,,0.03027263222380692,,,,,,-0.0001658046576554946,,,-0.0236563197699619
MICA,0.007295222631102486,-0.04072794410088994,-0.028749136659889193,0.022556100743454207,-0.0012524460850763133,-0.04921229915626767,-0.003587598017372363,4.9647880998154624e-05,0.07142761663010658,0.03471548149906673,0.07117587915273166
TG,-0.01769080309410296,-0.012602520742562406,-0.015634190600281574,0.14283601883890268,-0.021366089201477832,-0.009475773146256633,0.13110540489146194,-0.006388463685694544,,0.08297830926896003,0.08840881974645985
ADA,0.07466647016475063,0.012652549357210016,-0.030542927061136857,0.09114934206103682,-0.0640975861671657,-0.015389417631704398,-0.015262193528493567,-0.05675176853449915,-0.03651528891512135,0.031192087102339554,0.04300521270071645
LAMC3,-0.012026701643929494,0.014488010249253442,0.05102929830165931,0.14763172061208094,-0.008468616460461964,0.05140129083421359,-0.017830850520818793,0.02657551017709905,-0.015141290154217519,-0.0004858786722434274,0.06909055751647065
CCL7,-0.012790422371921888,-0.02119206087653964,,,,,,,,0.026129460424428114,-0.03971525275729118
NGF,-0.02930612448132911,0.009510325055476445,-0.014919211188740187,,,,,-0.015452026720255653,,0.02678867304443476,0.02943521375301784
TNFSF15,-0.014242760882679768,-0.015690529959371858,-0.018115193167416308,,,,,,,-0.0314774888467668,0.06220220948760113
