,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.04227581456835701,,,,,,,,,,,,,-0.001610654803123873,,
BMP1,0.018372978276293795,0.0502749006603793,-0.04906846602465132,-0.13909098302449688,-0.10842160421732935,-0.0063258817998761725,0.014840830813247266,-0.32667655322035866,-0.055078025319015594,0.044844210031933715,-0.07899778018046437,0.12003096712932443,-0.1989235626843051,0.12139438244290843,-0.004427622757808468,0.11440930326425812,0.08482421296084258,0.0448258372378529,0.08644795959912031,-0.012138445337850131,0.26469544105180165,-0.07041365441490262,0.08294989423740255
NDP,-0.02933715335094469,-0.05579065426704709,0.015288590576503237,-0.11407762316004089,-0.17291221744385127,0.07410725182809046,-0.015217212795517028,-0.041980087440414,-0.0494770361493958,-0.05496606692586874,-0.08301812730458305,0.06350261417245061,0.00030681894332335377,0.06215336875284497,0.0407702920550284,-0.08285401586564008,-0.019860871531014995,0.025139740504057075,-0.008471258795109092,0.013086121702959384,-0.057025018696048174,0.1126523857384506,0.027424782622004894
TNFSF18,-0.019581142485735385,0.0189237745527654,0.029734526768437672,,,,0.06694462794897248,-0.07832809014828478,-0.035549928679916035,,,,,0.3045449411998669,,,,,,-0.00830874087973917,0.07734751044255557,0.03696815909933232,
IL36G,,,,,,,,,,,,,0.03202099700443762,,,,,,,,,,
RTN4,0.1668532241935749,-0.05056111616329664,-0.02082332393810089,-0.0738366784082563,-0.07277517356878183,0.025592539561141492,-0.07659049104544867,0.3731067320627124,-0.06531105251899623,-0.029885950180132546,0.37768785992170895,0.006833116354544394,0.353738114822706,-0.052990145512706366,0.04760904685140279,-0.038647227627910764,-0.06118714796797514,-0.07729554077261697,-0.02534341925853685,-0.003352816448895313,-0.05657090950979685,0.07719076802091623,0.04852661222373007
HEBP1,-0.012890417067228432,-0.025091964730269433,0.03308023284370579,0.07197084601662279,0.07344602321005417,0.0462095328584788,0.04791610250827488,-0.18307721539140168,-0.03712817854774297,0.09354164895452148,-0.0664643937964569,0.07904290851340069,-0.0858716662405015,-0.0014718320791955828,0.0717788482150315,-0.012488100085057014,0.08096011517542664,0.04016890056459197,0.05110271257449011,-0.06780030435648121,0.06519260960002796,0.051786948573866905,0.019763591456028982
WNT7B,0.2363213108460501,0.0013488089512706312,-0.019754889270917456,-0.030869229412060113,0.11994429305069733,0.05583835652907582,-0.022643202683388763,0.008300053093714496,0.03893591757271782,-0.02627972949751128,,0.030329865008478177,0.11149151946345992,-0.029394534062496366,0.019410728275496152,-0.0488384355649558,-0.019990917997716268,0.010008318021890273,-0.03429026703780029,0.03864641710680293,0.1454472403819787,0.125546677782352,0.03310151381523865
PTMA,0.00149079498604479,0.013328263532383667,-0.05453388880253791,-0.09038054052082109,0.202683217485278,-0.042562837642952274,0.12071535493502376,0.1648807566715893,0.0698211428286752,0.044612481214214975,-0.43180290168771457,0.14948532880728416,-0.31260807741961183,0.037340465203146544,0.015289004701736266,-0.04866113189191214,-0.06733812282310955,-0.04855319521601406,0.027106139322343854,-0.14803366550887348,0.2228756530716539,0.009884193659858011,-0.15085721606175403
FASLG,,,,,,,,,,,,,,,,,,,,,0.0953762110301329,,
