,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.1464704224677414,,,,,,,,,,0.061269770732897244,,-0.01665337021602365,
BMP1,-0.02519879362791584,0.02948745347451596,0.002591484011895242,-0.04713837318751712,0.044188616038092605,0.0013085521394219514,0.0009976139494222947,-0.020076118749517865,0.0035680446494005327,0.010997412557972099,-0.019404255734443265,0.11175809640357996,0.002861454933076895,0.034338163020951586,0.021640297584305437,0.019273677037291145,0.011179583099636898,-0.0012892913588822266,-0.05497980716295344,0.04393683504021942
NDP,-0.013405637313548038,-0.03874210043872324,0.06828984194171638,-0.0036057595714379925,-0.010258052013552054,-0.030799225952542968,0.02261903037414487,0.0009649126133489203,0.02126154686162605,-0.013455857161747053,0.013658689903568857,0.03331362057361922,0.10838678593690612,0.029757910249832133,0.02616344651813753,0.0704647182607745,-0.013568145051228877,-0.007242483905770302,0.023757809890116707,0.03334574766505636
TNFSF18,-0.02100097598661037,0.07515564281877542,,,,-0.016407529429827233,0.02020925210151176,-0.011674762757076834,,,,-0.028076707552437224,,,,,-0.020115896622290193,,-0.028091258237451983,0.15615798046069054
IL36G,,,,,,,,,,,0.008861843191819338,,,,,,,,,
RTN4,0.05411077416696083,-0.022494228638727198,0.025926877681356986,-0.05649695806824408,-0.006615270631094219,0.050507593324539954,0.0012945429722784796,-0.03009377616791076,-0.048232429398562086,0.030978098397218167,-0.02172707044125048,-0.008112312490821233,-0.15911767126108717,-0.11241270320494616,0.01567173344853171,-0.06725065343012773,0.06505997270140379,0.07871117978129624,0.06709188404352699,-0.01604540156977735
HEBP1,-2.7844853510849046e-05,-0.03688253071532184,-0.014577715695112873,0.016759674964638985,-0.027444238401329313,0.0381817646501655,0.027935621600645597,-0.030431548311848862,0.042143199664268535,0.08000955225864419,0.002360372863124422,-0.017493525369452187,0.01597198439288831,-0.06191201629890695,0.07300445771138445,-0.01641414221119796,0.03946277593845773,0.03210151554379275,-0.03245564994903032,-0.022970714286155318
WNT7B,0.039515715031183465,0.08222981269786168,0.02952162552273215,-0.030400205263040127,0.04020772355811014,-0.010482182874313295,-0.004065440073768168,0.029727952886055002,-0.013194806080898415,0.11486469293285148,-0.01596693912532248,-0.030909714576685107,-0.05820462921255386,0.022004168874254708,-0.04840503925084884,-0.005529285026196592,0.022053657346503885,0.004776756155205435,0.05622276773921775,0.12009816156937533
PTMA,-0.019506291359944253,0.013312703946221046,-0.016053901392153423,0.03307208721410471,-0.0713307298249379,0.018860570372865437,-0.02148115699999019,0.009404751560197695,0.024378473847932697,0.07658960780021398,0.004589368814326885,0.0015958517916165277,0.007338369132922853,-0.08888196216219808,-0.04604087245277705,-0.02531314338901081,0.06677625060751698,0.03895231681922021,0.030507738104159864,0.03120320891208431
FASLG,,,,,,,,,,,,,,,,,,,-0.014443462306977966,
CEACAM1,,-0.020422428697143984,,-0.010083564161550268,0.15286191295821575,,0.01866104842078363,-0.01836162049101432,,,,,-0.017991394315649854,-0.03312232367721289,0.021316802229885946,-0.002995326513121464,0.0594632444025103,0.07323882107936208,-0.02009595644168105,
