,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.09139414669142659,,,,,,,,,,,,0.10794519236696982,,,-0.08584990781697903,,
BMP1,0.03626054948567684,0.2217261572113334,0.027169700438899647,-0.0055432503934821275,-0.012720224623243707,0.057513967201501565,0.02735968672214544,-0.5318215038719778,-0.014930513287068837,0.004856609948363877,0.030592923136279086,0.0489211535389949,-0.031483692492955066,0.054102253803030936,-0.04123570996819032,0.055880741179555576,0.0905350110461051,0.02723564813372729,0.033309934799258874,-0.020932379864553555,0.10217732503222988,-0.009951037286516298,0.08962417617313975,0.19861854754635938,0.018819608807439096
NDP,-0.01871187924657386,0.0009530503727494117,7.162696684969224e-05,0.05116351036251985,-0.07985978146291588,-0.018075242650838534,0.001764487162036606,-0.12632102074673007,0.010202516820008244,0.005435934431994053,-0.07449670312911261,0.060977198571259994,-0.014465559890012313,-0.01497754364613587,-0.07698532167089372,-0.014793669868696763,0.03918387170116813,0.11953937347125312,0.08726116687116156,0.005549541333915855,-0.07995590335070359,-0.08699957316812411,-0.07758630482372783,-0.023452440905866307,0.06727553714122282
TNFSF18,0.03342886877402846,0.06628859967724052,0.06696643184928332,,,,-0.027878028146964107,-0.07277148083080334,0.05177973988621168,,,,,0.014819725951926953,,-0.05230094693391112,,,,-0.01651122443516004,,-0.029819705985168928,-0.006383688080229085,0.10709556193163548,
IL36G,,,,,,,,,,,,,-0.03333501762378868,,,,,,,,,,,,
RTN4,0.08544615217064953,-0.011699926536774615,-0.034819557951490526,-0.036344458453499456,-0.010427012826845187,-0.054031808288199194,0.050662521605217226,0.6702063612900581,-0.004652321678629147,0.07231025301506835,0.06882309762051836,-0.05505232333291283,0.12724775646406702,-0.05630659993987014,0.0455876526998625,0.1031365373479769,-0.08591649041925949,-0.12305197944716191,-0.14656913776485345,-0.062157213030290384,-0.18815710409161604,0.05490858321666755,0.023082770179095106,-0.33949815399378086,-0.03580062978860501
HEBP1,-0.0403108197541351,0.07232565013589955,0.01922537631997738,0.03854036078807581,-0.0173046737389534,-0.03321506374197837,0.036284159444254324,-0.22753533703049553,0.04116400933624654,0.03038531990499753,-0.0028582275193329665,0.0014449479390625177,0.00991623482419796,0.0430979563993086,0.10157005051602927,0.01738029392853752,-0.05634185025956697,0.003910597296429166,0.10350814334129865,-0.009631943324486619,-0.045467935432853206,-0.03206273246259458,-0.05547898305283092,0.10741905742225513,-0.12029322948913157
WNT7B,0.06477224857110131,0.024140391431639662,0.0015043139847780661,0.004726414919005284,-0.03895873010170041,-0.015840204827087236,0.04534365282578773,0.43001891730631736,-0.04543213118040024,-0.014741164630588707,,0.05057591964492371,0.1356122951196207,0.05067520278975492,-0.015525240743391453,,0.05798531841247006,0.09540804587189075,0.01817168804577119,-0.037680079285829254,-0.03294565064773084,-0.052673927031196215,-0.015404851522868326,0.04645376891222105,0.06481058138631524
PTMA,-0.011543336853882593,0.10144880119577539,0.05994674137534433,-0.05984145476398106,0.010616412971308716,0.07005254684720538,-0.03366037965090862,0.11479226774912193,-0.08551949644942893,-0.03475639869534034,-0.027480565660923092,0.1236715203420919,-0.13290822442591388,0.02061973144862264,-0.0743518580754609,-0.018575387213546502,-0.06183725125247316,-0.11161860781322877,-0.11852670403453222,-0.02203340505657308,0.026963379021661623,-0.07915171868727482,0.13102668889014124,0.2329169285113324,-0.04762149261617825
FASLG,,,,,,,,,,,,,,,,,,,,,,,0.07896886329702574,,
CEACAM1,,-0.003621354521776762,-0.013221174095439842,,0.05303064262249446,0.02010187670634348,,-0.1073939361785212,0.05270234359383061,,,,,,0.06113730485228643,0.04962806239756642,-0.005692685378119972,-0.006914528831682228,-0.01547211356368334,0.018237627094140597,-0.04215188481698221,,-0.024647434682340107,,
PDAP1,0.05202101072420869,-0.01776884278942961,0.06755119936513583,0.052159830027726006,0.011383030902646137,0.07277489528818373,-0.03553138155011862,-0.3833694871889372,0.055617120532799894,-0.03888547597022573,0.1523799265268059,0.11690470715877217,-0.01835559648893459,0.04020119763762165,-0.07383762851414201,-0.1719719561067822,0.026800709279995037,-0.05926440575856307,-0.03214995621002336,0.008443085708774695,-0.06363604759550637,-0.08212508617088006,-0.026097029146605534,0.017527502601106623,0.09037277642045201
