,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1
IGFL3,,,,0.026628218417537753
BMP1,-0.03844617777341951,0.062439464374822756,-0.0009483051787256854,-0.00531551510804586
NDP,0.019170229944349644,2.823757960417584e-05,0.04920178465985278,0.10559701049149618
TNFSF18,-0.043522637397720186,,,0.06410239447465284
RTN4,0.03392809114805732,-0.03438840755567356,-0.009089549169054962,-0.013885857246761762
HEBP1,-0.020091243286992442,-0.006452685988961662,0.06922119545048373,0.11493235660739949
WNT7B,,-0.030467326426722965,0.04831572888278657,-0.00023086492952218758
PTMA,0.029114933769459082,-0.12270859599490624,-0.008763586623966067,-0.03715225910194556
FASLG,,,,0.054239684970024155
CEACAM1,-0.03060380050767856,0.08127382071672645,-0.013903548018087885,0.0127749132362952
PDAP1,-0.011785806892522446,-0.026772640659609166,0.0012575860263072812,0.03203121495379716
QDPR,0.04362782925995988,-0.04144630454656074,-0.009556179449536498,0.03633310847940863
POMC,0.16047663083757427,-0.04042943755990438,0.10788884059903188,0.06641472341871565
CCL18,,-0.019372871961644555,-0.04788028383826537,
CCL17,,,,0.06446033608850305
VEGFD,0.02913301628985381,,,
TNFSF13,,,-0.015612752573275528,-0.03184381675306306
WNT5A,0.027795642056039488,0.023795939857993068,-0.009609381760248344,-0.027509161407841074
CXCL8,-0.008121364253879635,-0.03410899121607371,0.0011487847587569999,-0.06956586373346003
GRN,-0.11574969644796523,-0.07487925448756023,-0.0015278213168445156,-0.09537361163809789
MIA,0.030964326904986416,-0.010702137051235471,0.016345310222439204,0.08965445365364348
COL4A4,0.024089084296554146,-0.024493363276741113,-0.028020454767418036,-0.04932401923818956
TAC1,,,-0.023987581208613835,-0.025691365147957
RARRES2,0.0991544965146432,0.03084405817434123,-0.0015888309354407043,0.036286182028300605
FGF7,0.045379666322319316,0.06112851413326987,-0.06632831389063663,0.07705273537513863
HBEGF,0.05352962024769237,-0.02754593578318704,0.02663491213045591,-0.06697206433528591
CSF3,,,-0.019932635290039347,-0.020575847774568026
PI3,,,-0.027979396666678164,-0.04470448155884096
PCSK1N,-0.04007265239260459,0.029185986453827768,0.05451344687809059,0.08049052711339329
NTS,,,0.09187015358450742,0.024442085511702002
SFRP1,-0.0021949778243559913,-0.012441870183937416,-0.008205692008067747,-0.0018905140454650404
CXCL13,,,0.005400685350460015,
MICA,0.02975148314288805,0.057335793064110824,0.06866112301433494,0.000799846033196362
TG,0.2467505720304823,-0.03154356488949122,-0.0164048651401535,0.0016013856573591386
ADA,-0.05266050345477519,0.0494979699048685,-0.01334939888480053,0.0818686104883012
LAMC3,0.02307292694881024,-0.07066852468573306,-0.03711544078496148,-0.03605370382437954
CCL7,,,,-0.021561493954316217
NGF,-0.03390070146875145,-0.028789310844356153,0.021146935927696977,-0.022216396266285507
