,UKF260,UKF269,UKF334,ZH1019inf,ZH8812bulk,ZH916bulk
IGFL3,,-0.016179709585212705,,,-0.01660307221009506,
BMP1,-0.04943078749398136,-0.015807925711804074,-0.05762767349985577,0.020166872707651506,0.0036535032048169947,0.057079158003173175
NDP,0.09292820150789417,-0.008402109096032723,-0.03490056475930407,0.013347324401707971,0.0014080675326414995,0.0317754909979028
TNFSF18,,0.04065693856021616,,,-0.017122455308836482,-0.008721697266412172
IL36G,,,-0.01250636792521279,,,
RTN4,0.14834949876219156,0.042937598612987356,0.05115831788328731,0.07400546383081578,-0.02606628825127037,-0.06072825416844251
HEBP1,0.027126734645878017,-0.052263242774784405,-0.01194014588819063,0.005058000716192078,0.0255314522432678,0.06558305130350853
WNT7B,0.048838192835874705,0.07174291929021723,0.08399887171622804,-0.023035100779226422,-0.0064246243480511915,-0.052473642994643244
PTMA,-0.10223937428843492,0.02855889091410931,-0.0405447949160451,0.05716895240907012,-0.03114740908502138,-0.01779390675640321
CEACAM1,-0.014562082271795113,-0.018198288999472657,,0.0013574364746285683,-0.02460318067026859,
PDAP1,-0.04122694204054688,-0.038293986460749226,-0.05088465102472335,-0.02369398024489848,-0.028025362639204597,-0.03412058311367541
QDPR,0.11673184803949,-0.04710518707458653,-0.0333395376368888,-0.03998631834567738,0.002001070506109823,0.03347870008131533
POMC,0.05797814859859711,0.017150863308298427,0.027743547581604546,-0.0777888216584421,0.0050606546637575614,0.03881415579052152
CCL18,,,,-0.026364083478905533,,
CCL17,,,-0.011424922155346896,,-0.021890191632227007,
VEGFD,-0.013932175839370826,-0.012845533873399527,-0.012244442941846647,,0.06605185442782244,
TNFSF13,,,,,-0.002252875651286764,0.010293116877168716
WNT5A,-0.07190223456837112,-0.012719331663623554,-0.010655315924797546,-0.05502390827927912,0.08753430539067027,0.022954610774028432
CXCL8,-0.017427046997814086,-0.04644249445321329,0.01814191403592245,-0.0464181198111571,0.03395405201409372,-0.05181976194605663
GRN,-0.0029971322200613086,-0.0050281783262141715,-0.012700252505870835,0.0024794636475085315,-0.06049694879860597,0.027219462067134294
MIA,-0.004700959875175779,-0.010510491185549864,-0.016769325741805646,-0.08363154588904217,-0.0042228677676155605,-0.02183066989041439
