,UKF259,ZH1007nec,ZH1019T1
BMP1,0.007610179271613661,-0.04874777060571959,0.05650923811343617
NDP,-0.029577426655987154,0.02621325945290362,0.03577439482123998
TNFSF18,,,-0.04663385688395152
RTN4,0.01964043954332451,0.06941043436210195,0.020885017381553333
HEBP1,0.00031474651520297867,-0.08439127689901962,-0.0010254135064934329
WNT7B,0.11441456943338937,0.0720713686855114,
PTMA,0.0269814121387552,-0.07821539821143607,0.06547584608046911
CEACAM1,-0.02430814712720146,-0.030163873188882966,-0.03279151582516098
PDAP1,0.01513988590978621,0.0010154290064480753,0.032166872531484515
QDPR,-0.04887220350929631,0.001981154020324866,0.04340690349769843
POMC,0.014893174068099233,0.008068581565724198,-0.04217835075385485
CCL18,,0.14342568467823721,
CCL17,-0.014089302728333964,,
VEGFD,0.1119435934658683,-0.050683929055413954,0.042335413319891914
TNFSF13,-0.009718485694098574,,
WNT5A,0.016919598953728823,-0.035050217729924275,-0.03277025255059748
CXCL8,0.12314690641410372,0.025560571885799587,0.056150917517575484
GRN,-0.08989099510360438,0.009166262454890444,-0.08077920793485449
MIA,0.039450017082140854,0.009450748173867827,-0.09061247338719505
COL4A4,0.08627014247535368,,-0.03490650679531642
TAC1,-0.0053281068110619225,,
RARRES2,-0.05514771814179463,-0.04834195301861019,0.055543799871965706
FGF7,-0.02497459633169875,0.09584467499627765,0.083239526984012
HBEGF,0.007555506005364684,0.09102334226096301,-0.06830094374803757
CSF3,0.269595954685017,,
PI3,0.14221079454292374,0.03856423392124255,
PCSK1N,-0.06870651480817969,-0.05170478879157362,0.08150032070671769
SFRP1,-0.01229346123260932,-0.0026723423971250822,-0.06659436259521692
MICA,0.06244220041465621,-0.053751956271561936,-0.0112347247301473
TG,-0.01326659237521651,0.020200923868040337,0.00459981663505164
ADA,-0.041508892162355086,-0.024471528371843312,0.008172493301637124
LAMC3,-0.04839133752562332,0.028297040690389953,-0.014789387701563086
CCL7,-0.00959172509085811,,
NGF,0.004109208406254613,,-0.058849792279460876
TNFSF15,-0.010680855013935283,,-0.030590464231795875
HMGB1,-0.026162225981780685,0.009838807181381387,-0.10973620674883335
ITGB3BP,-0.01957360795701644,-0.014220988353133025,0.07554013055916868
AANAT,0.019744333594520092,0.0813680492312677,
RELN,0.0174254907389327,,0.06716428552043975
IL15,0.012210556638319084,0.05139909715284143,0.043855770853001144
UTS2,,-0.02010411898138131,
BSG,-0.01681033508084205,0.059583071940853924,0.0602280229957017
ADAMTS3,0.01605748900843175,0.05621513051836109,
CD34,-0.0036217202072022147,-0.02656750993692659,-0.06293478305980905
PLAT,-0.01639683254829717,0.034768676734182415,-0.10633275793636231
LTA,-0.012293460657501882,,
CKLF,-0.01713524599953871,-0.02452065535919824,-0.07093375453232548
CD24,0.04501241111485218,0.025017506069152016,0.03476941753863249
HSP90AA1,0.06343351354313972,-0.0492198232991305,-0.1194626257100276
BMP4,0.01071645043364584,0.00030114765342737474,-0.032164763260029164
SCGB3A1,,-0.05068387978606063,0.030338031044606056
IGFBP4,-0.0018503651934719553,-0.030181376975189987,0.05140273690362145
RSPO4,-0.01881729535555857,,-0.04373595042325768
LEFTY2,-0.005874975027702129,0.08076583379249912,
PF4,-0.008368591173521662,,
ANGPTL2,-0.018049728762162345,0.018946258538323775,0.0003319791341467242
LRIG2,0.04418688942098774,-0.03220686253019734,-0.017119677532358452
ICOSLG,-0.007782477485854926,-0.02531431863344834,0.05458910865856187
NPPC,0.0744050431856066,0.06137201890895899,0.19648081534797124
LYZ,-0.049328285706820164,0.05887205907587252,-0.004323397642034093
SPTAN1,-0.05961807325794873,0.003155489116588539,-0.038380797813888326
LIPC,-0.015038981609334883,-0.021078329770228613,0.0512749279998862
COL8A1,-0.02683674267272031,-0.02181023375157183,-0.08108197032368725
GSTM2,-0.009698820835644226,-0.035298926508306225,0.048882849257799454
IL4,,0.00581847668739397,
SPX,0.05658770847279241,,
MFGE8,0.07592267430136254,-0.040566065144026296,-0.05668084547169734
TGFA,0.016395561819882484,0.07332754593659202,-0.03493755890269534
SLIT2,-0.02848234600859113,0.06752276516036634,-0.0364213862381575
PLTP,-0.08470334824929332,0.002765743668382775,-0.005305822321810176
APOD,-0.034883272984584345,0.04478003322853568,0.03139380984975355
B2M,-0.05775188964276467,-0.061981262735722874,-0.04020858000865039
OMG,-0.021656742090943485,-0.030618071858818624,0.012176383982795032
CXCL3,0.14959936822060116,-0.02509743009208605,
CXCL10,-0.011850747295778724,-0.021469671392788256,-0.05628231841630204
