,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF296,UKF304,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,,-0.006177622035918299,,,,,,,,0.02634184136498499,,0.10703428427550274,
BMP1,-0.0008649088608993584,0.16791562714356123,-0.016616321298392765,0.05681953526615744,0.13217367523154883,0.0811543667548185,0.006584197808048483,0.05358821607282909,0.09668291531742013,0.016789338626730953,0.12482425375546563,0.02433523830661293,-0.001266233523464527,0.07390703180073135,0.0012424195082709562,0.19753695532297594,0.03383770958182883
NDP,0.0416363781690001,-0.04928592673971941,0.029024834284591728,0.037079568147447374,0.04391625402537459,0.02107737058630044,0.007619557793538939,0.039164487175034395,-0.001748396130904273,-0.07484566508399691,-0.009421278295673454,0.04006949093083701,-0.028930750646729377,-0.013155063946005699,-0.023645487027770976,-0.026134001766533778,0.023579736994643764
TNFSF18,0.09347303856980056,0.12291063691949636,0.005813812296661361,,-0.005970827550240025,-0.01146289381068764,,,-0.032191876135037094,-0.04352269688758497,,,,0.19636245817678208,,0.039837727504147234,
RTN4,0.016841095590424498,-0.0728984754850612,0.0013184201733819532,-0.01967253217787989,-0.04868440443901846,-0.10723874650007192,-0.05456175927816885,0.06714196179037273,0.008048599776049095,-0.02557222123287392,-0.04184411760022058,-0.00963952273848266,-0.0251012162376102,-0.054580834039275876,0.014381983804724021,-0.020984354806837382,0.1682614060095569
HEBP1,-0.0769713295902094,0.033552167221960215,-0.039262845248312445,-0.0006463325853130396,0.04094697560628612,0.10013819272561687,-0.04622226557642009,0.07102688473773126,0.06525634647707954,-0.024882163839522742,0.040138739333230485,-0.021397277485472776,0.034530292670352604,-0.024108311467002378,0.028284882138875554,0.013984531765728166,0.004592553778559709
WNT7B,0.11067396378585337,0.017501923396709054,-0.02099761380990946,0.0570880740578855,0.012119941000872752,-0.017539855814145935,-0.01689062752489187,,0.006338338172844961,,0.031758363825332356,-0.04622150998181907,0.04412503208946484,0.0023203489468155048,0.10612198260373608,0.06768810416927719,-0.05299528451680312
PTMA,-0.061321740256778785,0.06104699919446771,0.0069299781527438105,-0.05271249626998399,0.1102850140827948,-0.007220828555873521,-0.04531383614035312,-0.0009394786915191001,0.06331377617142397,-0.012723652548616475,-0.06673197512166301,-0.02791672898886413,-0.02668020085719261,-0.061288980520077266,-0.030559757756566924,0.10450958520694989,-0.04421073054181224
FASLG,-0.017710102174238202,,,,,,,,,,,,,,,0.09354553312253824,
CEACAM1,-0.024590631862204386,-0.009575391986421305,-0.016114405677675834,0.006774530352671545,,0.14215883640989088,,,,-0.030603842339149787,0.03462631024654444,-0.015584333686402487,-0.004652542485355616,0.043078034562551416,-0.02099887256315564,-0.02896989797617227,
