,MGH258,UKF243,UKF248,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.00991279783688442,,,,,,,,,,-0.02032217616345542,,-0.019802426059850133,
BMP1,-0.039577241280865476,0.03474161727744523,0.0684252411640419,0.0543908920998128,0.019398751250958416,0.04324514168574846,0.053870073224781725,0.0365100690004561,0.005015643776554259,0.06691501156404318,0.0760592603558243,-0.002192234717486956,-0.01878037186063643,-0.01621709299722011,-0.02420214486548409,-0.01781218634113648,0.01866304880664458,0.01445898655578606,-0.0020200950203632735,0.08924432261753262
NDP,-0.05218407021585796,-0.01850629804575015,-0.009728362378209758,-0.02081281588213338,-0.035609063738364394,-0.011785834423366755,0.009799327183943989,0.03632003221855991,0.0021508225646187894,-0.08396195080639852,0.06051047946435533,-0.055418874619276866,0.14070096427911338,0.09599390897930303,-0.013857218163623458,0.031444889111827884,-0.0494148592346319,-0.09064722490758094,0.0036737313570105084,0.012902490041206095
TNFSF18,0.10375315123545975,0.04860390890873847,-0.011708142004482041,,,-0.013633041652881095,0.008796679571036409,0.10659974553603146,,,,,0.13273630084783997,,,,0.1259030563037027,,0.06948162365914397,0.050429445689525995
IL36G,,,,,,,,,,,0.04135287456867266,,,,,,,,,
RTN4,-0.03720167998829805,-0.03057976663099252,0.01744517780512455,0.07180846474023134,0.025285052628854103,-0.07491060370834843,-0.17386143062947254,0.016384364350978012,0.006681019706388941,0.04843595979817848,-0.04764380628075876,0.029291994827740277,-0.008342457447779882,0.012095010439735524,0.02617451461802082,-0.005075949624457891,-0.04296279672786447,-0.01881660747673668,-0.043140956506530555,-0.07637328688308018
HEBP1,-0.01989293890774619,0.07473618633616959,-0.01808199066992311,0.06228578608003657,-0.05977781817492688,0.12995557756438098,0.015644804922695394,0.03604029934925772,-0.02183875948873683,-0.0019076504544945202,0.019304702557329807,0.03702937447930304,-0.01977831885051533,-0.06317537428282796,0.02129412051772679,0.04145572900210115,-0.007734378913270444,0.07708101833366643,0.03999257196036458,0.005939699427914982
WNT7B,0.0662252461063632,-0.06866563320309813,-0.020252773853590523,0.011825086216081792,0.06699488927573635,-0.04263181469853484,-0.08100681125579301,0.01789066321672542,-0.016214408527370966,0.06587000227075737,-0.033319624339610714,0.008827984484100267,,0.027461891624395583,0.036204158240732726,0.00012320720899732914,0.05624324779235627,0.06248215418456123,0.02873150572044686,0.0057539857439555375
PTMA,-0.0057603789813939705,-0.0465631333845593,-0.0029971571632030473,-0.018307723248834076,0.0120118352387131,0.10622413182607872,-0.057849081395595595,-0.06080778456053295,-0.0030685960742824945,-0.00840378286786141,0.10665907169461515,-0.04195016682762567,-0.03486716567964488,-0.07649492613310507,-0.01674322505780323,-0.05527611427475213,0.03171147095502668,0.07906400550608982,-0.05362894578206721,0.06831521030672692
FASLG,-0.01648514304363067,,,,,,,,,,,,,,,,,,-0.01717463736601275,
CEACAM1,0.017026011615780802,,-0.02077848013609502,,-0.009826910471635524,,0.06736896969434264,-0.0017795404327205124,,,,-0.042860973321328426,-0.046603800485579425,-0.03718403332439859,-0.006699358110505947,0.023502504159298544,0.036953775467508755,-0.02917588898036525,0.028043803158614926,
PDAP1,0.012091077862392528,0.046875591487990524,-0.04230747398704853,-0.02266594896445214,-0.0493112275522186,0.02771426054313728,0.05430387764599157,0.06644838917350748,3.9143214202439844e-05,-0.05279061321732256,0.032024133313968195,-0.0015256517110788946,0.04141875974457398,0.06896172240543699,0.004669218291584473,0.012059917316558819,-0.007726758436783392,0.034400812940867456,0.007168615247652368,-0.01784662158622873
QDPR,-0.021685818420965813,-0.006433315475060184,-0.012703684864928082,0.03673641559465402,-0.033020315126526686,-0.05802228442989257,-0.0671428409521934,-0.0019427707939774937,-0.032478261593893394,0.05153383104438616,-0.013703338828301204,-0.1237007658601166,0.021158950104219146,-0.013379147070398873,0.04458738233958745,0.07304347107502741,0.018297062818704024,-0.00991337551115497,-0.0054783311733709325,-0.11136919770573303
