,UKF251,UKF266,UKF334,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,0.09870009708231245,
BMP1,-0.045959516217975775,-0.011649480111801157,0.0673098552850293,-0.034650409269074825,0.07629217397082486,-0.11249596148221237
NDP,-0.03485621976531501,0.05825938245621686,-0.0142762749247919,0.03709346057418084,0.050610520610293,0.022217145132583823
TNFSF18,0.011942697672660723,-0.014453495863746888,,,-0.018327146894030782,
IL36G,,,0.020922890328963967,,,
RTN4,0.05488641298426619,0.047963611179661865,-0.013528202268447623,-0.022308787499665615,-0.14275241545748327,0.05068205017990554
HEBP1,0.06753710593919099,0.03143726751943274,-0.04116810337207499,-0.0011146679568422727,0.017573657187966964,0.01247636184835332
WNT7B,-0.016376402480081608,0.023815582253174823,-0.019011425176023222,0.016904693523335974,-0.009684353069218684,0.11837990734713727
PTMA,-0.008879071078888313,-0.0393339961233574,-0.025348573765936883,-0.0014155359720548388,-0.051225587061212864,0.0033777409580589865
CEACAM1,-0.012567903929178401,,,-0.01626886151126839,0.010935282586448325,-0.021768431296870786
PDAP1,-0.01104536442944605,-0.021568130176138536,0.03438747271120392,0.0009186094530542805,0.04575460685175196,0.04671255520494618
QDPR,0.018115602998172577,-0.024304973274493803,-0.03101306353281728,0.06563071119576613,-0.04580266801846433,0.052375456431877805
POMC,-0.02233116016611109,-0.017761638265666766,0.08632103333449621,0.053714061408560866,0.036320990023097875,0.020435535734802404
CCL18,,,,0.0316163825641994,,-0.001043622009172354
CCL17,,,0.09032544403536025,-0.02348512294143168,0.06484082826524044,
VEGFD,-0.018001000887949342,,0.06259606559997077,0.035006176577445085,0.058293066716500926,
TNFSF13,,-0.014016875818511567,,0.12136175084538862,0.07740406048740471,0.03583538259776964
WNT5A,0.05209029388821484,-0.029005443821907187,0.013953999733194515,0.018239972359276956,-0.012856176509981953,-0.0022054458169724097
CXCL8,-0.016855070278126057,-0.019938096729103055,0.023952686782886767,-0.13466262341889468,0.07004645998941356,-0.043723841658711626
GRN,-0.02678976484057786,-0.04221507905531519,0.004510078151466111,0.014163733885779444,0.06911590219242275,-0.042176254682165785
